GUA|BRU,|BRU|EWR|GUA|
GUA|SZG,|SZG|IST|ZRH|MIA|GUA|
GUA|TBZ,|TBZ|IST|ZRH|MIA|GUA|
GUA|TGD,|TGD|IST|ZRH|MIA|GUA|
GUA|TIA,|TIA|IST|ZRH|MIA|GUA|
GUA|TIF,|TIF|IST|ZRH|MIA|GUA|
GUA|TIP,|TIP|IST|ZRH|MIA|GUA|
GUA|TLL,|TLL|VNO|CPH|AMS|EWR|GUA|
GUA|TLS,|TLS|IST|ZRH|MIA|GUA|
GUA|TRN,|TRN|IST|ZRH|MIA|GUA|
GUA|TUN,|TUN|IST|ZRH|MIA|GUA|
GUA|TXL,|TXL|EWR|GUA|
GUA|UFA,|UFA|IST|ZRH|MIA|GUA|
GUA|VAS,|VAS|IST|ZRH|MIA|GUA|
GUA|VCE,|VCE|IST|ZRH|MIA|GUA|
GUA|YNB,|YNB|IST|ZRH|MIA|GUA|
GUA|ZAG,|ZAG|IST|ZRH|MIA|GUA|
GUA|MGQ,|MGQ|JIB|IST|ZRH|MIA|GUA|
GUA|CPT,|CPT|JNB|DKR|IAD|GUA|
GUA|MBA,|MBA|JRO|IST|ZRH|MIA|GUA|
GUA|NDJ,|NDJ|KAN|IST|ZRH|MIA|GUA|
GUA|CMB,|CMB|MLE|IST|ZRH|MIA|GUA|
GUA|ADE,|ADE|SAH|IST|ZRH|MIA|GUA|
GUA|ASF,|ASF|SAW|FRA|MIA|GUA|
GUA|STW,|STW|SAW|FRA|MIA|GUA|
GUA|LFW,|LFW|ABJ|BRU|EWR|GUA|
GUA|CEC,|CEC|ACV|SMF|IAH|GUA|
GUA|SMF,|SMF|IAH|GUA|
GUA|CDR,|CDR|AIA|DEN|IAH|GUA|
GUA|FMN,|FMN|DEN|IAH|GUA|
GUA|JST,|JST|IAD|GUA|
GUA|JHW,|JHW|CLE|IAD|GUA|
GUA|SHD,|SHD|IAD|GUA|
GUA|PTY,|PTY|MIA|GUA|
GUA|FNA,|FNA|BRU|EWR|GUA|
GUA|SXB,|SXB|BRU|EWR|GUA|
GUA|ACV,|ACV|SMF|IAH|GUA|
GUA|MGW,|MGW|IAD|GUA|
GUA|ALB,|ALB|IAD|GUA|
GUA|AUS,|AUS|IAH|GUA|
GUA|BFD,|BFD|CLE|IAD|GUA|
GUA|BUF,|BUF|IAD|GUA|
GUA|CHS,|CHS|IAH|GUA|
GUA|DAY,|DAY|IAD|GUA|
GUA|DUJ,|DUJ|CLE|IAD|GUA|
GUA|ERI,|ERI|CLE|IAD|GUA|
GUA|FKL,|FKL|CLE|IAD|GUA|
GUA|FNT,|FNT|CLE|IAD|GUA|
GUA|GRR,|GRR|IAH|GUA|
GUA|GSP,|GSP|IAH|GUA|
GUA|PBI,|PBI|IAH|GUA|
GUA|PKB,|PKB|CLE|IAD|GUA|
GUA|RIC,|RIC|IAD|GUA|
GUA|SDF,|SDF|IAH|GUA|
GUA|GUM,|GUM|HNL|IAH|GUA|
GUA|WRL,|WRL|CYS|DEN|IAH|GUA|
GUA|LBL,|GUA|
GUA|ABQ,|ABQ|IAH|GUA|
GUA|AIA,|AIA|DEN|IAH|GUA|
GUA|ALS,|ALS|DEN|IAH|GUA|
GUA|AMA,|AMA|IAH|GUA|
GUA|ANC,|ANC|DEN|IAH|GUA|
GUA|ASE,|ASE|DEN|IAH|GUA|
GUA|BFL,|BFL|IAH|GUA|
GUA|BHM,|BHM|IAH|GUA|
GUA|BIL,|BIL|DEN|IAH|GUA|
GUA|BIS,|BIS|DEN|IAH|GUA|
GUA|BOI,|BOI|DEN|IAH|GUA|
GUA|BUR,|BUR|PHX|IAH|GUA|
GUA|BZN,|BZN|DEN|IAH|GUA|
GUA|CID,|CID|ORD|IAH|GUA|
GUA|COD,|COD|DEN|IAH|GUA|
GUA|COS,|COS|IAH|GUA|
GUA|CPR,|CPR|DEN|IAH|GUA|
GUA|CYS,|CYS|DEN|IAH|GUA|
GUA|DIK,|DIK|DEN|IAH|GUA|
GUA|DRO,|DRO|DEN|IAH|GUA|
GUA|DSM,|DSM|IAH|GUA|
GUA|EGE,|EGE|DEN|IAH|GUA|
GUA|ELP,|ELP|IAH|GUA|
GUA|EUG,|EUG|DEN|IAH|GUA|
GUA|FAR,|FAR|ORD|IAH|GUA|
GUA|FAT,|FAT|LAS|IAH|GUA|
GUA|FCA,|FCA|DEN|IAH|GUA|
GUA|FSD,|FSD|DEN|IAH|GUA|
GUA|GCC,|GCC|DEN|IAH|GUA|
GUA|GEG,|GEG|DEN|IAH|GUA|
GUA|GJT,|GJT|IAH|GUA|
GUA|GTF,|GTF|DEN|IAH|GUA|
GUA|GUC,|GUC|DEN|IAH|GUA|
GUA|HDN,|HDN|DEN|IAH|GUA|
GUA|HLN,|HLN|DEN|IAH|GUA|
GUA|HSV,|HSV|IAH|GUA|
GUA|ICT,|ICT|IAH|GUA|
GUA|IDA,|IDA|DEN|IAH|GUA|
GUA|ISN,|ISN|DEN|IAH|GUA|
GUA|JAC,|JAC|DEN|IAH|GUA|
GUA|KOA,|KOA|LAX|IAH|GUA|
GUA|LAR,|LAR|DEN|IAH|GUA|
GUA|LBB,|LBB|IAH|GUA|
GUA|LIH,|LIH|LAX|IAH|GUA|
GUA|LIT,|LIT|IAH|GUA|
GUA|LNK,|LNK|DEN|IAH|GUA|
GUA|MAF,|MAF|IAH|GUA|
GUA|MEM,|MEM|IAH|GUA|
GUA|MFR,|MFR|DEN|IAH|GUA|
GUA|MLI,|MLI|ORD|IAH|GUA|
GUA|MOT,|MOT|DEN|IAH|GUA|
GUA|MRY,|MRY|LAX|IAH|GUA|
GUA|MSN,|MSN|ORD|IAH|GUA|
GUA|MSO,|MSO|DEN|IAH|GUA|
GUA|MTJ,|MTJ|DEN|IAH|GUA|
GUA|OKC,|OKC|IAH|GUA|
GUA|OMA,|OMA|IAH|GUA|
GUA|ONT,|ONT|PHX|IAH|GUA|
GUA|PIA,|PIA|ORD|IAH|GUA|
GUA|PIR,|PIR|DEN|IAH|GUA|
GUA|PSC,|PSC|DEN|IAH|GUA|
GUA|PSP,|PSP|IAH|GUA|
GUA|PUB,|PUB|DEN|IAH|GUA|
GUA|RAP,|RAP|DEN|IAH|GUA|
GUA|RDM,|RDM|DEN|IAH|GUA|
GUA|RKS,|RKS|DEN|IAH|GUA|
GUA|RNO,|RNO|LAS|IAH|GUA|
GUA|SAF,|SAF|DEN|IAH|GUA|
GUA|SAT,|SAT|IAH|GUA|
GUA|SBA,|SBA|LAX|IAH|GUA|
GUA|SGF,|SGF|ORD|IAH|GUA|
GUA|SGU,|SGU|DEN|IAH|GUA|
GUA|SHV,|SHV|IAH|GUA|
GUA|SJC,|SJC|IAH|GUA|
GUA|SLC,|SLC|IAH|GUA|
GUA|SNA,|SNA|IAH|GUA|
GUA|TUL,|TUL|IAH|GUA|
GUA|TUS,|TUS|IAH|GUA|
GUA|TYS,|TYS|IAH|GUA|
GUA|XNA,|XNA|IAH|GUA|
GUA|SAL,|SAL|MIA|GUA|
GUA|BJL,|BJL|DKR|IAD|GUA|
GUA|BFS,|BFS|EWR|GUA|
GUA|BON,|BON|IAH|GUA|
GUA|BQN,|BQN|EWR|GUA|
GUA|BTV,|BTV|IAD|GUA|
GUA|BZE,|BZE|IAH|GUA|
GUA|GLA,|GLA|EWR|GUA|
GUA|GSO,|GSO|IAD|GUA|
GUA|ITH,|ITH|EWR|GUA|
GUA|JAX,|JAX|IAH|GUA|
GUA|MHT,|MHT|EWR|GUA|
GUA|MYR,|MYR|EWR|GUA|
GUA|ORF,|ORF|IAD|GUA|
GUA|POS,|POS|IAH|GUA|
GUA|PVD,|PVD|EWR|GUA|
GUA|PWM,|PWM|EWR|GUA|
GUA|SAP,|SAP|MIA|GUA|
GUA|SAV,|SAV|IAH|GUA|
GUA|SDQ,|SDQ|EWR|GUA|
GUA|SJU,|SJU|IAH|GUA|
GUA|SNN,|SNN|EWR|GUA|
GUA|STT,|STT|IAD|GUA|
GUA|SXM,|SXM|IAD|GUA|
GUA|BIM,|BIM|FLL|IAH|GUA|
GUA|ELH,|ELH|PBI|IAH|GUA|
GUA|EYW,|EYW|MSY|IAH|GUA|
GUA|FPO,|FPO|FLL|IAH|GUA|
GUA|GHB,|GHB|FLL|IAH|GUA|
GUA|MHH,|MHH|PBI|IAH|GUA|
GUA|TCB,|TCB|FLL|IAH|GUA|
GUA|SOW,|SOW|PHX|IAH|GUA|
GUA|ROB,|ROB|FNA|BRU|EWR|GUA|
GUA|GIG,|GIG|IAH|GUA|
GUA|CNS,|CNS|GUM|HNL|IAH|GUA|
GUA|CTS,|CTS|GUM|HNL|IAH|GUA|
GUA|OKJ,|OKJ|GUM|HNL|IAH|GUA|
GUA|ROP,|ROP|GUM|HNL|IAH|GUA|
GUA|ROR,|ROR|GUM|HNL|IAH|GUA|
GUA|SDJ,|SDJ|GUM|HNL|IAH|GUA|
GUA|SPN,|SPN|GUM|HNL|IAH|GUA|
GUA|TKK,|TKK|PNI|KWA|MAJ|HNL|IAH|GUA|
GUA|YAP,|YAP|GUM|HNL|IAH|GUA|
GUA|MAJ,|MAJ|HNL|IAH|GUA|
GUA|AOO,|AOO|IAD|GUA|
GUA|BGM,|BGM|IAD|GUA|
GUA|BKW,|BKW|IAD|GUA|
GUA|CAE,|CAE|IAH|GUA|
GUA|CHO,|CHO|IAD|GUA|
GUA|CRW,|CRW|IAH|GUA|
GUA|FAY,|FAY|IAD|GUA|
GUA|LWB,|LWB|IAD|GUA|
GUA|ROA,|ROA|IAD|GUA|
GUA|SCE,|SCE|IAD|GUA|
GUA|ACA,|ACA|IAH|GUA|
GUA|ACY,|ACY|IAH|GUA|
GUA|AEX,|AEX|IAH|GUA|
GUA|AGU,|AGU|IAH|GUA|
GUA|BJX,|BJX|IAH|GUA|
GUA|BRO,|BRO|IAH|GUA|
GUA|BTR,|BTR|IAH|GUA|
GUA|CCS,|CCS|IAH|GUA|
GUA|CLL,|CLL|IAH|GUA|
GUA|CME,|CME|IAH|GUA|
GUA|CRP,|CRP|IAH|GUA|
GUA|CUU,|CUU|IAH|GUA|
GUA|DAL,|DAL|IAH|GUA|
GUA|DGO,|DGO|IAH|GUA|
GUA|GDL,|GDL|IAH|GUA|
GUA|GPT,|GPT|IAH|GUA|
GUA|GRK,|GRK|IAH|GUA|
GUA|HOB,|HOB|IAH|GUA|
GUA|HRL,|HRL|IAH|GUA|
GUA|HUX,|HUX|IAH|GUA|
GUA|JAN,|JAN|IAH|GUA|
GUA|LCH,|LCH|IAH|GUA|
GUA|LEX,|LEX|IAH|GUA|
GUA|LFT,|LFT|IAH|GUA|
GUA|LRD,|LRD|IAH|GUA|
GUA|MFE,|MFE|IAH|GUA|
GUA|MGA,|MGA|IAH|GUA|
GUA|MID,|MID|IAH|GUA|
GUA|MLM,|MLM|IAH|GUA|
GUA|MLU,|MLU|IAH|GUA|
GUA|MOB,|MOB|IAH|GUA|
GUA|MTY,|MTY|IAH|GUA|
GUA|OAX,|OAX|IAH|GUA|
GUA|PBC,|PBC|IAH|GUA|
GUA|PNS,|PNS|IAH|GUA|
GUA|QRO,|QRO|IAH|GUA|
GUA|RTB,|RTB|IAH|GUA|
GUA|SLP,|SLP|IAH|GUA|
GUA|SLW,|SLW|IAH|GUA|
GUA|TAM,|TAM|IAH|GUA|
GUA|TGU,|TGU|IAH|GUA|
GUA|TRC,|TRC|IAH|GUA|
GUA|TYR,|TYR|IAH|GUA|
GUA|UIO,|UIO|IAH|GUA|
GUA|VER,|VER|IAH|GUA|
GUA|VPS,|VPS|IAH|GUA|
GUA|VSA,|VSA|IAH|GUA|
GUA|ZIH,|ZIH|IAH|GUA|
GUA|ZLO,|ZLO|IAH|GUA|
GUA|KWA,|KWA|MAJ|HNL|IAH|GUA|
GUA|PNI,|PNI|KWA|MAJ|HNL|IAH|GUA|
GUA|KSA,|KSA|KWA|MAJ|HNL|IAH|GUA|
GUA|CLD,|CLD|LAX|IAH|GUA|
GUA|ITO,|ITO|LAX|IAH|GUA|
GUA|SBP,|SBP|LAX|IAH|GUA|
GUA|SMX,|SMX|LAX|IAH|GUA|
GUA|YUM,|YUM|LAX|IAH|GUA|
GUA|DDC,|GUA|
GUA|TMS,|TMS|LIS|MIA|GUA|
GUA|PHC,|PHC|LOS|IAH|GUA|
GUA|GNV,|GNV|TPA|IAH|GUA|
GUA|TLH,|TLH|TPA|IAH|GUA|
GUA|CKB,|CKB|MGW|IAD|GUA|
GUA|BAQ,|BAQ|MIA|GUA|
GUA|CLO,|CLO|MIA|GUA|
GUA|CTG,|CTG|MIA|GUA|
GUA|MDE,|MDE|MIA|GUA|
GUA|ABE,|ABE|ORD|IAH|GUA|
GUA|ATW,|ATW|ORD|IAH|GUA|
GUA|AVL,|AVL|ORD|IAH|GUA|
GUA|AVP,|AVP|ORD|IAH|GUA|
GUA|CAK,|CAK|ATL|IAH|GUA|
GUA|CMX,|CMX|ORD|IAH|GUA|
GUA|CWA,|CWA|ORD|IAH|GUA|
GUA|DLH,|DLH|ORD|IAH|GUA|
GUA|EAU,|EAU|ORD|IAH|GUA|
GUA|ELM,|ELM|ORD|IAH|GUA|
GUA|FOE,|FOE|ORD|IAH|GUA|
GUA|FWA,|FWA|ORD|IAH|GUA|
GUA|GRB,|GRB|ORD|IAH|GUA|
GUA|HPN,|HPN|ORD|IAH|GUA|
GUA|LAN,|LAN|ORD|IAH|GUA|
GUA|MBS,|MBS|ORD|IAH|GUA|
GUA|MKG,|MKG|ORD|IAH|GUA|
GUA|PAH,|PAH|ORD|IAH|GUA|
GUA|SBN,|SBN|ORD|IAH|GUA|
GUA|SPI,|SPI|ORD|IAH|GUA|
GUA|SRQ,|SRQ|ORD|IAH|GUA|
GUA|STC,|STC|ORD|IAH|GUA|
GUA|TVC,|TVC|ORD|IAH|GUA|
GUA|LMT,|LMT|SFO|IAH|GUA|
GUA|HON,|HON|PIR|DEN|IAH|GUA|
GUA|CIC,|CIC|SFO|IAH|GUA|
GUA|MOD,|MOD|SFO|IAH|GUA|
GUA|OTH,|OTH|SFO|IAH|GUA|
GUA|RDD,|RDD|SFO|IAH|GUA|
GUA|EIS,|EIS|SJU|IAH|GUA|
GUA|DME,|DME|VIE|IAD|GUA|
GUA|EVN,|EVN|VIE|IAD|GUA|
GUA|HOU,|HOU|AUS|IAH|GUA|
GUA|MDW,|MDW|LIT|IAH|GUA|
GUA|OAK,|OAK|LAS|IAH|GUA|
GUA|ECP,|ECP|HOU|AUS|IAH|GUA|
GUA|ISP,|ISP|BWI|ORF|IAD|GUA|
GUA|YHM,|YHM|YQM|EWR|GUA|
GUA|YXX,|YXX|YYC|IAH|GUA|
GUA|YBR,|YBR|YYC|IAH|GUA|
GUA|YKF,|YKF|YYC|IAH|GUA|
GUA|GDN,|GUA|
GUA|TRD,|GUA|
GUA|NKC,|GUA|
GUA|PGA,|GUA|
