WRL|BRU,|BRU|ORD|DEN|CYS|WRL|
WRL|DLM,|DLM|IST|FRA|DEN|CYS|WRL|
WRL|DMM,|DMM|IST|FRA|DEN|CYS|WRL|
WRL|DNK,|DNK|IST|FRA|DEN|CYS|WRL|
WRL|DNZ,|DNZ|IST|FRA|DEN|CYS|WRL|
WRL|DOK,|DOK|IST|FRA|DEN|CYS|WRL|
WRL|DUS,|DUS|ORD|DEN|CYS|WRL|
WRL|EDI,|EDI|EWR|DEN|CYS|WRL|
WRL|ELQ,|ELQ|IST|FRA|DEN|CYS|WRL|
WRL|FDH,|FDH|IST|FRA|DEN|CYS|WRL|
WRL|GOA,|GOA|IST|FRA|DEN|CYS|WRL|
WRL|GOT,|GOT|BRU|ORD|DEN|CYS|WRL|
WRL|HAJ,|HAJ|BRU|ORD|DEN|CYS|WRL|
WRL|HBE,|HBE|IST|FRA|DEN|CYS|WRL|
WRL|HEL,|HEL|IST|FRA|DEN|CYS|WRL|
WRL|HRG,|HRG|IST|FRA|DEN|CYS|WRL|
WRL|IFN,|IFN|IST|FRA|DEN|CYS|WRL|
WRL|ISE,|ISE|IST|FRA|DEN|CYS|WRL|
WRL|ISU,|ISU|IST|FRA|DEN|CYS|WRL|
WRL|JIB,|JIB|IST|FRA|DEN|CYS|WRL|
WRL|JRO,|JRO|IST|FRA|DEN|CYS|WRL|
WRL|KAN,|KAN|IST|FRA|DEN|CYS|WRL|
WRL|KBL,|KBL|IST|FRA|DEN|CYS|WRL|
WRL|KBP,|KBP|IST|FRA|DEN|CYS|WRL|
WRL|KFS,|KFS|IST|FRA|DEN|CYS|WRL|
WRL|KHI,|KHI|IST|FRA|DEN|CYS|WRL|
WRL|KIV,|KIV|IST|FRA|DEN|CYS|WRL|
WRL|KRT,|KRT|IST|FRA|DEN|CYS|WRL|
WRL|KSH,|KSH|IST|FRA|DEN|CYS|WRL|
WRL|KVD,|KVD|IST|FRA|DEN|CYS|WRL|
WRL|KWI,|KWI|SAW|FRA|DEN|CYS|WRL|
WRL|KYA,|KYA|IST|FRA|DEN|CYS|WRL|
WRL|KZN,|KZN|IST|FRA|DEN|CYS|WRL|
WRL|KZR,|KZR|IST|FRA|DEN|CYS|WRL|
WRL|LED,|LED|VIE|ORD|DEN|CYS|WRL|
WRL|LEJ,|LEJ|IST|FRA|DEN|CYS|WRL|
WRL|LGW,|LGW|IST|FRA|DEN|CYS|WRL|
WRL|LHE,|LHE|IST|FRA|DEN|CYS|WRL|
WRL|LIS,|LIS|EWR|DEN|CYS|WRL|
WRL|LJU,|LJU|IST|FRA|DEN|CYS|WRL|
WRL|LOS,|LOS|IAH|DEN|CYS|WRL|
WRL|LUX,|LUX|IST|FRA|DEN|CYS|WRL|
WRL|LWO,|LWO|IST|FRA|DEN|CYS|WRL|
WRL|LYS,|LYS|IST|FRA|DEN|CYS|WRL|
WRL|MAD,|MAD|EWR|DEN|CYS|WRL|
WRL|MAN,|MAN|EWR|DEN|CYS|WRL|
WRL|MED,|MED|IST|FRA|DEN|CYS|WRL|
WRL|MHD,|MHD|IST|FRA|DEN|CYS|WRL|
WRL|MLA,|MLA|IST|FRA|DEN|CYS|WRL|
WRL|MRS,|MRS|IST|FRA|DEN|CYS|WRL|
WRL|MSQ,|MSQ|IST|FRA|DEN|CYS|WRL|
WRL|MXP,|MXP|EWR|DEN|CYS|WRL|
WRL|MZH,|MZH|IST|FRA|DEN|CYS|WRL|
WRL|MZR,|MZR|IST|FRA|DEN|CYS|WRL|
WRL|NAJ,|NAJ|IST|FRA|DEN|CYS|WRL|
WRL|NAV,|NAV|IST|FRA|DEN|CYS|WRL|
WRL|NCE,|NCE|IST|FRA|DEN|CYS|WRL|
WRL|NIM,|NIM|IST|FRA|DEN|CYS|WRL|
WRL|NJF,|NJF|IST|FRA|DEN|CYS|WRL|
WRL|NSI,|NSI|BRU|ORD|DEN|CYS|WRL|
WRL|NUE,|NUE|IST|FRA|DEN|CYS|WRL|
WRL|ODS,|ODS|IST|FRA|DEN|CYS|WRL|
WRL|ORN,|ORN|IST|FRA|DEN|CYS|WRL|
WRL|OTP,|OTP|IST|FRA|DEN|CYS|WRL|
WRL|PRG,|PRG|BRU|ORD|DEN|CYS|WRL|
WRL|PRN,|PRN|IST|FRA|DEN|CYS|WRL|
WRL|RIX,|RIX|IST|FRA|DEN|CYS|WRL|
WRL|ROV,|ROV|IST|FRA|DEN|CYS|WRL|
WRL|RTM,|RTM|IST|FRA|DEN|CYS|WRL|
WRL|RUH,|RUH|IST|FRA|DEN|CYS|WRL|
WRL|SAH,|SAH|IST|FRA|DEN|CYS|WRL|
WRL|SJJ,|SJJ|IST|FRA|DEN|CYS|WRL|
WRL|SKG,|SKG|IST|FRA|DEN|CYS|WRL|
WRL|SKP,|SKP|IST|FRA|DEN|CYS|WRL|
WRL|SSH,|SSH|IST|FRA|DEN|CYS|WRL|
WRL|STR,|STR|EWR|DEN|CYS|WRL|
WRL|SVX,|SVX|IST|FRA|DEN|CYS|WRL|
WRL|SYZ,|SYZ|IST|FRA|DEN|CYS|WRL|
WRL|SZG,|SZG|IST|FRA|DEN|CYS|WRL|
WRL|TBZ,|TBZ|IST|FRA|DEN|CYS|WRL|
WRL|TGD,|TGD|IST|FRA|DEN|CYS|WRL|
WRL|TIA,|TIA|IST|FRA|DEN|CYS|WRL|
WRL|TIF,|TIF|IST|FRA|DEN|CYS|WRL|
WRL|TIP,|TIP|IST|FRA|DEN|CYS|WRL|
WRL|TLL,|TLL|VNO|CPH|YYZ|DEN|CYS|WRL|
WRL|TLS,|TLS|IST|FRA|DEN|CYS|WRL|
WRL|TRN,|TRN|IST|FRA|DEN|CYS|WRL|
WRL|TUN,|TUN|IST|FRA|DEN|CYS|WRL|
WRL|TXL,|TXL|EWR|DEN|CYS|WRL|
WRL|UFA,|UFA|IST|FRA|DEN|CYS|WRL|
WRL|VAS,|VAS|SAW|FRA|DEN|CYS|WRL|
WRL|VCE,|VCE|IST|FRA|DEN|CYS|WRL|
WRL|YNB,|YNB|IST|FRA|DEN|CYS|WRL|
WRL|ZAG,|ZAG|IST|FRA|DEN|CYS|WRL|
WRL|MGQ,|MGQ|JIB|IST|FRA|DEN|CYS|WRL|
WRL|CPT,|CPT|JNB|DKR|IAD|DEN|CYS|WRL|
WRL|MBA,|MBA|JRO|IST|FRA|DEN|CYS|WRL|
WRL|NDJ,|NDJ|KAN|IST|FRA|DEN|CYS|WRL|
WRL|CMB,|CMB|MLE|IST|FRA|DEN|CYS|WRL|
WRL|ADE,|ADE|SAH|IST|FRA|DEN|CYS|WRL|
WRL|ASF,|ASF|SAW|FRA|DEN|CYS|WRL|
WRL|STW,|STW|SAW|FRA|DEN|CYS|WRL|
WRL|LFW,|LFW|ABJ|BRU|ORD|DEN|CYS|WRL|
WRL|CEC,|CEC|ACV|SMF|DEN|CYS|WRL|
WRL|SMF,|SMF|DEN|CYS|WRL|
WRL|CDR,|CDR|AIA|DEN|CYS|WRL|
WRL|FMN,|FMN|DEN|CYS|WRL|
WRL|JST,|JST|IAD|DEN|CYS|WRL|
WRL|JHW,|JHW|CLE|DEN|CYS|WRL|
WRL|SHD,|SHD|IAD|DEN|CYS|WRL|
WRL|PTY,|PTY|IAH|DEN|CYS|WRL|
WRL|FNA,|FNA|BRU|ORD|DEN|CYS|WRL|
WRL|SXB,|SXB|BRU|ORD|DEN|CYS|WRL|
WRL|ACV,|ACV|SMF|DEN|CYS|WRL|
WRL|MGW,|MGW|IAD|DEN|CYS|WRL|
WRL|ALB,|ALB|ORD|DEN|CYS|WRL|
WRL|AUS,|AUS|DEN|CYS|WRL|
WRL|BFD,|BFD|CLE|DEN|CYS|WRL|
WRL|BUF,|BUF|ORD|DEN|CYS|WRL|
WRL|CHS,|CHS|BNA|DEN|CYS|WRL|
WRL|DAY,|DAY|DEN|CYS|WRL|
WRL|DUJ,|DUJ|CLE|DEN|CYS|WRL|
WRL|ERI,|ERI|CLE|DEN|CYS|WRL|
WRL|FKL,|FKL|CLE|DEN|CYS|WRL|
WRL|FNT,|FNT|CLE|DEN|CYS|WRL|
WRL|GRR,|GRR|DEN|CYS|WRL|
WRL|GSP,|GSP|BNA|DEN|CYS|WRL|
WRL|PBI,|PBI|TPA|DEN|CYS|WRL|
WRL|PKB,|PKB|CLE|DEN|CYS|WRL|
WRL|RIC,|RIC|ORD|DEN|CYS|WRL|
WRL|SDF,|SDF|DEN|CYS|WRL|
WRL|GUM,|GUM|HNL|DEN|CYS|WRL|
WRL|LBL,|WRL|
WRL|ABQ,|ABQ|DEN|CYS|WRL|
WRL|AIA,|AIA|DEN|CYS|WRL|
WRL|ALS,|ALS|DEN|CYS|WRL|
WRL|AMA,|AMA|DEN|CYS|WRL|
WRL|ANC,|ANC|DEN|CYS|WRL|
WRL|ASE,|ASE|DEN|CYS|WRL|
WRL|BFL,|BFL|DEN|CYS|WRL|
WRL|BHM,|BHM|DEN|CYS|WRL|
WRL|BIL,|BIL|DEN|CYS|WRL|
WRL|BIS,|BIS|DEN|CYS|WRL|
WRL|BOI,|BOI|DEN|CYS|WRL|
WRL|BUR,|BUR|DEN|CYS|WRL|
WRL|BZN,|BZN|DEN|CYS|WRL|
WRL|CID,|CID|DEN|CYS|WRL|
WRL|COD,|COD|DEN|CYS|WRL|
WRL|COS,|COS|DEN|CYS|WRL|
WRL|CPR,|CPR|DEN|CYS|WRL|
WRL|CYS,|CYS|WRL|
WRL|DIK,|DIK|DEN|CYS|WRL|
WRL|DRO,|DRO|DEN|CYS|WRL|
WRL|DSM,|DSM|DEN|CYS|WRL|
WRL|EGE,|EGE|DEN|CYS|WRL|
WRL|ELP,|ELP|DEN|CYS|WRL|
WRL|EUG,|EUG|DEN|CYS|WRL|
WRL|FAR,|FAR|DEN|CYS|WRL|
WRL|FAT,|FAT|DEN|CYS|WRL|
WRL|FCA,|FCA|DEN|CYS|WRL|
WRL|FSD,|FSD|DEN|CYS|WRL|
WRL|GCC,|GCC|DEN|CYS|WRL|
WRL|GEG,|GEG|DEN|CYS|WRL|
WRL|GJT,|GJT|DEN|CYS|WRL|
WRL|GTF,|GTF|DEN|CYS|WRL|
WRL|GUC,|GUC|DEN|CYS|WRL|
WRL|HDN,|HDN|DEN|CYS|WRL|
WRL|HLN,|HLN|DEN|CYS|WRL|
WRL|HSV,|HSV|DEN|CYS|WRL|
WRL|ICT,|ICT|DEN|CYS|WRL|
WRL|IDA,|IDA|DEN|CYS|WRL|
WRL|ISN,|ISN|DEN|CYS|WRL|
WRL|JAC,|JAC|DEN|CYS|WRL|
WRL|KOA,|KOA|DEN|CYS|WRL|
WRL|LAR,|LAR|DEN|CYS|WRL|
WRL|LBB,|LBB|DEN|CYS|WRL|
WRL|LIH,|LIH|DEN|CYS|WRL|
WRL|LIT,|LIT|DEN|CYS|WRL|
WRL|LNK,|LNK|DEN|CYS|WRL|
WRL|MAF,|MAF|DEN|CYS|WRL|
WRL|MEM,|MEM|DEN|CYS|WRL|
WRL|MFR,|MFR|DEN|CYS|WRL|
WRL|MLI,|MLI|DEN|CYS|WRL|
WRL|MOT,|MOT|DEN|CYS|WRL|
WRL|MRY,|MRY|DEN|CYS|WRL|
WRL|MSN,|MSN|DEN|CYS|WRL|
WRL|MSO,|MSO|DEN|CYS|WRL|
WRL|MTJ,|MTJ|DEN|CYS|WRL|
WRL|OKC,|OKC|DEN|CYS|WRL|
WRL|OMA,|OMA|DEN|CYS|WRL|
WRL|ONT,|ONT|DEN|CYS|WRL|
WRL|PIA,|PIA|DEN|CYS|WRL|
WRL|PIR,|PIR|DEN|CYS|WRL|
WRL|PSC,|PSC|DEN|CYS|WRL|
WRL|PSP,|PSP|DEN|CYS|WRL|
WRL|PUB,|PUB|DEN|CYS|WRL|
WRL|RAP,|RAP|DEN|CYS|WRL|
WRL|RDM,|RDM|DEN|CYS|WRL|
WRL|RKS,|RKS|DEN|CYS|WRL|
WRL|RNO,|RNO|DEN|CYS|WRL|
WRL|SAF,|SAF|DEN|CYS|WRL|
WRL|SAT,|SAT|DEN|CYS|WRL|
WRL|SBA,|SBA|DEN|CYS|WRL|
WRL|SGF,|SGF|DEN|CYS|WRL|
WRL|SGU,|SGU|DEN|CYS|WRL|
WRL|SHV,|SHV|DEN|CYS|WRL|
WRL|SJC,|SJC|DEN|CYS|WRL|
WRL|SLC,|SLC|DEN|CYS|WRL|
WRL|SNA,|SNA|DEN|CYS|WRL|
WRL|TUL,|TUL|DEN|CYS|WRL|
WRL|TUS,|TUS|DEN|CYS|WRL|
WRL|TYS,|TYS|DEN|CYS|WRL|
WRL|XNA,|XNA|DEN|CYS|WRL|
WRL|SAL,|SAL|IAH|DEN|CYS|WRL|
WRL|BJL,|BJL|DKR|IAD|DEN|CYS|WRL|
WRL|BFS,|BFS|EWR|DEN|CYS|WRL|
WRL|BON,|BON|IAH|DEN|CYS|WRL|
WRL|BQN,|BQN|EWR|DEN|CYS|WRL|
WRL|BTV,|BTV|ORD|DEN|CYS|WRL|
WRL|BZE,|BZE|IAH|DEN|CYS|WRL|
WRL|GLA,|GLA|EWR|DEN|CYS|WRL|
WRL|GSO,|GSO|ORD|DEN|CYS|WRL|
WRL|ITH,|ITH|EWR|DEN|CYS|WRL|
WRL|JAX,|JAX|DEN|CYS|WRL|
WRL|MHT,|MHT|ORD|DEN|CYS|WRL|
WRL|MYR,|MYR|ORD|DEN|CYS|WRL|
WRL|ORF,|ORF|MDW|DEN|CYS|WRL|
WRL|POS,|POS|IAH|DEN|CYS|WRL|
WRL|PVD,|PVD|ORD|DEN|CYS|WRL|
WRL|PWM,|PWM|ORD|DEN|CYS|WRL|
WRL|SAP,|SAP|IAH|DEN|CYS|WRL|
WRL|SAV,|SAV|ORD|DEN|CYS|WRL|
WRL|SDQ,|SDQ|EWR|DEN|CYS|WRL|
WRL|SJU,|SJU|MCO|DEN|CYS|WRL|
WRL|SNN,|SNN|EWR|DEN|CYS|WRL|
WRL|STT,|STT|ORD|DEN|CYS|WRL|
WRL|SXM,|SXM|ORD|DEN|CYS|WRL|
WRL|BIM,|BIM|FLL|DEN|CYS|WRL|
WRL|ELH,|ELH|PBI|TPA|DEN|CYS|WRL|
WRL|EYW,|EYW|MSY|DEN|CYS|WRL|
WRL|FPO,|FPO|FLL|DEN|CYS|WRL|
WRL|GHB,|GHB|FLL|DEN|CYS|WRL|
WRL|MHH,|MHH|MCO|DEN|CYS|WRL|
WRL|TCB,|TCB|FLL|DEN|CYS|WRL|
WRL|SOW,|SOW|FMN|DEN|CYS|WRL|
WRL|ROB,|ROB|FNA|BRU|ORD|DEN|CYS|WRL|
WRL|GIG,|GIG|IAH|DEN|CYS|WRL|
WRL|CNS,|CNS|GUM|HNL|DEN|CYS|WRL|
WRL|CTS,|CTS|GUM|HNL|DEN|CYS|WRL|
WRL|OKJ,|OKJ|GUM|HNL|DEN|CYS|WRL|
WRL|ROP,|ROP|GUM|HNL|DEN|CYS|WRL|
WRL|ROR,|ROR|GUM|HNL|DEN|CYS|WRL|
WRL|SDJ,|SDJ|GUM|HNL|DEN|CYS|WRL|
WRL|SPN,|SPN|GUM|HNL|DEN|CYS|WRL|
WRL|TKK,|TKK|PNI|KWA|MAJ|HNL|DEN|CYS|WRL|
WRL|YAP,|YAP|GUM|HNL|DEN|CYS|WRL|
WRL|MAJ,|MAJ|HNL|DEN|CYS|WRL|
WRL|AOO,|AOO|IAD|DEN|CYS|WRL|
WRL|BGM,|BGM|IAD|DEN|CYS|WRL|
WRL|BKW,|BKW|IAD|DEN|CYS|WRL|
WRL|CAE,|CAE|ORD|DEN|CYS|WRL|
WRL|CHO,|CHO|IAD|DEN|CYS|WRL|
WRL|CRW,|CRW|ORD|DEN|CYS|WRL|
WRL|FAY,|FAY|IAD|DEN|CYS|WRL|
WRL|LWB,|LWB|IAD|DEN|CYS|WRL|
WRL|ROA,|ROA|ORD|DEN|CYS|WRL|
WRL|SCE,|SCE|ORD|DEN|CYS|WRL|
WRL|ACA,|ACA|IAH|DEN|CYS|WRL|
WRL|ACY,|ACY|ORD|DEN|CYS|WRL|
WRL|AEX,|AEX|IAH|DEN|CYS|WRL|
WRL|AGU,|AGU|IAH|DEN|CYS|WRL|
WRL|BJX,|BJX|IAH|DEN|CYS|WRL|
WRL|BRO,|BRO|IAH|DEN|CYS|WRL|
WRL|BTR,|BTR|IAH|DEN|CYS|WRL|
WRL|CCS,|CCS|IAH|DEN|CYS|WRL|
WRL|CLL,|CLL|IAH|DEN|CYS|WRL|
WRL|CME,|CME|IAH|DEN|CYS|WRL|
WRL|CRP,|CRP|IAH|DEN|CYS|WRL|
WRL|CUU,|CUU|IAH|DEN|CYS|WRL|
WRL|DAL,|DAL|OKC|DEN|CYS|WRL|
WRL|DGO,|DGO|IAH|DEN|CYS|WRL|
WRL|GDL,|GDL|IAH|DEN|CYS|WRL|
WRL|GPT,|GPT|IAH|DEN|CYS|WRL|
WRL|GRK,|GRK|IAH|DEN|CYS|WRL|
WRL|HOB,|HOB|IAH|DEN|CYS|WRL|
WRL|HRL,|HRL|SAT|DEN|CYS|WRL|
WRL|HUX,|HUX|IAH|DEN|CYS|WRL|
WRL|JAN,|JAN|IAH|DEN|CYS|WRL|
WRL|LCH,|LCH|IAH|DEN|CYS|WRL|
WRL|LEX,|LEX|ORD|DEN|CYS|WRL|
WRL|LFT,|LFT|IAH|DEN|CYS|WRL|
WRL|LRD,|LRD|IAH|DEN|CYS|WRL|
WRL|MFE,|MFE|IAH|DEN|CYS|WRL|
WRL|MGA,|MGA|IAH|DEN|CYS|WRL|
WRL|MID,|MID|IAH|DEN|CYS|WRL|
WRL|MLM,|MLM|IAH|DEN|CYS|WRL|
WRL|MLU,|MLU|IAH|DEN|CYS|WRL|
WRL|MOB,|MOB|IAH|DEN|CYS|WRL|
WRL|MTY,|MTY|IAH|DEN|CYS|WRL|
WRL|OAX,|OAX|IAH|DEN|CYS|WRL|
WRL|PBC,|PBC|IAH|DEN|CYS|WRL|
WRL|PNS,|PNS|IAH|DEN|CYS|WRL|
WRL|QRO,|QRO|IAH|DEN|CYS|WRL|
WRL|RTB,|RTB|IAH|DEN|CYS|WRL|
WRL|SLP,|SLP|IAH|DEN|CYS|WRL|
WRL|SLW,|SLW|IAH|DEN|CYS|WRL|
WRL|TAM,|TAM|IAH|DEN|CYS|WRL|
WRL|TGU,|TGU|IAH|DEN|CYS|WRL|
WRL|TRC,|TRC|IAH|DEN|CYS|WRL|
WRL|TYR,|TYR|IAH|DEN|CYS|WRL|
WRL|UIO,|UIO|IAH|DEN|CYS|WRL|
WRL|VER,|VER|IAH|DEN|CYS|WRL|
WRL|VPS,|VPS|IAH|DEN|CYS|WRL|
WRL|VSA,|VSA|IAH|DEN|CYS|WRL|
WRL|ZIH,|ZIH|IAH|DEN|CYS|WRL|
WRL|ZLO,|ZLO|IAH|DEN|CYS|WRL|
WRL|KWA,|KWA|MAJ|HNL|DEN|CYS|WRL|
WRL|PNI,|PNI|KWA|MAJ|HNL|DEN|CYS|WRL|
WRL|KSA,|KSA|KWA|MAJ|HNL|DEN|CYS|WRL|
WRL|CLD,|CLD|LAX|DEN|CYS|WRL|
WRL|ITO,|ITO|LAX|DEN|CYS|WRL|
WRL|SBP,|SBP|LAX|DEN|CYS|WRL|
WRL|SMX,|SMX|LAX|DEN|CYS|WRL|
WRL|YUM,|YUM|LAX|DEN|CYS|WRL|
WRL|DDC,|WRL|
WRL|TMS,|TMS|LIS|EWR|DEN|CYS|WRL|
WRL|PHC,|PHC|LOS|IAH|DEN|CYS|WRL|
WRL|GNV,|GNV|TPA|DEN|CYS|WRL|
WRL|TLH,|TLH|TPA|DEN|CYS|WRL|
WRL|CKB,|CKB|MGW|IAD|DEN|CYS|WRL|
WRL|BAQ,|BAQ|MIA|DEN|CYS|WRL|
WRL|CLO,|CLO|MIA|DEN|CYS|WRL|
WRL|CTG,|CTG|MIA|DEN|CYS|WRL|
WRL|MDE,|MDE|MIA|DEN|CYS|WRL|
WRL|ABE,|ABE|ORD|DEN|CYS|WRL|
WRL|ATW,|ATW|ORD|DEN|CYS|WRL|
WRL|AVL,|AVL|ORD|DEN|CYS|WRL|
WRL|AVP,|AVP|ORD|DEN|CYS|WRL|
WRL|CAK,|CAK|DEN|CYS|WRL|
WRL|CMX,|CMX|ORD|DEN|CYS|WRL|
WRL|CWA,|CWA|ORD|DEN|CYS|WRL|
WRL|DLH,|DLH|ORD|DEN|CYS|WRL|
WRL|EAU,|EAU|ORD|DEN|CYS|WRL|
WRL|ELM,|ELM|ORD|DEN|CYS|WRL|
WRL|FOE,|FOE|ORD|DEN|CYS|WRL|
WRL|FWA,|FWA|ORD|DEN|CYS|WRL|
WRL|GRB,|GRB|ORD|DEN|CYS|WRL|
WRL|HPN,|HPN|ORD|DEN|CYS|WRL|
WRL|LAN,|LAN|ORD|DEN|CYS|WRL|
WRL|MBS,|MBS|ORD|DEN|CYS|WRL|
WRL|MKG,|MKG|ORD|DEN|CYS|WRL|
WRL|PAH,|PAH|ORD|DEN|CYS|WRL|
WRL|SBN,|SBN|ORD|DEN|CYS|WRL|
WRL|SPI,|SPI|ORD|DEN|CYS|WRL|
WRL|SRQ,|SRQ|ORD|DEN|CYS|WRL|
WRL|STC,|STC|ORD|DEN|CYS|WRL|
WRL|TVC,|TVC|ORD|DEN|CYS|WRL|
WRL|LMT,|LMT|PDX|DEN|CYS|WRL|
WRL|HON,|HON|PIR|DEN|CYS|WRL|
WRL|CIC,|CIC|SFO|DEN|CYS|WRL|
WRL|MOD,|MOD|SFO|DEN|CYS|WRL|
WRL|OTH,|OTH|SFO|DEN|CYS|WRL|
WRL|RDD,|RDD|SFO|DEN|CYS|WRL|
WRL|EIS,|EIS|SJU|MCO|DEN|CYS|WRL|
WRL|DME,|DME|VIE|ORD|DEN|CYS|WRL|
WRL|EVN,|EVN|VIE|ORD|DEN|CYS|WRL|
WRL|HOU,|HOU|DEN|CYS|WRL|
WRL|MDW,|MDW|DEN|CYS|WRL|
WRL|OAK,|OAK|DEN|CYS|WRL|
WRL|ECP,|ECP|STL|DEN|CYS|WRL|
WRL|ISP,|ISP|BWI|DEN|CYS|WRL|
WRL|YHM,|YHM|YYC|DEN|CYS|WRL|
WRL|YXX,|YXX|YYC|DEN|CYS|WRL|
WRL|YBR,|YBR|YYC|DEN|CYS|WRL|
WRL|YKF,|YKF|YYC|DEN|CYS|WRL|
WRL|GDN,|WRL|
WRL|TRD,|WRL|
WRL|NKC,|WRL|
WRL|PGA,|WRL|
