ROR|BRU,|BRU|DEL|CAN|MNL|ROR|
ROR|MXP,|MXP|IST|CAN|MNL|ROR|
ROR|MZH,|MZH|IST|CAN|MNL|ROR|
ROR|MZR,|MZR|IST|CAN|MNL|ROR|
ROR|NAJ,|NAJ|IST|CAN|MNL|ROR|
ROR|NAV,|NAV|IST|CAN|MNL|ROR|
ROR|NCE,|NCE|IST|CAN|MNL|ROR|
ROR|NIM,|NIM|IST|CAN|MNL|ROR|
ROR|NJF,|NJF|IST|CAN|MNL|ROR|
ROR|NSI,|NSI|IST|CAN|MNL|ROR|
ROR|NUE,|NUE|IST|CAN|MNL|ROR|
ROR|ODS,|ODS|IST|CAN|MNL|ROR|
ROR|ORN,|ORN|IST|CAN|MNL|ROR|
ROR|OTP,|OTP|IST|CAN|MNL|ROR|
ROR|PRG,|PRG|IST|CAN|MNL|ROR|
ROR|PRN,|PRN|IST|CAN|MNL|ROR|
ROR|RIX,|RIX|IST|CAN|MNL|ROR|
ROR|ROV,|ROV|IST|CAN|MNL|ROR|
ROR|RTM,|RTM|IST|CAN|MNL|ROR|
ROR|RUH,|RUH|IST|CAN|MNL|ROR|
ROR|SAH,|SAH|IST|CAN|MNL|ROR|
ROR|SJJ,|SJJ|IST|CAN|MNL|ROR|
ROR|SKG,|SKG|IST|CAN|MNL|ROR|
ROR|SKP,|SKP|IST|CAN|MNL|ROR|
ROR|SSH,|SSH|IST|CAN|MNL|ROR|
ROR|STR,|STR|IST|CAN|MNL|ROR|
ROR|SVX,|SVX|IST|CAN|MNL|ROR|
ROR|SYZ,|SYZ|IST|CAN|MNL|ROR|
ROR|SZG,|SZG|IST|CAN|MNL|ROR|
ROR|TBZ,|TBZ|IST|CAN|MNL|ROR|
ROR|TGD,|TGD|IST|CAN|MNL|ROR|
ROR|TIA,|TIA|IST|CAN|MNL|ROR|
ROR|TIF,|TIF|IST|CAN|MNL|ROR|
ROR|TIP,|TIP|IST|CAN|MNL|ROR|
ROR|TLL,|TLL|IST|CAN|MNL|ROR|
ROR|TLS,|TLS|IST|CAN|MNL|ROR|
ROR|TRN,|TRN|IST|CAN|MNL|ROR|
ROR|TUN,|TUN|IST|CAN|MNL|ROR|
ROR|TXL,|TXL|IST|CAN|MNL|ROR|
ROR|UFA,|UFA|IST|CAN|MNL|ROR|
ROR|VAS,|VAS|IST|CAN|MNL|ROR|
ROR|VCE,|VCE|IST|CAN|MNL|ROR|
ROR|YNB,|YNB|IST|CAN|MNL|ROR|
ROR|ZAG,|ZAG|IST|CAN|MNL|ROR|
ROR|MGQ,|MGQ|JIB|IST|CAN|MNL|ROR|
ROR|CPT,|CPT|JNB|IST|CAN|MNL|ROR|
ROR|MBA,|MBA|JRO|IST|CAN|MNL|ROR|
ROR|NDJ,|NDJ|KAN|IST|CAN|MNL|ROR|
ROR|CMB,|CMB|MLE|CAN|MNL|ROR|
ROR|ADE,|ADE|SAH|IST|CAN|MNL|ROR|
ROR|ASF,|ASF|SAW|TBS|URC|CAN|MNL|ROR|
ROR|STW,|STW|SAW|TBS|URC|CAN|MNL|ROR|
ROR|LFW,|LFW|ABJ|OUA|NIM|IST|CAN|MNL|ROR|
ROR|CEC,|CEC|SFO|HNL|GUM|ROR|
ROR|SMF,|SMF|SFO|HNL|GUM|ROR|
ROR|CDR,|CDR|AIA|DEN|HNL|GUM|ROR|
ROR|FMN,|FMN|SOW|PHX|LAX|HNL|GUM|ROR|
ROR|JST,|JST|IAD|NRT|GUM|ROR|
ROR|JHW,|JHW|CLE|ORD|NRT|GUM|ROR|
ROR|SHD,|SHD|IAD|NRT|GUM|ROR|
ROR|PTY,|PTY|LAX|HNL|GUM|ROR|
ROR|FNA,|FNA|BRU|DEL|CAN|MNL|ROR|
ROR|SXB,|SXB|BRU|DEL|CAN|MNL|ROR|
ROR|ACV,|ACV|SFO|HNL|GUM|ROR|
ROR|MGW,|MGW|IAD|NRT|GUM|ROR|
ROR|ALB,|ALB|EWR|NRT|GUM|ROR|
ROR|AUS,|AUS|LAX|HNL|GUM|ROR|
ROR|BFD,|BFD|CLE|ORD|NRT|GUM|ROR|
ROR|BUF,|BUF|ORD|NRT|GUM|ROR|
ROR|CHS,|CHS|ATL|LAX|HNL|GUM|ROR|
ROR|DAY,|DAY|ORD|NRT|GUM|ROR|
ROR|DUJ,|DUJ|CLE|ORD|NRT|GUM|ROR|
ROR|ERI,|ERI|CLE|ORD|NRT|GUM|ROR|
ROR|FKL,|FKL|CLE|ORD|NRT|GUM|ROR|
ROR|FNT,|FNT|CLE|ORD|NRT|GUM|ROR|
ROR|GRR,|GRR|ORD|NRT|GUM|ROR|
ROR|GSP,|GSP|ORD|NRT|GUM|ROR|
ROR|PBI,|PBI|IAH|HNL|GUM|ROR|
ROR|PKB,|PKB|CLE|ORD|NRT|GUM|ROR|
ROR|RIC,|RIC|IAD|NRT|GUM|ROR|
ROR|SDF,|SDF|ORD|NRT|GUM|ROR|
ROR|GUM,|GUM|ROR|
ROR|WRL,|WRL|CYS|DEN|HNL|GUM|ROR|
ROR|LBL,|ROR|
ROR|ABQ,|ABQ|LAX|HNL|GUM|ROR|
ROR|AIA,|AIA|DEN|HNL|GUM|ROR|
ROR|ALS,|ALS|FMN|SOW|PHX|LAX|HNL|GUM|ROR|
ROR|AMA,|AMA|LAS|LAX|HNL|GUM|ROR|
ROR|ANC,|ANC|SEA|NRT|GUM|ROR|
ROR|ASE,|ASE|LAX|HNL|GUM|ROR|
ROR|BFL,|BFL|SFO|HNL|GUM|ROR|
ROR|BHM,|BHM|DAL|ABQ|LAX|HNL|GUM|ROR|
ROR|BIL,|BIL|DEN|HNL|GUM|ROR|
ROR|BIS,|BIS|DEN|HNL|GUM|ROR|
ROR|BOI,|BOI|SFO|HNL|GUM|ROR|
ROR|BUR,|BUR|SFO|HNL|GUM|ROR|
ROR|BZN,|BZN|DEN|HNL|GUM|ROR|
ROR|CID,|CID|DEN|HNL|GUM|ROR|
ROR|COD,|COD|DEN|HNL|GUM|ROR|
ROR|COS,|COS|SFO|HNL|GUM|ROR|
ROR|CPR,|CPR|DEN|HNL|GUM|ROR|
ROR|CYS,|CYS|DEN|HNL|GUM|ROR|
ROR|DIK,|DIK|DEN|HNL|GUM|ROR|
ROR|DRO,|DRO|DEN|HNL|GUM|ROR|
ROR|DSM,|DSM|DEN|HNL|GUM|ROR|
ROR|EGE,|EGE|DEN|HNL|GUM|ROR|
ROR|ELP,|ELP|LAX|HNL|GUM|ROR|
ROR|EUG,|EUG|PDX|SEA|NRT|GUM|ROR|
ROR|FAR,|FAR|DEN|HNL|GUM|ROR|
ROR|FAT,|FAT|SFO|HNL|GUM|ROR|
ROR|FCA,|FCA|DEN|HNL|GUM|ROR|
ROR|FSD,|FSD|DEN|HNL|GUM|ROR|
ROR|GCC,|GCC|DEN|HNL|GUM|ROR|
ROR|GEG,|GEG|BOI|SFO|HNL|GUM|ROR|
ROR|GJT,|GJT|DEN|HNL|GUM|ROR|
ROR|GTF,|GTF|DEN|HNL|GUM|ROR|
ROR|GUC,|GUC|DEN|HNL|GUM|ROR|
ROR|HDN,|HDN|DEN|HNL|GUM|ROR|
ROR|HLN,|HLN|DEN|HNL|GUM|ROR|
ROR|HSV,|HSV|DEN|HNL|GUM|ROR|
ROR|ICT,|ICT|LAX|HNL|GUM|ROR|
ROR|IDA,|IDA|DEN|HNL|GUM|ROR|
ROR|ISN,|ISN|DEN|HNL|GUM|ROR|
ROR|JAC,|JAC|DEN|HNL|GUM|ROR|
ROR|KOA,|KOA|SFO|HNL|GUM|ROR|
ROR|LAR,|LAR|DEN|HNL|GUM|ROR|
ROR|LBB,|LBB|LAS|LAX|HNL|GUM|ROR|
ROR|LIH,|LIH|HNL|GUM|ROR|
ROR|LIT,|LIT|PHX|LAX|HNL|GUM|ROR|
ROR|LNK,|LNK|DEN|HNL|GUM|ROR|
ROR|MAF,|MAF|LAS|LAX|HNL|GUM|ROR|
ROR|MEM,|MEM|DEN|HNL|GUM|ROR|
ROR|MFR,|MFR|SFO|HNL|GUM|ROR|
ROR|MLI,|MLI|DEN|HNL|GUM|ROR|
ROR|MOT,|MOT|DEN|HNL|GUM|ROR|
ROR|MRY,|MRY|SFO|HNL|GUM|ROR|
ROR|MSN,|MSN|ORD|NRT|GUM|ROR|
ROR|MSO,|MSO|DEN|HNL|GUM|ROR|
ROR|MTJ,|MTJ|DEN|HNL|GUM|ROR|
ROR|OKC,|OKC|LAX|HNL|GUM|ROR|
ROR|OMA,|OMA|DEN|HNL|GUM|ROR|
ROR|ONT,|ONT|SFO|HNL|GUM|ROR|
ROR|PIA,|PIA|DEN|HNL|GUM|ROR|
ROR|PIR,|PIR|DEN|HNL|GUM|ROR|
ROR|PSC,|PSC|SFO|HNL|GUM|ROR|
ROR|PSP,|PSP|LAX|HNL|GUM|ROR|
ROR|PUB,|PUB|DEN|HNL|GUM|ROR|
ROR|RAP,|RAP|DEN|HNL|GUM|ROR|
ROR|RDM,|RDM|PDX|SEA|NRT|GUM|ROR|
ROR|RKS,|RKS|DEN|HNL|GUM|ROR|
ROR|RNO,|RNO|SFO|HNL|GUM|ROR|
ROR|SAF,|SAF|DEN|HNL|GUM|ROR|
ROR|SAT,|SAT|LAX|HNL|GUM|ROR|
ROR|SBA,|SBA|LAX|HNL|GUM|ROR|
ROR|SGF,|SGF|DEN|HNL|GUM|ROR|
ROR|SGU,|SGU|DEN|HNL|GUM|ROR|
ROR|SHV,|SHV|IAH|HNL|GUM|ROR|
ROR|SJC,|SJC|LAX|HNL|GUM|ROR|
ROR|SLC,|SLC|SFO|HNL|GUM|ROR|
ROR|SNA,|SNA|SFO|HNL|GUM|ROR|
ROR|TUL,|TUL|PHX|LAX|HNL|GUM|ROR|
ROR|TUS,|TUS|LAX|HNL|GUM|ROR|
ROR|TYS,|TYS|ORD|NRT|GUM|ROR|
ROR|XNA,|XNA|DEN|HNL|GUM|ROR|
ROR|SAL,|SAL|LAX|HNL|GUM|ROR|
ROR|BJL,|BJL|DKR|BRU|DEL|CAN|MNL|ROR|
ROR|BFS,|BFS|EWR|NRT|GUM|ROR|
ROR|BON,|BON|IAH|HNL|GUM|ROR|
ROR|BQN,|BQN|EWR|NRT|GUM|ROR|
ROR|BTV,|BTV|EWR|NRT|GUM|ROR|
ROR|BZE,|BZE|IAH|HNL|GUM|ROR|
ROR|GLA,|GLA|EWR|NRT|GUM|ROR|
ROR|GSO,|GSO|ORD|NRT|GUM|ROR|
ROR|ITH,|ITH|EWR|NRT|GUM|ROR|
ROR|JAX,|JAX|IAH|HNL|GUM|ROR|
ROR|MHT,|MHT|EWR|NRT|GUM|ROR|
ROR|MYR,|MYR|ORD|NRT|GUM|ROR|
ROR|ORF,|ORF|IAD|NRT|GUM|ROR|
ROR|POS,|POS|IAH|HNL|GUM|ROR|
ROR|PVD,|PVD|EWR|NRT|GUM|ROR|
ROR|PWM,|PWM|EWR|NRT|GUM|ROR|
ROR|SAP,|SAP|IAH|HNL|GUM|ROR|
ROR|SAV,|SAV|IAH|HNL|GUM|ROR|
ROR|SDQ,|SDQ|EWR|NRT|GUM|ROR|
ROR|SJU,|SJU|IAH|HNL|GUM|ROR|
ROR|SNN,|SNN|EWR|NRT|GUM|ROR|
ROR|STT,|STT|IAD|NRT|GUM|ROR|
ROR|SXM,|SXM|EWR|NRT|GUM|ROR|
ROR|BIM,|BIM|FLL|IAH|HNL|GUM|ROR|
ROR|ELH,|ELH|PBI|IAH|HNL|GUM|ROR|
ROR|EYW,|EYW|MSY|IAH|HNL|GUM|ROR|
ROR|FPO,|FPO|FLL|IAH|HNL|GUM|ROR|
ROR|GHB,|GHB|FLL|IAH|HNL|GUM|ROR|
ROR|MHH,|MHH|PBI|IAH|HNL|GUM|ROR|
ROR|TCB,|TCB|FLL|IAH|HNL|GUM|ROR|
ROR|SOW,|SOW|PHX|LAX|HNL|GUM|ROR|
ROR|ROB,|ROB|FNA|BRU|DEL|CAN|MNL|ROR|
ROR|GIG,|GIG|GRU|IST|CAN|MNL|ROR|
ROR|CNS,|CNS|GUM|ROR|
ROR|CTS,|CTS|GUM|ROR|
ROR|OKJ,|OKJ|GUM|ROR|
ROR|ROP,|ROP|GUM|ROR|
ROR|SDJ,|SDJ|GUM|ROR|
ROR|SPN,|SPN|GUM|ROR|
ROR|TKK,|TKK|GUM|ROR|
ROR|YAP,|YAP|ROR|
ROR|MAJ,|MAJ|KWA|PNI|TKK|GUM|ROR|
ROR|AOO,|AOO|IAD|NRT|GUM|ROR|
ROR|BGM,|BGM|IAD|NRT|GUM|ROR|
ROR|BKW,|BKW|IAD|NRT|GUM|ROR|
ROR|CAE,|CAE|ORD|NRT|GUM|ROR|
ROR|CHO,|CHO|IAD|NRT|GUM|ROR|
ROR|CRW,|CRW|ORD|NRT|GUM|ROR|
ROR|FAY,|FAY|IAD|NRT|GUM|ROR|
ROR|LWB,|LWB|IAD|NRT|GUM|ROR|
ROR|ROA,|ROA|ORD|NRT|GUM|ROR|
ROR|SCE,|SCE|ORD|NRT|GUM|ROR|
ROR|ACA,|ACA|IAH|HNL|GUM|ROR|
ROR|ACY,|ACY|ORD|NRT|GUM|ROR|
ROR|AEX,|AEX|IAH|HNL|GUM|ROR|
ROR|AGU,|AGU|IAH|HNL|GUM|ROR|
ROR|BJX,|BJX|LAX|HNL|GUM|ROR|
ROR|BRO,|BRO|IAH|HNL|GUM|ROR|
ROR|BTR,|BTR|IAH|HNL|GUM|ROR|
ROR|CCS,|CCS|IAH|HNL|GUM|ROR|
ROR|CLL,|CLL|IAH|HNL|GUM|ROR|
ROR|CME,|CME|IAH|HNL|GUM|ROR|
ROR|CRP,|CRP|IAH|HNL|GUM|ROR|
ROR|CUU,|CUU|IAH|HNL|GUM|ROR|
ROR|DAL,|DAL|ABQ|LAX|HNL|GUM|ROR|
ROR|DGO,|DGO|LAX|HNL|GUM|ROR|
ROR|GDL,|GDL|LAX|HNL|GUM|ROR|
ROR|GPT,|GPT|IAH|HNL|GUM|ROR|
ROR|GRK,|GRK|IAH|HNL|GUM|ROR|
ROR|HOB,|HOB|IAH|HNL|GUM|ROR|
ROR|HRL,|HRL|SAT|LAX|HNL|GUM|ROR|
ROR|HUX,|HUX|IAH|HNL|GUM|ROR|
ROR|JAN,|JAN|IAH|HNL|GUM|ROR|
ROR|LCH,|LCH|IAH|HNL|GUM|ROR|
ROR|LEX,|LEX|ORD|NRT|GUM|ROR|
ROR|LFT,|LFT|IAH|HNL|GUM|ROR|
ROR|LRD,|LRD|IAH|HNL|GUM|ROR|
ROR|MFE,|MFE|IAH|HNL|GUM|ROR|
ROR|MGA,|MGA|IAH|HNL|GUM|ROR|
ROR|MID,|MID|IAH|HNL|GUM|ROR|
ROR|MLM,|MLM|IAH|HNL|GUM|ROR|
ROR|MLU,|MLU|IAH|HNL|GUM|ROR|
ROR|MOB,|MOB|IAH|HNL|GUM|ROR|
ROR|MTY,|MTY|IAH|HNL|GUM|ROR|
ROR|OAX,|OAX|IAH|HNL|GUM|ROR|
ROR|PBC,|PBC|IAH|HNL|GUM|ROR|
ROR|PNS,|PNS|IAH|HNL|GUM|ROR|
ROR|QRO,|QRO|IAH|HNL|GUM|ROR|
ROR|RTB,|RTB|IAH|HNL|GUM|ROR|
ROR|SLP,|SLP|IAH|HNL|GUM|ROR|
ROR|SLW,|SLW|IAH|HNL|GUM|ROR|
ROR|TAM,|TAM|IAH|HNL|GUM|ROR|
ROR|TGU,|TGU|IAH|HNL|GUM|ROR|
ROR|TRC,|TRC|IAH|HNL|GUM|ROR|
ROR|TYR,|TYR|IAH|HNL|GUM|ROR|
ROR|UIO,|UIO|IAH|HNL|GUM|ROR|
ROR|VER,|VER|IAH|HNL|GUM|ROR|
ROR|VPS,|VPS|IAH|HNL|GUM|ROR|
ROR|VSA,|VSA|IAH|HNL|GUM|ROR|
ROR|ZIH,|ZIH|IAH|HNL|GUM|ROR|
ROR|ZLO,|ZLO|IAH|HNL|GUM|ROR|
ROR|KWA,|KWA|PNI|TKK|GUM|ROR|
ROR|PNI,|PNI|TKK|GUM|ROR|
ROR|KSA,|KSA|PNI|TKK|GUM|ROR|
ROR|CLD,|CLD|LAX|HNL|GUM|ROR|
ROR|ITO,|ITO|LAX|HNL|GUM|ROR|
ROR|SBP,|SBP|SFO|HNL|GUM|ROR|
ROR|SMX,|SMX|LAX|HNL|GUM|ROR|
ROR|YUM,|YUM|LAX|HNL|GUM|ROR|
ROR|DDC,|ROR|
ROR|TMS,|TMS|LIS|IST|CAN|MNL|ROR|
ROR|PHC,|PHC|LOS|IST|CAN|MNL|ROR|
ROR|GNV,|GNV|TPA|IAH|HNL|GUM|ROR|
ROR|TLH,|TLH|TPA|IAH|HNL|GUM|ROR|
ROR|CKB,|CKB|MGW|IAD|NRT|GUM|ROR|
ROR|BAQ,|BAQ|MIA|IAH|HNL|GUM|ROR|
ROR|CLO,|CLO|MIA|IAH|HNL|GUM|ROR|
ROR|CTG,|CTG|MIA|IAH|HNL|GUM|ROR|
ROR|MDE,|MDE|MIA|IAH|HNL|GUM|ROR|
ROR|ABE,|ABE|ORD|NRT|GUM|ROR|
ROR|ATW,|ATW|ORD|NRT|GUM|ROR|
ROR|AVL,|AVL|ORD|NRT|GUM|ROR|
ROR|AVP,|AVP|ORD|NRT|GUM|ROR|
ROR|CAK,|CAK|ORD|NRT|GUM|ROR|
ROR|CMX,|CMX|ORD|NRT|GUM|ROR|
ROR|CWA,|CWA|ORD|NRT|GUM|ROR|
ROR|DLH,|DLH|ORD|NRT|GUM|ROR|
ROR|EAU,|EAU|ORD|NRT|GUM|ROR|
ROR|ELM,|ELM|ORD|NRT|GUM|ROR|
ROR|FOE,|FOE|ORD|NRT|GUM|ROR|
ROR|FWA,|FWA|ORD|NRT|GUM|ROR|
ROR|GRB,|GRB|ORD|NRT|GUM|ROR|
ROR|HPN,|HPN|ORD|NRT|GUM|ROR|
ROR|LAN,|LAN|ORD|NRT|GUM|ROR|
ROR|MBS,|MBS|ORD|NRT|GUM|ROR|
ROR|MKG,|MKG|ORD|NRT|GUM|ROR|
ROR|PAH,|PAH|ORD|NRT|GUM|ROR|
ROR|SBN,|SBN|ORD|NRT|GUM|ROR|
ROR|SPI,|SPI|ORD|NRT|GUM|ROR|
ROR|SRQ,|SRQ|ORD|NRT|GUM|ROR|
ROR|STC,|STC|ORD|NRT|GUM|ROR|
ROR|TVC,|TVC|ORD|NRT|GUM|ROR|
ROR|LMT,|LMT|SFO|HNL|GUM|ROR|
ROR|HON,|HON|PIR|DEN|HNL|GUM|ROR|
ROR|CIC,|CIC|SFO|HNL|GUM|ROR|
ROR|MOD,|MOD|SFO|HNL|GUM|ROR|
ROR|OTH,|OTH|SFO|HNL|GUM|ROR|
ROR|RDD,|RDD|SFO|HNL|GUM|ROR|
ROR|EIS,|EIS|SJU|IAH|HNL|GUM|ROR|
ROR|DME,|DME|VIE|IST|CAN|MNL|ROR|
ROR|EVN,|EVN|VIE|IST|CAN|MNL|ROR|
ROR|HOU,|HOU|LAX|HNL|GUM|ROR|
ROR|MDW,|MDW|SFO|HNL|GUM|ROR|
ROR|OAK,|OAK|LAX|HNL|GUM|ROR|
ROR|ECP,|ECP|HOU|LAX|HNL|GUM|ROR|
ROR|ISP,|ISP|BWI|YYZ|NRT|GUM|ROR|
ROR|YHM,|YHM|YYC|NRT|GUM|ROR|
ROR|YXX,|YXX|YYC|NRT|GUM|ROR|
ROR|YBR,|YBR|YYC|NRT|GUM|ROR|
ROR|YKF,|YKF|YYC|NRT|GUM|ROR|
ROR|GDN,|ROR|
ROR|TRD,|ROR|
ROR|NKC,|ROR|
ROR|PGA,|ROR|
