KWE|BRU,|BRU|IST|URC|KWE|
KWE|WRL,|WRL|CYS|DEN|YVR|PEK|KWE|
KWE|LBL,|KWE|
KWE|ABQ,|ABQ|SEA|PEK|KWE|
KWE|AIA,|AIA|DEN|YVR|PEK|KWE|
KWE|ALS,|ALS|DEN|YVR|PEK|KWE|
KWE|AMA,|AMA|DEN|YVR|PEK|KWE|
KWE|ANC,|ANC|SEA|PEK|KWE|
KWE|ASE,|ASE|DEN|YVR|PEK|KWE|
KWE|BFL,|BFL|SFO|PEK|KWE|
KWE|BHM,|BHM|ORD|PEK|KWE|
KWE|BIL,|BIL|DEN|YVR|PEK|KWE|
KWE|BIS,|BIS|DEN|YVR|PEK|KWE|
KWE|BOI,|BOI|SFO|PEK|KWE|
KWE|BUR,|BUR|SFO|PEK|KWE|
KWE|BZN,|BZN|DEN|YVR|PEK|KWE|
KWE|CID,|CID|ORD|PEK|KWE|
KWE|COD,|COD|DEN|YVR|PEK|KWE|
KWE|COS,|COS|DEN|YVR|PEK|KWE|
KWE|CPR,|CPR|DEN|YVR|PEK|KWE|
KWE|CYS,|CYS|DEN|YVR|PEK|KWE|
KWE|DIK,|DIK|DEN|YVR|PEK|KWE|
KWE|DRO,|DRO|DEN|YVR|PEK|KWE|
KWE|DSM,|DSM|ORD|PEK|KWE|
KWE|EGE,|EGE|DEN|YVR|PEK|KWE|
KWE|ELP,|ELP|LAS|SEA|PEK|KWE|
KWE|EUG,|EUG|PDX|SEA|PEK|KWE|
KWE|FAR,|FAR|DEN|YVR|PEK|KWE|
KWE|FAT,|FAT|SFO|PEK|KWE|
KWE|FCA,|FCA|DEN|YVR|PEK|KWE|
KWE|FSD,|FSD|DEN|YVR|PEK|KWE|
KWE|GCC,|GCC|DEN|YVR|PEK|KWE|
KWE|GEG,|GEG|BOI|SFO|PEK|KWE|
KWE|GJT,|GJT|DEN|YVR|PEK|KWE|
KWE|GTF,|GTF|DEN|YVR|PEK|KWE|
KWE|GUC,|GUC|DEN|YVR|PEK|KWE|
KWE|HDN,|HDN|DEN|YVR|PEK|KWE|
KWE|HLN,|HLN|DEN|YVR|PEK|KWE|
KWE|HSV,|HSV|ORD|PEK|KWE|
KWE|ICT,|ICT|DEN|YVR|PEK|KWE|
KWE|IDA,|IDA|DEN|YVR|PEK|KWE|
KWE|ISN,|ISN|DEN|YVR|PEK|KWE|
KWE|JAC,|JAC|DEN|YVR|PEK|KWE|
KWE|KOA,|KOA|YVR|PEK|KWE|
KWE|LAR,|LAR|DEN|YVR|PEK|KWE|
KWE|LBB,|LBB|DEN|YVR|PEK|KWE|
KWE|LIH,|LIH|HNL|NRT|ICN|WUH|KWE|
KWE|LIT,|LIT|ORD|PEK|KWE|
KWE|LNK,|LNK|DEN|YVR|PEK|KWE|
KWE|MAF,|MAF|DEN|YVR|PEK|KWE|
KWE|MEM,|MEM|ORD|PEK|KWE|
KWE|MFR,|MFR|SFO|PEK|KWE|
KWE|MLI,|MLI|ORD|PEK|KWE|
KWE|MOT,|MOT|DEN|YVR|PEK|KWE|
KWE|MRY,|MRY|SFO|PEK|KWE|
KWE|MSN,|MSN|ORD|PEK|KWE|
KWE|MSO,|MSO|DEN|YVR|PEK|KWE|
KWE|MTJ,|MTJ|DEN|YVR|PEK|KWE|
KWE|OKC,|OKC|DEN|YVR|PEK|KWE|
KWE|OMA,|OMA|DEN|YVR|PEK|KWE|
KWE|ONT,|ONT|SFO|PEK|KWE|
KWE|PIA,|PIA|ORD|PEK|KWE|
KWE|PIR,|PIR|DEN|YVR|PEK|KWE|
KWE|PSC,|PSC|SFO|PEK|KWE|
KWE|PSP,|PSP|SFO|PEK|KWE|
KWE|PUB,|PUB|DEN|YVR|PEK|KWE|
KWE|RAP,|RAP|DEN|YVR|PEK|KWE|
KWE|RDM,|RDM|PDX|SEA|PEK|KWE|
KWE|RKS,|RKS|DEN|YVR|PEK|KWE|
KWE|RNO,|RNO|SEA|PEK|KWE|
KWE|SAF,|SAF|DEN|YVR|PEK|KWE|
KWE|SAT,|SAT|DEN|YVR|PEK|KWE|
KWE|SBA,|SBA|SFO|PEK|KWE|
KWE|SGF,|SGF|ORD|PEK|KWE|
KWE|SGU,|SGU|DEN|YVR|PEK|KWE|
KWE|SHV,|SHV|DEN|YVR|PEK|KWE|
KWE|SJC,|SJC|SEA|PEK|KWE|
KWE|SLC,|SLC|SEA|PEK|KWE|
KWE|SNA,|SNA|SFO|PEK|KWE|
KWE|TUL,|TUL|DEN|YVR|PEK|KWE|
KWE|TUS,|TUS|LAS|SEA|PEK|KWE|
KWE|TYS,|TYS|ORD|PEK|KWE|
KWE|XNA,|XNA|DEN|YVR|PEK|KWE|
KWE|SAL,|SAL|IAH|PEK|KWE|
KWE|BJL,|BJL|DKR|BRU|IST|URC|KWE|
KWE|BFS,|BFS|EWR|PEK|KWE|
KWE|BON,|BON|EWR|PEK|KWE|
KWE|BQN,|BQN|EWR|PEK|KWE|
KWE|BTV,|BTV|EWR|PEK|KWE|
KWE|BZE,|BZE|IAH|PEK|KWE|
KWE|GLA,|GLA|EWR|PEK|KWE|
KWE|GSO,|GSO|IAD|PEK|KWE|
KWE|ITH,|ITH|EWR|PEK|KWE|
KWE|JAX,|JAX|ORD|PEK|KWE|
KWE|MHT,|MHT|EWR|PEK|KWE|
KWE|MYR,|MYR|YYZ|PEK|KWE|
KWE|ORF,|ORF|IAD|PEK|KWE|
KWE|POS,|POS|EWR|PEK|KWE|
KWE|PVD,|PVD|EWR|PEK|KWE|
KWE|PWM,|PWM|EWR|PEK|KWE|
KWE|SAP,|SAP|IAH|PEK|KWE|
KWE|SAV,|SAV|ORD|PEK|KWE|
KWE|SDQ,|SDQ|EWR|PEK|KWE|
KWE|SJU,|SJU|EWR|PEK|KWE|
KWE|SNN,|SNN|EWR|PEK|KWE|
KWE|STT,|STT|EWR|PEK|KWE|
KWE|SXM,|SXM|EWR|PEK|KWE|
KWE|BIM,|BIM|FLL|ORD|PEK|KWE|
KWE|ELH,|ELH|PBI|ATL|ORD|PEK|KWE|
KWE|EYW,|EYW|TPA|ORD|PEK|KWE|
KWE|FPO,|FPO|FLL|ORD|PEK|KWE|
KWE|GHB,|GHB|FLL|ORD|PEK|KWE|
KWE|MHH,|MHH|JAX|ORD|PEK|KWE|
KWE|TCB,|TCB|FLL|ORD|PEK|KWE|
KWE|SOW,|SOW|PHX|SEA|PEK|KWE|
KWE|ROB,|ROB|FNA|BRU|IST|URC|KWE|
KWE|GIG,|GIG|GRU|IST|URC|KWE|
KWE|CNS,|CNS|GUM|HKG|CAN|KWE|
KWE|CTS,|CTS|GUM|HKG|CAN|KWE|
KWE|OKJ,|OKJ|GUM|HKG|CAN|KWE|
KWE|ROP,|ROP|GUM|HKG|CAN|KWE|
KWE|ROR,|ROR|MNL|CAN|KWE|
KWE|SDJ,|SDJ|GUM|HKG|CAN|KWE|
KWE|SPN,|SPN|GUM|HKG|CAN|KWE|
KWE|TKK,|TKK|GUM|HKG|CAN|KWE|
KWE|YAP,|YAP|ROR|MNL|CAN|KWE|
KWE|MAJ,|MAJ|KWA|PNI|TKK|GUM|HKG|CAN|KWE|
KWE|AOO,|AOO|IAD|PEK|KWE|
KWE|BGM,|BGM|IAD|PEK|KWE|
KWE|BKW,|BKW|IAD|PEK|KWE|
KWE|CAE,|CAE|ORD|PEK|KWE|
KWE|CHO,|CHO|IAD|PEK|KWE|
KWE|CRW,|CRW|ORD|PEK|KWE|
KWE|FAY,|FAY|IAD|PEK|KWE|
KWE|LWB,|LWB|IAD|PEK|KWE|
KWE|ROA,|ROA|IAD|PEK|KWE|
KWE|SCE,|SCE|IAD|PEK|KWE|
KWE|ACA,|ACA|IAH|PEK|KWE|
KWE|ACY,|ACY|ORD|PEK|KWE|
KWE|AEX,|AEX|IAH|PEK|KWE|
KWE|AGU,|AGU|IAH|PEK|KWE|
KWE|BJX,|BJX|LAX|PEK|KWE|
KWE|BRO,|BRO|IAH|PEK|KWE|
KWE|BTR,|BTR|IAH|PEK|KWE|
KWE|CCS,|CCS|IAH|PEK|KWE|
KWE|CLL,|CLL|IAH|PEK|KWE|
KWE|CME,|CME|IAH|PEK|KWE|
KWE|CRP,|CRP|IAH|PEK|KWE|
KWE|CUU,|CUU|IAH|PEK|KWE|
KWE|DAL,|DAL|OKC|DEN|YVR|PEK|KWE|
KWE|DGO,|DGO|LAX|PEK|KWE|
KWE|GDL,|GDL|SFO|PEK|KWE|
KWE|GPT,|GPT|IAH|PEK|KWE|
KWE|GRK,|GRK|IAH|PEK|KWE|
KWE|HOB,|HOB|IAH|PEK|KWE|
KWE|HRL,|HRL|SAT|DEN|YVR|PEK|KWE|
KWE|HUX,|HUX|IAH|PEK|KWE|
KWE|JAN,|JAN|ORD|PEK|KWE|
KWE|LCH,|LCH|IAH|PEK|KWE|
KWE|LEX,|LEX|ORD|PEK|KWE|
KWE|LFT,|LFT|IAH|PEK|KWE|
KWE|LRD,|LRD|IAH|PEK|KWE|
KWE|MFE,|MFE|IAH|PEK|KWE|
KWE|MGA,|MGA|IAH|PEK|KWE|
KWE|MID,|MID|IAH|PEK|KWE|
KWE|MLM,|MLM|IAH|PEK|KWE|
KWE|MLU,|MLU|IAH|PEK|KWE|
KWE|MOB,|MOB|ORD|PEK|KWE|
KWE|MTY,|MTY|IAH|PEK|KWE|
KWE|OAX,|OAX|IAH|PEK|KWE|
KWE|PBC,|PBC|IAH|PEK|KWE|
KWE|PNS,|PNS|ORD|PEK|KWE|
KWE|QRO,|QRO|IAH|PEK|KWE|
KWE|RTB,|RTB|IAH|PEK|KWE|
KWE|SLP,|SLP|IAH|PEK|KWE|
KWE|SLW,|SLW|IAH|PEK|KWE|
KWE|TAM,|TAM|IAH|PEK|KWE|
KWE|TGU,|TGU|IAH|PEK|KWE|
KWE|TRC,|TRC|IAH|PEK|KWE|
KWE|TYR,|TYR|IAH|PEK|KWE|
KWE|UIO,|UIO|IAH|PEK|KWE|
KWE|VER,|VER|IAH|PEK|KWE|
KWE|VPS,|VPS|IAH|PEK|KWE|
KWE|VSA,|VSA|IAH|PEK|KWE|
KWE|ZIH,|ZIH|IAH|PEK|KWE|
KWE|ZLO,|ZLO|IAH|PEK|KWE|
KWE|KWA,|KWA|PNI|TKK|GUM|HKG|CAN|KWE|
KWE|PNI,|PNI|TKK|GUM|HKG|CAN|KWE|
KWE|KSA,|KSA|PNI|TKK|GUM|HKG|CAN|KWE|
KWE|CLD,|CLD|LAX|PEK|KWE|
KWE|ITO,|ITO|LAX|PEK|KWE|
KWE|SBP,|SBP|SFO|PEK|KWE|
KWE|SMX,|SMX|LAX|PEK|KWE|
KWE|YUM,|YUM|LAX|PEK|KWE|
KWE|DDC,|KWE|
KWE|TMS,|TMS|LIS|IST|URC|KWE|
KWE|PHC,|PHC|LOS|IST|URC|KWE|
KWE|GNV,|GNV|MCO|ORD|PEK|KWE|
KWE|TLH,|TLH|TPA|ORD|PEK|KWE|
KWE|CKB,|CKB|MGW|IAD|PEK|KWE|
KWE|BAQ,|BAQ|MIA|ORD|PEK|KWE|
KWE|CLO,|CLO|MIA|ORD|PEK|KWE|
KWE|CTG,|CTG|MIA|ORD|PEK|KWE|
KWE|MDE,|MDE|MIA|ORD|PEK|KWE|
KWE|ABE,|ABE|ORD|PEK|KWE|
KWE|ATW,|ATW|ORD|PEK|KWE|
KWE|AVL,|AVL|ORD|PEK|KWE|
KWE|AVP,|AVP|ORD|PEK|KWE|
KWE|CAK,|CAK|ORD|PEK|KWE|
KWE|CMX,|CMX|ORD|PEK|KWE|
KWE|CWA,|CWA|ORD|PEK|KWE|
KWE|DLH,|DLH|ORD|PEK|KWE|
KWE|EAU,|EAU|ORD|PEK|KWE|
KWE|ELM,|ELM|ORD|PEK|KWE|
KWE|FOE,|FOE|ORD|PEK|KWE|
KWE|FWA,|FWA|ORD|PEK|KWE|
KWE|GRB,|GRB|ORD|PEK|KWE|
KWE|HPN,|HPN|ORD|PEK|KWE|
KWE|LAN,|LAN|ORD|PEK|KWE|
KWE|MBS,|MBS|ORD|PEK|KWE|
KWE|MKG,|MKG|ORD|PEK|KWE|
KWE|PAH,|PAH|ORD|PEK|KWE|
KWE|SBN,|SBN|ORD|PEK|KWE|
KWE|SPI,|SPI|ORD|PEK|KWE|
KWE|SRQ,|SRQ|ORD|PEK|KWE|
KWE|STC,|STC|ORD|PEK|KWE|
KWE|TVC,|TVC|ORD|PEK|KWE|
KWE|LMT,|LMT|PDX|SEA|PEK|KWE|
KWE|HON,|HON|PIR|DEN|YVR|PEK|KWE|
KWE|CIC,|CIC|SFO|PEK|KWE|
KWE|MOD,|MOD|SFO|PEK|KWE|
KWE|OTH,|OTH|SFO|PEK|KWE|
KWE|RDD,|RDD|SFO|PEK|KWE|
KWE|EIS,|EIS|SJU|EWR|PEK|KWE|
KWE|DME,|DME|VIE|IST|URC|KWE|
KWE|EVN,|EVN|VIE|IST|URC|KWE|
KWE|HOU,|HOU|DEN|YVR|PEK|KWE|
KWE|MDW,|MDW|DTW|PEK|KWE|
KWE|OAK,|OAK|SEA|PEK|KWE|
KWE|ECP,|ECP|BNA|ORD|PEK|KWE|
KWE|ISP,|ISP|BWI|YYZ|PEK|KWE|
KWE|YHM,|YHM|YYC|YVR|PEK|KWE|
KWE|YXX,|YXX|YYC|YVR|PEK|KWE|
KWE|YBR,|YBR|YYC|YVR|PEK|KWE|
KWE|YKF,|YKF|YYC|YVR|PEK|KWE|
KWE|GDN,|KWE|
KWE|TRD,|KWE|
KWE|NKC,|KWE|
KWE|PGA,|KWE|
