KAN|BRU,|BRU|IST|NDJ|KAN|
KAN|LIS,|LIS|IST|NDJ|KAN|
KAN|LJU,|LJU|IST|NDJ|KAN|
KAN|LOS,|LOS|IST|NDJ|KAN|
KAN|LUX,|LUX|IST|NDJ|KAN|
KAN|LWO,|LWO|IST|NDJ|KAN|
KAN|LYS,|LYS|IST|NDJ|KAN|
KAN|MAD,|MAD|IST|NDJ|KAN|
KAN|MAN,|MAN|IST|NDJ|KAN|
KAN|MED,|MED|IST|NDJ|KAN|
KAN|MHD,|MHD|IST|NDJ|KAN|
KAN|MLA,|MLA|IST|NDJ|KAN|
KAN|MRS,|MRS|IST|NDJ|KAN|
KAN|MSQ,|MSQ|IST|NDJ|KAN|
KAN|MXP,|MXP|IST|NDJ|KAN|
KAN|MZH,|MZH|IST|NDJ|KAN|
KAN|MZR,|MZR|IST|NDJ|KAN|
KAN|NAJ,|NAJ|IST|NDJ|KAN|
KAN|NAV,|NAV|IST|NDJ|KAN|
KAN|NCE,|NCE|IST|NDJ|KAN|
KAN|NIM,|NIM|IST|NDJ|KAN|
KAN|NJF,|NJF|IST|NDJ|KAN|
KAN|NSI,|NSI|IST|NDJ|KAN|
KAN|NUE,|NUE|IST|NDJ|KAN|
KAN|ODS,|ODS|IST|NDJ|KAN|
KAN|ORN,|ORN|IST|NDJ|KAN|
KAN|OTP,|OTP|IST|NDJ|KAN|
KAN|PRG,|PRG|IST|NDJ|KAN|
KAN|PRN,|PRN|IST|NDJ|KAN|
KAN|RIX,|RIX|IST|NDJ|KAN|
KAN|ROV,|ROV|IST|NDJ|KAN|
KAN|RTM,|RTM|IST|NDJ|KAN|
KAN|RUH,|RUH|IST|NDJ|KAN|
KAN|SAH,|SAH|IST|NDJ|KAN|
KAN|SJJ,|SJJ|IST|NDJ|KAN|
KAN|SKG,|SKG|IST|NDJ|KAN|
KAN|SKP,|SKP|IST|NDJ|KAN|
KAN|SSH,|SSH|IST|NDJ|KAN|
KAN|STR,|STR|IST|NDJ|KAN|
KAN|SVX,|SVX|IST|NDJ|KAN|
KAN|SYZ,|SYZ|IST|NDJ|KAN|
KAN|SZG,|SZG|IST|NDJ|KAN|
KAN|TBZ,|TBZ|IST|NDJ|KAN|
KAN|TGD,|TGD|IST|NDJ|KAN|
KAN|TIA,|TIA|IST|NDJ|KAN|
KAN|TIF,|TIF|IST|NDJ|KAN|
KAN|TIP,|TIP|IST|NDJ|KAN|
KAN|TLL,|TLL|IST|NDJ|KAN|
KAN|TLS,|TLS|IST|NDJ|KAN|
KAN|TRN,|TRN|IST|NDJ|KAN|
KAN|TUN,|TUN|IST|NDJ|KAN|
KAN|TXL,|TXL|IST|NDJ|KAN|
KAN|UFA,|UFA|IST|NDJ|KAN|
KAN|VAS,|VAS|IST|NDJ|KAN|
KAN|VCE,|VCE|IST|NDJ|KAN|
KAN|YNB,|YNB|IST|NDJ|KAN|
KAN|ZAG,|ZAG|IST|NDJ|KAN|
KAN|MGQ,|MGQ|JIB|IST|NDJ|KAN|
KAN|CPT,|CPT|JNB|IST|NDJ|KAN|
KAN|MBA,|MBA|JRO|IST|NDJ|KAN|
KAN|NDJ,|NDJ|KAN|
KAN|CMB,|CMB|MLE|IST|NDJ|KAN|
KAN|ADE,|ADE|SAH|IST|NDJ|KAN|
KAN|ASF,|ASF|SAW|ADB|IST|NDJ|KAN|
KAN|STW,|STW|SAW|ADB|IST|NDJ|KAN|
KAN|LFW,|LFW|ABJ|OUA|NIM|IST|NDJ|KAN|
KAN|CEC,|CEC|ACV|SMF|SEA|FRA|IST|NDJ|KAN|
KAN|SMF,|SMF|SEA|FRA|IST|NDJ|KAN|
KAN|CDR,|CDR|AIA|DEN|FRA|IST|NDJ|KAN|
KAN|FMN,|FMN|DEN|FRA|IST|NDJ|KAN|
KAN|JST,|JST|IAD|IST|NDJ|KAN|
KAN|JHW,|JHW|CLE|YYZ|IST|NDJ|KAN|
KAN|SHD,|SHD|IAD|IST|NDJ|KAN|
KAN|PTY,|PTY|MIA|ZRH|IST|NDJ|KAN|
KAN|FNA,|FNA|BRU|IST|NDJ|KAN|
KAN|SXB,|SXB|BRU|IST|NDJ|KAN|
KAN|ACV,|ACV|SMF|SEA|FRA|IST|NDJ|KAN|
KAN|MGW,|MGW|IAD|IST|NDJ|KAN|
KAN|ALB,|ALB|EWR|BHX|IST|NDJ|KAN|
KAN|AUS,|AUS|ORD|IST|NDJ|KAN|
KAN|BFD,|BFD|CLE|YYZ|IST|NDJ|KAN|
KAN|BUF,|BUF|EWR|BHX|IST|NDJ|KAN|
KAN|CHS,|CHS|EWR|BHX|IST|NDJ|KAN|
KAN|DAY,|DAY|CLE|YYZ|IST|NDJ|KAN|
KAN|DUJ,|DUJ|CLE|YYZ|IST|NDJ|KAN|
KAN|ERI,|ERI|CLE|YYZ|IST|NDJ|KAN|
KAN|FKL,|FKL|CLE|YYZ|IST|NDJ|KAN|
KAN|FNT,|FNT|CLE|YYZ|IST|NDJ|KAN|
KAN|GRR,|GRR|CLE|YYZ|IST|NDJ|KAN|
KAN|GSP,|GSP|EWR|BHX|IST|NDJ|KAN|
KAN|PBI,|PBI|EWR|BHX|IST|NDJ|KAN|
KAN|PKB,|PKB|CLE|YYZ|IST|NDJ|KAN|
KAN|RIC,|RIC|EWR|BHX|IST|NDJ|KAN|
KAN|SDF,|SDF|CLE|YYZ|IST|NDJ|KAN|
KAN|GUM,|GUM|FUK|ICN|IST|NDJ|KAN|
KAN|WRL,|WRL|CYS|DEN|FRA|IST|NDJ|KAN|
KAN|LBL,|KAN|
KAN|ABQ,|ABQ|DEN|FRA|IST|NDJ|KAN|
KAN|AIA,|AIA|DEN|FRA|IST|NDJ|KAN|
KAN|ALS,|ALS|DEN|FRA|IST|NDJ|KAN|
KAN|AMA,|AMA|DEN|FRA|IST|NDJ|KAN|
KAN|ANC,|ANC|SEA|FRA|IST|NDJ|KAN|
KAN|ASE,|ASE|DEN|FRA|IST|NDJ|KAN|
KAN|BFL,|BFL|LAX|IST|NDJ|KAN|
KAN|BHM,|BHM|BWI|EWR|BHX|IST|NDJ|KAN|
KAN|BIL,|BIL|DEN|FRA|IST|NDJ|KAN|
KAN|BIS,|BIS|DEN|FRA|IST|NDJ|KAN|
KAN|BOI,|BOI|DEN|FRA|IST|NDJ|KAN|
KAN|BUR,|BUR|DEN|FRA|IST|NDJ|KAN|
KAN|BZN,|BZN|ORD|IST|NDJ|KAN|
KAN|CID,|CID|ORD|IST|NDJ|KAN|
KAN|COD,|COD|DEN|FRA|IST|NDJ|KAN|
KAN|COS,|COS|DEN|FRA|IST|NDJ|KAN|
KAN|CPR,|CPR|DEN|FRA|IST|NDJ|KAN|
KAN|CYS,|CYS|DEN|FRA|IST|NDJ|KAN|
KAN|DIK,|DIK|DEN|FRA|IST|NDJ|KAN|
KAN|DRO,|DRO|DEN|FRA|IST|NDJ|KAN|
KAN|DSM,|DSM|ORD|IST|NDJ|KAN|
KAN|EGE,|EGE|DEN|FRA|IST|NDJ|KAN|
KAN|ELP,|ELP|DEN|FRA|IST|NDJ|KAN|
KAN|EUG,|EUG|PDX|SEA|FRA|IST|NDJ|KAN|
KAN|FAR,|FAR|ORD|IST|NDJ|KAN|
KAN|FAT,|FAT|SFO|MUC|IST|NDJ|KAN|
KAN|FCA,|FCA|DEN|FRA|IST|NDJ|KAN|
KAN|FSD,|FSD|ORD|IST|NDJ|KAN|
KAN|GCC,|GCC|DEN|FRA|IST|NDJ|KAN|
KAN|GEG,|GEG|DEN|FRA|IST|NDJ|KAN|
KAN|GJT,|GJT|DEN|FRA|IST|NDJ|KAN|
KAN|GTF,|GTF|DEN|FRA|IST|NDJ|KAN|
KAN|GUC,|GUC|DEN|FRA|IST|NDJ|KAN|
KAN|HDN,|HDN|DEN|FRA|IST|NDJ|KAN|
KAN|HLN,|HLN|DEN|FRA|IST|NDJ|KAN|
KAN|HSV,|HSV|IAD|IST|NDJ|KAN|
KAN|ICT,|ICT|ORD|IST|NDJ|KAN|
KAN|IDA,|IDA|DEN|FRA|IST|NDJ|KAN|
KAN|ISN,|ISN|DEN|FRA|IST|NDJ|KAN|
KAN|JAC,|JAC|DEN|FRA|IST|NDJ|KAN|
KAN|KOA,|KOA|YVR|MUC|IST|NDJ|KAN|
KAN|LAR,|LAR|DEN|FRA|IST|NDJ|KAN|
KAN|LBB,|LBB|DAL|STL|ORD|IST|NDJ|KAN|
KAN|LIH,|LIH|YVR|MUC|IST|NDJ|KAN|
KAN|LIT,|LIT|ORD|IST|NDJ|KAN|
KAN|LNK,|LNK|ORD|IST|NDJ|KAN|
KAN|MAF,|MAF|DAL|STL|ORD|IST|NDJ|KAN|
KAN|MEM,|MEM|EWR|BHX|IST|NDJ|KAN|
KAN|MFR,|MFR|DEN|FRA|IST|NDJ|KAN|
KAN|MLI,|MLI|ORD|IST|NDJ|KAN|
KAN|MOT,|MOT|DEN|FRA|IST|NDJ|KAN|
KAN|MRY,|MRY|SFO|MUC|IST|NDJ|KAN|
KAN|MSN,|MSN|ORD|IST|NDJ|KAN|
KAN|MSO,|MSO|DEN|FRA|IST|NDJ|KAN|
KAN|MTJ,|MTJ|DEN|FRA|IST|NDJ|KAN|
KAN|OKC,|OKC|ORD|IST|NDJ|KAN|
KAN|OMA,|OMA|ORD|IST|NDJ|KAN|
KAN|ONT,|ONT|DEN|FRA|IST|NDJ|KAN|
KAN|PIA,|PIA|ORD|IST|NDJ|KAN|
KAN|PIR,|PIR|DEN|FRA|IST|NDJ|KAN|
KAN|PSC,|PSC|DEN|FRA|IST|NDJ|KAN|
KAN|PSP,|PSP|DEN|FRA|IST|NDJ|KAN|
KAN|PUB,|PUB|DEN|FRA|IST|NDJ|KAN|
KAN|RAP,|RAP|ORD|IST|NDJ|KAN|
KAN|RDM,|RDM|PDX|SEA|FRA|IST|NDJ|KAN|
KAN|RKS,|RKS|DEN|FRA|IST|NDJ|KAN|
KAN|RNO,|RNO|SEA|FRA|IST|NDJ|KAN|
KAN|SAF,|SAF|DEN|FRA|IST|NDJ|KAN|
KAN|SAT,|SAT|ORD|IST|NDJ|KAN|
KAN|SBA,|SBA|LAX|IST|NDJ|KAN|
KAN|SGF,|SGF|ORD|IST|NDJ|KAN|
KAN|SGU,|SGU|DEN|FRA|IST|NDJ|KAN|
KAN|SHV,|SHV|IAH|IST|NDJ|KAN|
KAN|SJC,|SJC|SEA|FRA|IST|NDJ|KAN|
KAN|SLC,|SLC|DEN|FRA|IST|NDJ|KAN|
KAN|SNA,|SNA|DEN|FRA|IST|NDJ|KAN|
KAN|TUL,|TUL|ORD|IST|NDJ|KAN|
KAN|TUS,|TUS|DEN|FRA|IST|NDJ|KAN|
KAN|TYS,|TYS|IAD|IST|NDJ|KAN|
KAN|XNA,|XNA|ORD|IST|NDJ|KAN|
KAN|SAL,|SAL|MIA|ZRH|IST|NDJ|KAN|
KAN|BJL,|BJL|DKR|BRU|IST|NDJ|KAN|
KAN|BFS,|BFS|EWR|BHX|IST|NDJ|KAN|
KAN|BON,|BON|EWR|BHX|IST|NDJ|KAN|
KAN|BQN,|BQN|EWR|BHX|IST|NDJ|KAN|
KAN|BTV,|BTV|EWR|BHX|IST|NDJ|KAN|
KAN|BZE,|BZE|EWR|BHX|IST|NDJ|KAN|
KAN|GLA,|GLA|EWR|BHX|IST|NDJ|KAN|
KAN|GSO,|GSO|EWR|BHX|IST|NDJ|KAN|
KAN|ITH,|ITH|EWR|BHX|IST|NDJ|KAN|
KAN|JAX,|JAX|EWR|BHX|IST|NDJ|KAN|
KAN|MHT,|MHT|EWR|BHX|IST|NDJ|KAN|
KAN|MYR,|MYR|EWR|BHX|IST|NDJ|KAN|
KAN|ORF,|ORF|EWR|BHX|IST|NDJ|KAN|
KAN|POS,|POS|EWR|BHX|IST|NDJ|KAN|
KAN|PVD,|PVD|EWR|BHX|IST|NDJ|KAN|
KAN|PWM,|PWM|EWR|BHX|IST|NDJ|KAN|
KAN|SAP,|SAP|MIA|ZRH|IST|NDJ|KAN|
KAN|SAV,|SAV|EWR|BHX|IST|NDJ|KAN|
KAN|SDQ,|SDQ|EWR|BHX|IST|NDJ|KAN|
KAN|SJU,|SJU|EWR|BHX|IST|NDJ|KAN|
KAN|SNN,|SNN|EWR|BHX|IST|NDJ|KAN|
KAN|STT,|STT|EWR|BHX|IST|NDJ|KAN|
KAN|SXM,|SXM|EWR|BHX|IST|NDJ|KAN|
KAN|BIM,|BIM|FLL|MCO|FRA|IST|NDJ|KAN|
KAN|ELH,|ELH|PBI|EWR|BHX|IST|NDJ|KAN|
KAN|EYW,|EYW|MCO|FRA|IST|NDJ|KAN|
KAN|FPO,|FPO|FLL|MCO|FRA|IST|NDJ|KAN|
KAN|GHB,|GHB|FLL|MCO|FRA|IST|NDJ|KAN|
KAN|MHH,|MHH|MCO|FRA|IST|NDJ|KAN|
KAN|TCB,|TCB|FLL|MCO|FRA|IST|NDJ|KAN|
KAN|SOW,|SOW|FMN|DEN|FRA|IST|NDJ|KAN|
KAN|ROB,|ROB|FNA|BRU|IST|NDJ|KAN|
KAN|GIG,|GIG|GRU|IST|NDJ|KAN|
KAN|CNS,|CNS|GUM|FUK|ICN|IST|NDJ|KAN|
KAN|CTS,|CTS|GUM|FUK|ICN|IST|NDJ|KAN|
KAN|OKJ,|OKJ|GUM|FUK|ICN|IST|NDJ|KAN|
KAN|ROP,|ROP|GUM|FUK|ICN|IST|NDJ|KAN|
KAN|ROR,|ROR|MNL|CAN|IST|NDJ|KAN|
KAN|SDJ,|SDJ|GUM|FUK|ICN|IST|NDJ|KAN|
KAN|SPN,|SPN|GUM|FUK|ICN|IST|NDJ|KAN|
KAN|TKK,|TKK|GUM|FUK|ICN|IST|NDJ|KAN|
KAN|YAP,|YAP|ROR|MNL|CAN|IST|NDJ|KAN|
KAN|MAJ,|MAJ|KWA|PNI|TKK|GUM|FUK|ICN|IST|NDJ|KAN|
KAN|AOO,|AOO|IAD|IST|NDJ|KAN|
KAN|BGM,|BGM|IAD|IST|NDJ|KAN|
KAN|BKW,|BKW|IAD|IST|NDJ|KAN|
KAN|CAE,|CAE|IAD|IST|NDJ|KAN|
KAN|CHO,|CHO|IAD|IST|NDJ|KAN|
KAN|CRW,|CRW|IAD|IST|NDJ|KAN|
KAN|FAY,|FAY|IAD|IST|NDJ|KAN|
KAN|LWB,|LWB|IAD|IST|NDJ|KAN|
KAN|ROA,|ROA|IAD|IST|NDJ|KAN|
KAN|SCE,|SCE|IAD|IST|NDJ|KAN|
KAN|ACA,|ACA|IAH|IST|NDJ|KAN|
KAN|ACY,|ACY|ORD|IST|NDJ|KAN|
KAN|AEX,|AEX|IAH|IST|NDJ|KAN|
KAN|AGU,|AGU|IAH|IST|NDJ|KAN|
KAN|BJX,|BJX|IAH|IST|NDJ|KAN|
KAN|BRO,|BRO|IAH|IST|NDJ|KAN|
KAN|BTR,|BTR|IAH|IST|NDJ|KAN|
KAN|CCS,|CCS|IAH|IST|NDJ|KAN|
KAN|CLL,|CLL|IAH|IST|NDJ|KAN|
KAN|CME,|CME|IAH|IST|NDJ|KAN|
KAN|CRP,|CRP|IAH|IST|NDJ|KAN|
KAN|CUU,|CUU|IAH|IST|NDJ|KAN|
KAN|DAL,|DAL|STL|ORD|IST|NDJ|KAN|
KAN|DGO,|DGO|IAH|IST|NDJ|KAN|
KAN|GDL,|GDL|IAH|IST|NDJ|KAN|
KAN|GPT,|GPT|IAH|IST|NDJ|KAN|
KAN|GRK,|GRK|IAH|IST|NDJ|KAN|
KAN|HOB,|HOB|IAH|IST|NDJ|KAN|
KAN|HRL,|HRL|IAH|IST|NDJ|KAN|
KAN|HUX,|HUX|IAH|IST|NDJ|KAN|
KAN|JAN,|JAN|ORD|IST|NDJ|KAN|
KAN|LCH,|LCH|IAH|IST|NDJ|KAN|
KAN|LEX,|LEX|ORD|IST|NDJ|KAN|
KAN|LFT,|LFT|IAH|IST|NDJ|KAN|
KAN|LRD,|LRD|IAH|IST|NDJ|KAN|
KAN|MFE,|MFE|IAH|IST|NDJ|KAN|
KAN|MGA,|MGA|IAH|IST|NDJ|KAN|
KAN|MID,|MID|IAH|IST|NDJ|KAN|
KAN|MLM,|MLM|IAH|IST|NDJ|KAN|
KAN|MLU,|MLU|IAH|IST|NDJ|KAN|
KAN|MOB,|MOB|ORD|IST|NDJ|KAN|
KAN|MTY,|MTY|IAH|IST|NDJ|KAN|
KAN|OAX,|OAX|IAH|IST|NDJ|KAN|
KAN|PBC,|PBC|IAH|IST|NDJ|KAN|
KAN|PNS,|PNS|BNA|YYZ|IST|NDJ|KAN|
KAN|QRO,|QRO|IAH|IST|NDJ|KAN|
KAN|RTB,|RTB|IAH|IST|NDJ|KAN|
KAN|SLP,|SLP|IAH|IST|NDJ|KAN|
KAN|SLW,|SLW|IAH|IST|NDJ|KAN|
KAN|TAM,|TAM|IAH|IST|NDJ|KAN|
KAN|TGU,|TGU|IAH|IST|NDJ|KAN|
KAN|TRC,|TRC|IAH|IST|NDJ|KAN|
KAN|TYR,|TYR|IAH|IST|NDJ|KAN|
KAN|UIO,|UIO|IAH|IST|NDJ|KAN|
KAN|VER,|VER|IAH|IST|NDJ|KAN|
KAN|VPS,|VPS|IAH|IST|NDJ|KAN|
KAN|VSA,|VSA|IAH|IST|NDJ|KAN|
KAN|ZIH,|ZIH|IAH|IST|NDJ|KAN|
KAN|ZLO,|ZLO|IAH|IST|NDJ|KAN|
KAN|KWA,|KWA|PNI|TKK|GUM|FUK|ICN|IST|NDJ|KAN|
KAN|PNI,|PNI|TKK|GUM|FUK|ICN|IST|NDJ|KAN|
KAN|KSA,|KSA|PNI|TKK|GUM|FUK|ICN|IST|NDJ|KAN|
KAN|CLD,|CLD|LAX|IST|NDJ|KAN|
KAN|ITO,|ITO|LAX|IST|NDJ|KAN|
KAN|SBP,|SBP|LAX|IST|NDJ|KAN|
KAN|SMX,|SMX|LAX|IST|NDJ|KAN|
KAN|YUM,|YUM|LAX|IST|NDJ|KAN|
KAN|DDC,|KAN|
KAN|TMS,|TMS|LIS|IST|NDJ|KAN|
KAN|PHC,|PHC|LOS|IST|NDJ|KAN|
KAN|GNV,|GNV|MCO|FRA|IST|NDJ|KAN|
KAN|TLH,|TLH|MCO|FRA|IST|NDJ|KAN|
KAN|CKB,|CKB|MGW|IAD|IST|NDJ|KAN|
KAN|BAQ,|BAQ|MIA|ZRH|IST|NDJ|KAN|
KAN|CLO,|CLO|MIA|ZRH|IST|NDJ|KAN|
KAN|CTG,|CTG|MIA|ZRH|IST|NDJ|KAN|
KAN|MDE,|MDE|MIA|ZRH|IST|NDJ|KAN|
KAN|ABE,|ABE|ORD|IST|NDJ|KAN|
KAN|ATW,|ATW|ORD|IST|NDJ|KAN|
KAN|AVL,|AVL|ORD|IST|NDJ|KAN|
KAN|AVP,|AVP|ORD|IST|NDJ|KAN|
KAN|CAK,|CAK|BOS|FRA|IST|NDJ|KAN|
KAN|CMX,|CMX|ORD|IST|NDJ|KAN|
KAN|CWA,|CWA|ORD|IST|NDJ|KAN|
KAN|DLH,|DLH|ORD|IST|NDJ|KAN|
KAN|EAU,|EAU|ORD|IST|NDJ|KAN|
KAN|ELM,|ELM|ORD|IST|NDJ|KAN|
KAN|FOE,|FOE|ORD|IST|NDJ|KAN|
KAN|FWA,|FWA|ORD|IST|NDJ|KAN|
KAN|GRB,|GRB|ORD|IST|NDJ|KAN|
KAN|HPN,|HPN|ORD|IST|NDJ|KAN|
KAN|LAN,|LAN|ORD|IST|NDJ|KAN|
KAN|MBS,|MBS|ORD|IST|NDJ|KAN|
KAN|MKG,|MKG|ORD|IST|NDJ|KAN|
KAN|PAH,|PAH|ORD|IST|NDJ|KAN|
KAN|SBN,|SBN|ORD|IST|NDJ|KAN|
KAN|SPI,|SPI|ORD|IST|NDJ|KAN|
KAN|SRQ,|SRQ|ORD|IST|NDJ|KAN|
KAN|STC,|STC|ORD|IST|NDJ|KAN|
KAN|TVC,|TVC|ORD|IST|NDJ|KAN|
KAN|LMT,|LMT|PDX|SEA|FRA|IST|NDJ|KAN|
KAN|HON,|HON|PIR|DEN|FRA|IST|NDJ|KAN|
KAN|CIC,|CIC|SFO|MUC|IST|NDJ|KAN|
KAN|MOD,|MOD|SFO|MUC|IST|NDJ|KAN|
KAN|OTH,|OTH|SFO|MUC|IST|NDJ|KAN|
KAN|RDD,|RDD|SFO|MUC|IST|NDJ|KAN|
KAN|EIS,|EIS|SJU|EWR|BHX|IST|NDJ|KAN|
KAN|DME,|DME|VIE|IST|NDJ|KAN|
KAN|EVN,|EVN|VIE|IST|NDJ|KAN|
KAN|HOU,|HOU|IND|YYZ|IST|NDJ|KAN|
KAN|MDW,|MDW|DTW|FRA|IST|NDJ|KAN|
KAN|OAK,|OAK|SEA|FRA|IST|NDJ|KAN|
KAN|ECP,|ECP|BWI|EWR|BHX|IST|NDJ|KAN|
KAN|ISP,|ISP|BWI|EWR|BHX|IST|NDJ|KAN|
KAN|YHM,|YHM|YHZ|LHR|IST|NDJ|KAN|
KAN|YXX,|YXX|YYC|FRA|IST|NDJ|KAN|
KAN|YBR,|YBR|YYC|FRA|IST|NDJ|KAN|
KAN|YKF,|YKF|YYC|FRA|IST|NDJ|KAN|
KAN|GDN,|KAN|
KAN|TRD,|KAN|
KAN|NKC,|KAN|
KAN|PGA,|KAN|
