YZP|BRU,|BRU|YUL|YVR|YZP|
YZP|TIF,|TIF|IST|MUC|YVR|YZP|
YZP|TIP,|TIP|IST|MUC|YVR|YZP|
YZP|TLL,|TLL|VNO|FRA|YVR|YZP|
YZP|TLS,|TLS|IST|MUC|YVR|YZP|
YZP|TRN,|TRN|IST|MUC|YVR|YZP|
YZP|TUN,|TUN|IST|MUC|YVR|YZP|
YZP|TXL,|TXL|EWR|YVR|YZP|
YZP|UFA,|UFA|IST|MUC|YVR|YZP|
YZP|VAS,|VAS|SAW|MUC|YVR|YZP|
YZP|VCE,|VCE|IST|MUC|YVR|YZP|
YZP|YNB,|YNB|IST|MUC|YVR|YZP|
YZP|ZAG,|ZAG|IST|MUC|YVR|YZP|
YZP|MGQ,|MGQ|JIB|IST|MUC|YVR|YZP|
YZP|CPT,|CPT|JNB|JFK|YYZ|YVR|YZP|
YZP|MBA,|MBA|JRO|IST|MUC|YVR|YZP|
YZP|NDJ,|NDJ|KAN|IST|MUC|YVR|YZP|
YZP|CMB,|CMB|MLE|CAN|YVR|YZP|
YZP|ADE,|ADE|SAH|IST|MUC|YVR|YZP|
YZP|ASF,|ASF|SAW|MUC|YVR|YZP|
YZP|STW,|STW|SAW|MUC|YVR|YZP|
YZP|LFW,|LFW|ABJ|BRU|YUL|YVR|YZP|
YZP|CEC,|CEC|ACV|SMF|PDX|YVR|YZP|
YZP|SMF,|SMF|PDX|YVR|YZP|
YZP|CDR,|CDR|AIA|DEN|YVR|YZP|
YZP|FMN,|FMN|DEN|YVR|YZP|
YZP|JST,|JST|IAD|ORD|YVR|YZP|
YZP|JHW,|JHW|CLE|ORD|YVR|YZP|
YZP|SHD,|SHD|IAD|ORD|YVR|YZP|
YZP|PTY,|PTY|IAH|YVR|YZP|
YZP|FNA,|FNA|BRU|YUL|YVR|YZP|
YZP|SXB,|SXB|BRU|YUL|YVR|YZP|
YZP|ACV,|ACV|SMF|PDX|YVR|YZP|
YZP|MGW,|MGW|IAD|ORD|YVR|YZP|
YZP|ALB,|ALB|ORD|YVR|YZP|
YZP|AUS,|AUS|DEN|YVR|YZP|
YZP|BFD,|BFD|CLE|ORD|YVR|YZP|
YZP|BUF,|BUF|ORD|YVR|YZP|
YZP|CHS,|CHS|ORD|YVR|YZP|
YZP|DAY,|DAY|ORD|YVR|YZP|
YZP|DUJ,|DUJ|CLE|ORD|YVR|YZP|
YZP|ERI,|ERI|CLE|ORD|YVR|YZP|
YZP|FKL,|FKL|CLE|ORD|YVR|YZP|
YZP|FNT,|FNT|CLE|ORD|YVR|YZP|
YZP|GRR,|GRR|ORD|YVR|YZP|
YZP|GSP,|GSP|ORD|YVR|YZP|
YZP|PBI,|PBI|TPA|DEN|YVR|YZP|
YZP|PKB,|PKB|CLE|ORD|YVR|YZP|
YZP|RIC,|RIC|ORD|YVR|YZP|
YZP|SDF,|SDF|ORD|YVR|YZP|
YZP|GUM,|GUM|NRT|YVR|YZP|
YZP|WRL,|WRL|CYS|DEN|YVR|YZP|
YZP|LBL,|YZP|
YZP|ABQ,|ABQ|SEA|YVR|YZP|
YZP|AIA,|AIA|DEN|YVR|YZP|
YZP|ALS,|ALS|DEN|YVR|YZP|
YZP|AMA,|AMA|DEN|YVR|YZP|
YZP|ANC,|ANC|SEA|YVR|YZP|
YZP|ASE,|ASE|DEN|YVR|YZP|
YZP|BFL,|BFL|SFO|YVR|YZP|
YZP|BHM,|BHM|DEN|YVR|YZP|
YZP|BIL,|BIL|DEN|YVR|YZP|
YZP|BIS,|BIS|DEN|YVR|YZP|
YZP|BOI,|BOI|OAK|PDX|YVR|YZP|
YZP|BUR,|BUR|SMF|PDX|YVR|YZP|
YZP|BZN,|BZN|DEN|YVR|YZP|
YZP|CID,|CID|DEN|YVR|YZP|
YZP|COD,|COD|DEN|YVR|YZP|
YZP|COS,|COS|DEN|YVR|YZP|
YZP|CPR,|CPR|DEN|YVR|YZP|
YZP|CYS,|CYS|DEN|YVR|YZP|
YZP|DIK,|DIK|DEN|YVR|YZP|
YZP|DRO,|DRO|DEN|YVR|YZP|
YZP|DSM,|DSM|DEN|YVR|YZP|
YZP|EGE,|EGE|DEN|YVR|YZP|
YZP|ELP,|ELP|LAS|YVR|YZP|
YZP|EUG,|EUG|PDX|YVR|YZP|
YZP|FAR,|FAR|DEN|YVR|YZP|
YZP|FAT,|FAT|SFO|YVR|YZP|
YZP|FCA,|FCA|DEN|YVR|YZP|
YZP|FSD,|FSD|DEN|YVR|YZP|
YZP|GCC,|GCC|DEN|YVR|YZP|
YZP|GEG,|GEG|OAK|PDX|YVR|YZP|
YZP|GJT,|GJT|DEN|YVR|YZP|
YZP|GTF,|GTF|DEN|YVR|YZP|
YZP|GUC,|GUC|DEN|YVR|YZP|
YZP|HDN,|HDN|DEN|YVR|YZP|
YZP|HLN,|HLN|DEN|YVR|YZP|
YZP|HSV,|HSV|DEN|YVR|YZP|
YZP|ICT,|ICT|DEN|YVR|YZP|
YZP|IDA,|IDA|DEN|YVR|YZP|
YZP|ISN,|ISN|DEN|YVR|YZP|
YZP|JAC,|JAC|DEN|YVR|YZP|
YZP|KOA,|KOA|YVR|YZP|
YZP|LAR,|LAR|DEN|YVR|YZP|
YZP|LBB,|LBB|DEN|YVR|YZP|
YZP|LIH,|LIH|YVR|YZP|
YZP|LIT,|LIT|DEN|YVR|YZP|
YZP|LNK,|LNK|DEN|YVR|YZP|
YZP|MAF,|MAF|DEN|YVR|YZP|
YZP|MEM,|MEM|DEN|YVR|YZP|
YZP|MFR,|MFR|SFO|YVR|YZP|
YZP|MLI,|MLI|DEN|YVR|YZP|
YZP|MOT,|MOT|DEN|YVR|YZP|
YZP|MRY,|MRY|SFO|YVR|YZP|
YZP|MSN,|MSN|ORD|YVR|YZP|
YZP|MSO,|MSO|DEN|YVR|YZP|
YZP|MTJ,|MTJ|DEN|YVR|YZP|
YZP|OKC,|OKC|DEN|YVR|YZP|
YZP|OMA,|OMA|DEN|YVR|YZP|
YZP|ONT,|ONT|SMF|PDX|YVR|YZP|
YZP|PIA,|PIA|ORD|YVR|YZP|
YZP|PIR,|PIR|DEN|YVR|YZP|
YZP|PSC,|PSC|SFO|YVR|YZP|
YZP|PSP,|PSP|YVR|YZP|
YZP|PUB,|PUB|DEN|YVR|YZP|
YZP|RAP,|RAP|DEN|YVR|YZP|
YZP|RDM,|RDM|PDX|YVR|YZP|
YZP|RKS,|RKS|DEN|YVR|YZP|
YZP|RNO,|RNO|SEA|YVR|YZP|
YZP|SAF,|SAF|DEN|YVR|YZP|
YZP|SAT,|SAT|DEN|YVR|YZP|
YZP|SBA,|SBA|SFO|YVR|YZP|
YZP|SGF,|SGF|DEN|YVR|YZP|
YZP|SGU,|SGU|DEN|YVR|YZP|
YZP|SHV,|SHV|DEN|YVR|YZP|
YZP|SJC,|SJC|PDX|YVR|YZP|
YZP|SLC,|SLC|SEA|YVR|YZP|
YZP|SNA,|SNA|YVR|YZP|
YZP|TUL,|TUL|DEN|YVR|YZP|
YZP|TUS,|TUS|LAS|YVR|YZP|
YZP|TYS,|TYS|ORD|YVR|YZP|
YZP|XNA,|XNA|DEN|YVR|YZP|
YZP|SAL,|SAL|IAH|YVR|YZP|
YZP|BJL,|BJL|DKR|IAD|ORD|YVR|YZP|
YZP|BFS,|BFS|EWR|YVR|YZP|
YZP|BON,|BON|IAH|YVR|YZP|
YZP|BQN,|BQN|EWR|YVR|YZP|
YZP|BTV,|BTV|ORD|YVR|YZP|
YZP|BZE,|BZE|IAH|YVR|YZP|
YZP|GLA,|GLA|EWR|YVR|YZP|
YZP|GSO,|GSO|ORD|YVR|YZP|
YZP|ITH,|ITH|EWR|YVR|YZP|
YZP|JAX,|JAX|DEN|YVR|YZP|
YZP|MHT,|MHT|ORD|YVR|YZP|
YZP|MYR,|MYR|ORD|YVR|YZP|
YZP|ORF,|ORF|ORD|YVR|YZP|
YZP|POS,|POS|IAH|YVR|YZP|
YZP|PVD,|PVD|EWR|YVR|YZP|
YZP|PWM,|PWM|ORD|YVR|YZP|
YZP|SAP,|SAP|IAH|YVR|YZP|
YZP|SAV,|SAV|ORD|YVR|YZP|
YZP|SDQ,|SDQ|EWR|YVR|YZP|
YZP|SJU,|SJU|ORD|YVR|YZP|
YZP|SNN,|SNN|EWR|YVR|YZP|
YZP|STT,|STT|ORD|YVR|YZP|
YZP|SXM,|SXM|ORD|YVR|YZP|
YZP|BIM,|BIM|FLL|DEN|YVR|YZP|
YZP|ELH,|ELH|PBI|TPA|DEN|YVR|YZP|
YZP|EYW,|EYW|MSY|DEN|YVR|YZP|
YZP|FPO,|FPO|FLL|DEN|YVR|YZP|
YZP|GHB,|GHB|FLL|DEN|YVR|YZP|
YZP|MHH,|MHH|MCO|DEN|YVR|YZP|
YZP|TCB,|TCB|FLL|DEN|YVR|YZP|
YZP|SOW,|SOW|PHX|SEA|YVR|YZP|
YZP|ROB,|ROB|FNA|BRU|YUL|YVR|YZP|
YZP|GIG,|GIG|IAH|YVR|YZP|
YZP|CNS,|CNS|GUM|NRT|YVR|YZP|
YZP|CTS,|CTS|GUM|NRT|YVR|YZP|
YZP|OKJ,|OKJ|GUM|NRT|YVR|YZP|
YZP|ROP,|ROP|GUM|NRT|YVR|YZP|
YZP|ROR,|ROR|GUM|NRT|YVR|YZP|
YZP|SDJ,|SDJ|GUM|NRT|YVR|YZP|
YZP|SPN,|SPN|GUM|NRT|YVR|YZP|
YZP|TKK,|TKK|PNI|KWA|MAJ|HNL|YVR|YZP|
YZP|YAP,|YAP|GUM|NRT|YVR|YZP|
YZP|MAJ,|MAJ|HNL|YVR|YZP|
YZP|AOO,|AOO|IAD|ORD|YVR|YZP|
YZP|BGM,|BGM|IAD|ORD|YVR|YZP|
YZP|BKW,|BKW|IAD|ORD|YVR|YZP|
YZP|CAE,|CAE|ORD|YVR|YZP|
YZP|CHO,|CHO|IAD|ORD|YVR|YZP|
YZP|CRW,|CRW|ORD|YVR|YZP|
YZP|FAY,|FAY|IAD|ORD|YVR|YZP|
YZP|LWB,|LWB|IAD|ORD|YVR|YZP|
YZP|ROA,|ROA|ORD|YVR|YZP|
YZP|SCE,|SCE|ORD|YVR|YZP|
YZP|ACA,|ACA|IAH|YVR|YZP|
YZP|ACY,|ACY|ORD|YVR|YZP|
YZP|AEX,|AEX|IAH|YVR|YZP|
YZP|AGU,|AGU|IAH|YVR|YZP|
YZP|BJX,|BJX|LAX|YVR|YZP|
YZP|BRO,|BRO|IAH|YVR|YZP|
YZP|BTR,|BTR|IAH|YVR|YZP|
YZP|CCS,|CCS|IAH|YVR|YZP|
YZP|CLL,|CLL|IAH|YVR|YZP|
YZP|CME,|CME|IAH|YVR|YZP|
YZP|CRP,|CRP|IAH|YVR|YZP|
YZP|CUU,|CUU|IAH|YVR|YZP|
YZP|DAL,|DAL|OKC|DEN|YVR|YZP|
YZP|DGO,|DGO|LAX|YVR|YZP|
YZP|GDL,|GDL|LAX|YVR|YZP|
YZP|GPT,|GPT|IAH|YVR|YZP|
YZP|GRK,|GRK|IAH|YVR|YZP|
YZP|HOB,|HOB|IAH|YVR|YZP|
YZP|HRL,|HRL|SAT|DEN|YVR|YZP|
YZP|HUX,|HUX|IAH|YVR|YZP|
YZP|JAN,|JAN|IAH|YVR|YZP|
YZP|LCH,|LCH|IAH|YVR|YZP|
YZP|LEX,|LEX|ORD|YVR|YZP|
YZP|LFT,|LFT|IAH|YVR|YZP|
YZP|LRD,|LRD|IAH|YVR|YZP|
YZP|MFE,|MFE|IAH|YVR|YZP|
YZP|MGA,|MGA|IAH|YVR|YZP|
YZP|MID,|MID|IAH|YVR|YZP|
YZP|MLM,|MLM|IAH|YVR|YZP|
YZP|MLU,|MLU|IAH|YVR|YZP|
YZP|MOB,|MOB|IAH|YVR|YZP|
YZP|MTY,|MTY|IAH|YVR|YZP|
YZP|OAX,|OAX|IAH|YVR|YZP|
YZP|PBC,|PBC|IAH|YVR|YZP|
YZP|PNS,|PNS|IAH|YVR|YZP|
YZP|QRO,|QRO|IAH|YVR|YZP|
YZP|RTB,|RTB|IAH|YVR|YZP|
YZP|SLP,|SLP|IAH|YVR|YZP|
YZP|SLW,|SLW|IAH|YVR|YZP|
YZP|TAM,|TAM|IAH|YVR|YZP|
YZP|TGU,|TGU|IAH|YVR|YZP|
YZP|TRC,|TRC|IAH|YVR|YZP|
YZP|TYR,|TYR|IAH|YVR|YZP|
YZP|UIO,|UIO|IAH|YVR|YZP|
YZP|VER,|VER|IAH|YVR|YZP|
YZP|VPS,|VPS|IAH|YVR|YZP|
YZP|VSA,|VSA|IAH|YVR|YZP|
YZP|ZIH,|ZIH|IAH|YVR|YZP|
YZP|ZLO,|ZLO|IAH|YVR|YZP|
YZP|KWA,|KWA|MAJ|HNL|YVR|YZP|
YZP|PNI,|PNI|KWA|MAJ|HNL|YVR|YZP|
YZP|KSA,|KSA|KWA|MAJ|HNL|YVR|YZP|
YZP|CLD,|CLD|LAX|YVR|YZP|
YZP|ITO,|ITO|LAX|YVR|YZP|
YZP|SBP,|SBP|SFO|YVR|YZP|
YZP|SMX,|SMX|LAX|YVR|YZP|
YZP|YUM,|YUM|LAX|YVR|YZP|
YZP|DDC,|YZP|
YZP|TMS,|TMS|LIS|EWR|YVR|YZP|
YZP|PHC,|PHC|LOS|FRA|YVR|YZP|
YZP|GNV,|GNV|TPA|DEN|YVR|YZP|
YZP|TLH,|TLH|TPA|DEN|YVR|YZP|
YZP|CKB,|CKB|MGW|IAD|ORD|YVR|YZP|
YZP|BAQ,|BAQ|MIA|DEN|YVR|YZP|
YZP|CLO,|CLO|MIA|DEN|YVR|YZP|
YZP|CTG,|CTG|MIA|DEN|YVR|YZP|
YZP|MDE,|MDE|MIA|DEN|YVR|YZP|
YZP|ABE,|ABE|ORD|YVR|YZP|
YZP|ATW,|ATW|ORD|YVR|YZP|
YZP|AVL,|AVL|ORD|YVR|YZP|
YZP|AVP,|AVP|ORD|YVR|YZP|
YZP|CAK,|CAK|ORD|YVR|YZP|
YZP|CMX,|CMX|ORD|YVR|YZP|
YZP|CWA,|CWA|ORD|YVR|YZP|
YZP|DLH,|DLH|ORD|YVR|YZP|
YZP|EAU,|EAU|ORD|YVR|YZP|
YZP|ELM,|ELM|ORD|YVR|YZP|
YZP|FOE,|FOE|ORD|YVR|YZP|
YZP|FWA,|FWA|ORD|YVR|YZP|
YZP|GRB,|GRB|ORD|YVR|YZP|
YZP|HPN,|HPN|ORD|YVR|YZP|
YZP|LAN,|LAN|ORD|YVR|YZP|
YZP|MBS,|MBS|ORD|YVR|YZP|
YZP|MKG,|MKG|ORD|YVR|YZP|
YZP|PAH,|PAH|ORD|YVR|YZP|
YZP|SBN,|SBN|ORD|YVR|YZP|
YZP|SPI,|SPI|ORD|YVR|YZP|
YZP|SRQ,|SRQ|ORD|YVR|YZP|
YZP|STC,|STC|ORD|YVR|YZP|
YZP|TVC,|TVC|ORD|YVR|YZP|
YZP|LMT,|LMT|PDX|YVR|YZP|
YZP|HON,|HON|PIR|DEN|YVR|YZP|
YZP|CIC,|CIC|SFO|YVR|YZP|
YZP|MOD,|MOD|SFO|YVR|YZP|
YZP|OTH,|OTH|SFO|YVR|YZP|
YZP|RDD,|RDD|SFO|YVR|YZP|
YZP|EIS,|EIS|SJU|ORD|YVR|YZP|
YZP|DME,|DME|VIE|YYZ|YVR|YZP|
YZP|EVN,|EVN|VIE|YYZ|YVR|YZP|
YZP|HOU,|HOU|DEN|YVR|YZP|
YZP|MDW,|MDW|SEA|YVR|YZP|
YZP|OAK,|OAK|PDX|YVR|YZP|
YZP|ECP,|ECP|STL|DEN|YVR|YZP|
YZP|ISP,|ISP|BWI|ORD|YVR|YZP|
YZP|YHM,|YHM|YYC|YVR|YZP|
YZP|YXX,|YXX|YYC|YVR|YZP|
YZP|YBR,|YBR|YYC|YVR|YZP|
YZP|YKF,|YKF|YYC|YVR|YZP|
YZP|GDN,|YZP|
YZP|TRD,|YZP|
YZP|NKC,|YZP|
YZP|PGA,|YZP|
