KIV|BRU,|BRU|IST|KIV|
KIV|ABQ,|ABQ|DEN|FRA|IST|KIV|
KIV|AIA,|AIA|DEN|FRA|IST|KIV|
KIV|ALS,|ALS|DEN|FRA|IST|KIV|
KIV|AMA,|AMA|DEN|FRA|IST|KIV|
KIV|ANC,|ANC|SEA|FRA|IST|KIV|
KIV|ASE,|ASE|DEN|FRA|IST|KIV|
KIV|BFL,|BFL|LAX|IST|KIV|
KIV|BHM,|BHM|BWI|EWR|BHX|IST|KIV|
KIV|BIL,|BIL|DEN|FRA|IST|KIV|
KIV|BIS,|BIS|DEN|FRA|IST|KIV|
KIV|BOI,|BOI|DEN|FRA|IST|KIV|
KIV|BUR,|BUR|DEN|FRA|IST|KIV|
KIV|BZN,|BZN|ORD|IST|KIV|
KIV|CID,|CID|ORD|IST|KIV|
KIV|COD,|COD|DEN|FRA|IST|KIV|
KIV|COS,|COS|DEN|FRA|IST|KIV|
KIV|CPR,|CPR|DEN|FRA|IST|KIV|
KIV|CYS,|CYS|DEN|FRA|IST|KIV|
KIV|DIK,|DIK|DEN|FRA|IST|KIV|
KIV|DRO,|DRO|DEN|FRA|IST|KIV|
KIV|DSM,|DSM|ORD|IST|KIV|
KIV|EGE,|EGE|DEN|FRA|IST|KIV|
KIV|ELP,|ELP|DEN|FRA|IST|KIV|
KIV|EUG,|EUG|PDX|SEA|FRA|IST|KIV|
KIV|FAR,|FAR|ORD|IST|KIV|
KIV|FAT,|FAT|SFO|MUC|IST|KIV|
KIV|FCA,|FCA|DEN|FRA|IST|KIV|
KIV|FSD,|FSD|ORD|IST|KIV|
KIV|GCC,|GCC|DEN|FRA|IST|KIV|
KIV|GEG,|GEG|DEN|FRA|IST|KIV|
KIV|GJT,|GJT|DEN|FRA|IST|KIV|
KIV|GTF,|GTF|DEN|FRA|IST|KIV|
KIV|GUC,|GUC|DEN|FRA|IST|KIV|
KIV|HDN,|HDN|DEN|FRA|IST|KIV|
KIV|HLN,|HLN|DEN|FRA|IST|KIV|
KIV|HSV,|HSV|IAD|IST|KIV|
KIV|ICT,|ICT|ORD|IST|KIV|
KIV|IDA,|IDA|DEN|FRA|IST|KIV|
KIV|ISN,|ISN|DEN|FRA|IST|KIV|
KIV|JAC,|JAC|DEN|FRA|IST|KIV|
KIV|KOA,|KOA|YVR|MUC|IST|KIV|
KIV|LAR,|LAR|DEN|FRA|IST|KIV|
KIV|LBB,|LBB|DAL|STL|ORD|IST|KIV|
KIV|LIH,|LIH|YVR|MUC|IST|KIV|
KIV|LIT,|LIT|ORD|IST|KIV|
KIV|LNK,|LNK|ORD|IST|KIV|
KIV|MAF,|MAF|DAL|STL|ORD|IST|KIV|
KIV|MEM,|MEM|EWR|BHX|IST|KIV|
KIV|MFR,|MFR|DEN|FRA|IST|KIV|
KIV|MLI,|MLI|ORD|IST|KIV|
KIV|MOT,|MOT|DEN|FRA|IST|KIV|
KIV|MRY,|MRY|SFO|MUC|IST|KIV|
KIV|MSN,|MSN|ORD|IST|KIV|
KIV|MSO,|MSO|DEN|FRA|IST|KIV|
KIV|MTJ,|MTJ|DEN|FRA|IST|KIV|
KIV|OKC,|OKC|ORD|IST|KIV|
KIV|OMA,|OMA|ORD|IST|KIV|
KIV|ONT,|ONT|DEN|FRA|IST|KIV|
KIV|PIA,|PIA|ORD|IST|KIV|
KIV|PIR,|PIR|DEN|FRA|IST|KIV|
KIV|PSC,|PSC|DEN|FRA|IST|KIV|
KIV|PSP,|PSP|DEN|FRA|IST|KIV|
KIV|PUB,|PUB|DEN|FRA|IST|KIV|
KIV|RAP,|RAP|ORD|IST|KIV|
KIV|RDM,|RDM|PDX|SEA|FRA|IST|KIV|
KIV|RKS,|RKS|DEN|FRA|IST|KIV|
KIV|RNO,|RNO|SEA|FRA|IST|KIV|
KIV|SAF,|SAF|DEN|FRA|IST|KIV|
KIV|SAT,|SAT|ORD|IST|KIV|
KIV|SBA,|SBA|LAX|IST|KIV|
KIV|SGF,|SGF|ORD|IST|KIV|
KIV|SGU,|SGU|DEN|FRA|IST|KIV|
KIV|SHV,|SHV|IAH|IST|KIV|
KIV|SJC,|SJC|SEA|FRA|IST|KIV|
KIV|SLC,|SLC|DEN|FRA|IST|KIV|
KIV|SNA,|SNA|DEN|FRA|IST|KIV|
KIV|TUL,|TUL|ORD|IST|KIV|
KIV|TUS,|TUS|DEN|FRA|IST|KIV|
KIV|TYS,|TYS|IAD|IST|KIV|
KIV|XNA,|XNA|ORD|IST|KIV|
KIV|SAL,|SAL|MIA|ZRH|IST|KIV|
KIV|BJL,|BJL|DKR|BRU|IST|KIV|
KIV|BFS,|BFS|EWR|BHX|IST|KIV|
KIV|BON,|BON|EWR|BHX|IST|KIV|
KIV|BQN,|BQN|EWR|BHX|IST|KIV|
KIV|BTV,|BTV|EWR|BHX|IST|KIV|
KIV|BZE,|BZE|EWR|BHX|IST|KIV|
KIV|GLA,|GLA|EWR|BHX|IST|KIV|
KIV|GSO,|GSO|EWR|BHX|IST|KIV|
KIV|ITH,|ITH|EWR|BHX|IST|KIV|
KIV|JAX,|JAX|EWR|BHX|IST|KIV|
KIV|MHT,|MHT|EWR|BHX|IST|KIV|
KIV|MYR,|MYR|EWR|BHX|IST|KIV|
KIV|ORF,|ORF|EWR|BHX|IST|KIV|
KIV|POS,|POS|EWR|BHX|IST|KIV|
KIV|PVD,|PVD|EWR|BHX|IST|KIV|
KIV|PWM,|PWM|EWR|BHX|IST|KIV|
KIV|SAP,|SAP|MIA|ZRH|IST|KIV|
KIV|SAV,|SAV|EWR|BHX|IST|KIV|
KIV|SDQ,|SDQ|EWR|BHX|IST|KIV|
KIV|SJU,|SJU|EWR|BHX|IST|KIV|
KIV|SNN,|SNN|EWR|BHX|IST|KIV|
KIV|STT,|STT|EWR|BHX|IST|KIV|
KIV|SXM,|SXM|EWR|BHX|IST|KIV|
KIV|BIM,|BIM|FLL|MCO|FRA|IST|KIV|
KIV|ELH,|ELH|PBI|EWR|BHX|IST|KIV|
KIV|EYW,|EYW|MCO|FRA|IST|KIV|
KIV|FPO,|FPO|FLL|MCO|FRA|IST|KIV|
KIV|GHB,|GHB|FLL|MCO|FRA|IST|KIV|
KIV|MHH,|MHH|MCO|FRA|IST|KIV|
KIV|TCB,|TCB|FLL|MCO|FRA|IST|KIV|
KIV|SOW,|SOW|FMN|DEN|FRA|IST|KIV|
KIV|ROB,|ROB|FNA|BRU|IST|KIV|
KIV|GIG,|GIG|GRU|IST|KIV|
KIV|CNS,|CNS|GUM|FUK|ICN|IST|KIV|
KIV|CTS,|CTS|GUM|FUK|ICN|IST|KIV|
KIV|OKJ,|OKJ|GUM|FUK|ICN|IST|KIV|
KIV|ROP,|ROP|GUM|FUK|ICN|IST|KIV|
KIV|ROR,|ROR|MNL|CAN|IST|KIV|
KIV|SDJ,|SDJ|GUM|FUK|ICN|IST|KIV|
KIV|SPN,|SPN|GUM|FUK|ICN|IST|KIV|
KIV|TKK,|TKK|GUM|FUK|ICN|IST|KIV|
KIV|YAP,|YAP|ROR|MNL|CAN|IST|KIV|
KIV|MAJ,|MAJ|KWA|PNI|TKK|GUM|FUK|ICN|IST|KIV|
KIV|AOO,|AOO|IAD|IST|KIV|
KIV|BGM,|BGM|IAD|IST|KIV|
KIV|BKW,|BKW|IAD|IST|KIV|
KIV|CAE,|CAE|IAD|IST|KIV|
KIV|CHO,|CHO|IAD|IST|KIV|
KIV|CRW,|CRW|IAD|IST|KIV|
KIV|FAY,|FAY|IAD|IST|KIV|
KIV|LWB,|LWB|IAD|IST|KIV|
KIV|ROA,|ROA|IAD|IST|KIV|
KIV|SCE,|SCE|IAD|IST|KIV|
KIV|ACA,|ACA|IAH|IST|KIV|
KIV|ACY,|ACY|ORD|IST|KIV|
KIV|AEX,|AEX|IAH|IST|KIV|
KIV|AGU,|AGU|IAH|IST|KIV|
KIV|BJX,|BJX|IAH|IST|KIV|
KIV|BRO,|BRO|IAH|IST|KIV|
KIV|BTR,|BTR|IAH|IST|KIV|
KIV|CCS,|CCS|IAH|IST|KIV|
KIV|CLL,|CLL|IAH|IST|KIV|
KIV|CME,|CME|IAH|IST|KIV|
KIV|CRP,|CRP|IAH|IST|KIV|
KIV|CUU,|CUU|IAH|IST|KIV|
KIV|DAL,|DAL|STL|ORD|IST|KIV|
KIV|DGO,|DGO|IAH|IST|KIV|
KIV|GDL,|GDL|IAH|IST|KIV|
KIV|GPT,|GPT|IAH|IST|KIV|
KIV|GRK,|GRK|IAH|IST|KIV|
KIV|HOB,|HOB|IAH|IST|KIV|
KIV|HRL,|HRL|IAH|IST|KIV|
KIV|HUX,|HUX|IAH|IST|KIV|
KIV|JAN,|JAN|ORD|IST|KIV|
KIV|LCH,|LCH|IAH|IST|KIV|
KIV|LEX,|LEX|ORD|IST|KIV|
KIV|LFT,|LFT|IAH|IST|KIV|
KIV|LRD,|LRD|IAH|IST|KIV|
KIV|MFE,|MFE|IAH|IST|KIV|
KIV|MGA,|MGA|IAH|IST|KIV|
KIV|MID,|MID|IAH|IST|KIV|
KIV|MLM,|MLM|IAH|IST|KIV|
KIV|MLU,|MLU|IAH|IST|KIV|
KIV|MOB,|MOB|ORD|IST|KIV|
KIV|MTY,|MTY|IAH|IST|KIV|
KIV|OAX,|OAX|IAH|IST|KIV|
KIV|PBC,|PBC|IAH|IST|KIV|
KIV|PNS,|PNS|BNA|YYZ|IST|KIV|
KIV|QRO,|QRO|IAH|IST|KIV|
KIV|RTB,|RTB|IAH|IST|KIV|
KIV|SLP,|SLP|IAH|IST|KIV|
KIV|SLW,|SLW|IAH|IST|KIV|
KIV|TAM,|TAM|IAH|IST|KIV|
KIV|TGU,|TGU|IAH|IST|KIV|
KIV|TRC,|TRC|IAH|IST|KIV|
KIV|TYR,|TYR|IAH|IST|KIV|
KIV|UIO,|UIO|IAH|IST|KIV|
KIV|VER,|VER|IAH|IST|KIV|
KIV|VPS,|VPS|IAH|IST|KIV|
KIV|VSA,|VSA|IAH|IST|KIV|
KIV|ZIH,|ZIH|IAH|IST|KIV|
KIV|ZLO,|ZLO|IAH|IST|KIV|
KIV|KWA,|KWA|PNI|TKK|GUM|FUK|ICN|IST|KIV|
KIV|PNI,|PNI|TKK|GUM|FUK|ICN|IST|KIV|
KIV|KSA,|KSA|PNI|TKK|GUM|FUK|ICN|IST|KIV|
KIV|CLD,|CLD|LAX|IST|KIV|
KIV|ITO,|ITO|LAX|IST|KIV|
KIV|SBP,|SBP|LAX|IST|KIV|
KIV|SMX,|SMX|LAX|IST|KIV|
KIV|YUM,|YUM|LAX|IST|KIV|
KIV|DDC,|KIV|
KIV|TMS,|TMS|LIS|IST|KIV|
KIV|PHC,|PHC|LOS|IST|KIV|
KIV|GNV,|GNV|MCO|FRA|IST|KIV|
KIV|TLH,|TLH|MCO|FRA|IST|KIV|
KIV|CKB,|CKB|MGW|IAD|IST|KIV|
KIV|BAQ,|BAQ|MIA|ZRH|IST|KIV|
KIV|CLO,|CLO|MIA|ZRH|IST|KIV|
KIV|CTG,|CTG|MIA|ZRH|IST|KIV|
KIV|MDE,|MDE|MIA|ZRH|IST|KIV|
KIV|ABE,|ABE|ORD|IST|KIV|
KIV|ATW,|ATW|ORD|IST|KIV|
KIV|AVL,|AVL|ORD|IST|KIV|
KIV|AVP,|AVP|ORD|IST|KIV|
KIV|CAK,|CAK|BOS|FRA|IST|KIV|
KIV|CMX,|CMX|ORD|IST|KIV|
KIV|CWA,|CWA|ORD|IST|KIV|
KIV|DLH,|DLH|ORD|IST|KIV|
KIV|EAU,|EAU|ORD|IST|KIV|
KIV|ELM,|ELM|ORD|IST|KIV|
KIV|FOE,|FOE|ORD|IST|KIV|
KIV|FWA,|FWA|ORD|IST|KIV|
KIV|GRB,|GRB|ORD|IST|KIV|
KIV|HPN,|HPN|ORD|IST|KIV|
KIV|LAN,|LAN|ORD|IST|KIV|
KIV|MBS,|MBS|ORD|IST|KIV|
KIV|MKG,|MKG|ORD|IST|KIV|
KIV|PAH,|PAH|ORD|IST|KIV|
KIV|SBN,|SBN|ORD|IST|KIV|
KIV|SPI,|SPI|ORD|IST|KIV|
KIV|SRQ,|SRQ|ORD|IST|KIV|
KIV|STC,|STC|ORD|IST|KIV|
KIV|TVC,|TVC|ORD|IST|KIV|
KIV|LMT,|LMT|PDX|SEA|FRA|IST|KIV|
KIV|HON,|HON|PIR|DEN|FRA|IST|KIV|
KIV|CIC,|CIC|SFO|MUC|IST|KIV|
KIV|MOD,|MOD|SFO|MUC|IST|KIV|
KIV|OTH,|OTH|SFO|MUC|IST|KIV|
KIV|RDD,|RDD|SFO|MUC|IST|KIV|
KIV|EIS,|EIS|SJU|EWR|BHX|IST|KIV|
KIV|DME,|DME|VIE|IST|KIV|
KIV|EVN,|EVN|VIE|IST|KIV|
KIV|HOU,|HOU|IND|YYZ|IST|KIV|
KIV|MDW,|MDW|DTW|FRA|IST|KIV|
KIV|OAK,|OAK|SEA|FRA|IST|KIV|
KIV|ECP,|ECP|BWI|EWR|BHX|IST|KIV|
KIV|ISP,|ISP|BWI|EWR|BHX|IST|KIV|
KIV|YHM,|YHM|YHZ|LHR|IST|KIV|
KIV|YXX,|YXX|YYC|FRA|IST|KIV|
KIV|YBR,|YBR|YYC|FRA|IST|KIV|
KIV|YKF,|YKF|YYC|FRA|IST|KIV|
KIV|GDN,|KIV|
KIV|TRD,|KIV|
KIV|NKC,|KIV|
KIV|PGA,|KIV|
