YQY|BRU,|BRU|YUL|YHZ|YQY|
YQY|NIM,|NIM|IST|LHR|YHZ|YQY|
YQY|NJF,|NJF|IST|LHR|YHZ|YQY|
YQY|NSI,|NSI|IST|LHR|YHZ|YQY|
YQY|NUE,|NUE|IST|LHR|YHZ|YQY|
YQY|ODS,|ODS|IST|LHR|YHZ|YQY|
YQY|ORN,|ORN|IST|LHR|YHZ|YQY|
YQY|OTP,|OTP|IST|LHR|YHZ|YQY|
YQY|PRG,|PRG|BRU|YUL|YHZ|YQY|
YQY|PRN,|PRN|IST|LHR|YHZ|YQY|
YQY|RIX,|RIX|IST|LHR|YHZ|YQY|
YQY|ROV,|ROV|IST|LHR|YHZ|YQY|
YQY|RTM,|RTM|IST|LHR|YHZ|YQY|
YQY|RUH,|RUH|IST|LHR|YHZ|YQY|
YQY|SAH,|SAH|IST|LHR|YHZ|YQY|
YQY|SJJ,|SJJ|IST|LHR|YHZ|YQY|
YQY|SKG,|SKG|IST|LHR|YHZ|YQY|
YQY|SKP,|SKP|IST|LHR|YHZ|YQY|
YQY|SSH,|SSH|IST|LHR|YHZ|YQY|
YQY|STR,|STR|EWR|YHZ|YQY|
YQY|SVX,|SVX|IST|LHR|YHZ|YQY|
YQY|SYZ,|SYZ|IST|LHR|YHZ|YQY|
YQY|SZG,|SZG|IST|LHR|YHZ|YQY|
YQY|TBZ,|TBZ|IST|LHR|YHZ|YQY|
YQY|TGD,|TGD|IST|LHR|YHZ|YQY|
YQY|TIA,|TIA|IST|LHR|YHZ|YQY|
YQY|TIF,|TIF|IST|LHR|YHZ|YQY|
YQY|TIP,|TIP|IST|LHR|YHZ|YQY|
YQY|TLL,|TLL|VNO|FRA|BOS|YHZ|YQY|
YQY|TLS,|TLS|IST|LHR|YHZ|YQY|
YQY|TRN,|TRN|IST|LHR|YHZ|YQY|
YQY|TUN,|TUN|IST|LHR|YHZ|YQY|
YQY|TXL,|TXL|EWR|YHZ|YQY|
YQY|UFA,|UFA|IST|LHR|YHZ|YQY|
YQY|VAS,|VAS|IST|LHR|YHZ|YQY|
YQY|VCE,|VCE|IST|LHR|YHZ|YQY|
YQY|YNB,|YNB|IST|LHR|YHZ|YQY|
YQY|ZAG,|ZAG|IST|LHR|YHZ|YQY|
YQY|MGQ,|MGQ|JIB|IST|LHR|YHZ|YQY|
YQY|CPT,|CPT|JNB|JFK|YUL|YHZ|YQY|
YQY|MBA,|MBA|JRO|IST|LHR|YHZ|YQY|
YQY|NDJ,|NDJ|KAN|IST|LHR|YHZ|YQY|
YQY|CMB,|CMB|MLE|IST|LHR|YHZ|YQY|
YQY|ADE,|ADE|SAH|IST|LHR|YHZ|YQY|
YQY|ASF,|ASF|SAW|ADB|IST|LHR|YHZ|YQY|
YQY|STW,|STW|SAW|ADB|IST|LHR|YHZ|YQY|
YQY|LFW,|LFW|ABJ|BRU|YUL|YHZ|YQY|
YQY|CEC,|CEC|ACV|SMF|ORD|YYZ|YQY|
YQY|SMF,|SMF|ORD|YYZ|YQY|
YQY|CDR,|CDR|AIA|DEN|YYZ|YQY|
YQY|FMN,|FMN|DEN|YYZ|YQY|
YQY|JST,|JST|IAD|LGA|YHZ|YQY|
YQY|JHW,|JHW|CLE|YYZ|YQY|
YQY|SHD,|SHD|IAD|LGA|YHZ|YQY|
YQY|PTY,|PTY|BOS|YHZ|YQY|
YQY|FNA,|FNA|BRU|YUL|YHZ|YQY|
YQY|SXB,|SXB|BRU|YUL|YHZ|YQY|
YQY|ACV,|ACV|SMF|ORD|YYZ|YQY|
YQY|MGW,|MGW|IAD|LGA|YHZ|YQY|
YQY|ALB,|ALB|EWR|YHZ|YQY|
YQY|AUS,|AUS|BNA|BOS|YHZ|YQY|
YQY|BFD,|BFD|CLE|YYZ|YQY|
YQY|BUF,|BUF|EWR|YHZ|YQY|
YQY|CHS,|CHS|EWR|YHZ|YQY|
YQY|DAY,|DAY|CLE|YYZ|YQY|
YQY|DUJ,|DUJ|CLE|YYZ|YQY|
YQY|ERI,|ERI|CLE|YYZ|YQY|
YQY|FKL,|FKL|CLE|YYZ|YQY|
YQY|FNT,|FNT|CLE|YYZ|YQY|
YQY|GRR,|GRR|CLE|YYZ|YQY|
YQY|GSP,|GSP|EWR|YHZ|YQY|
YQY|PBI,|PBI|EWR|YHZ|YQY|
YQY|PKB,|PKB|CLE|YYZ|YQY|
YQY|RIC,|RIC|EWR|YHZ|YQY|
YQY|SDF,|SDF|EWR|YHZ|YQY|
YQY|GUM,|GUM|NRT|YYZ|YQY|
YQY|WRL,|WRL|CYS|DEN|YYZ|YQY|
YQY|LBL,|YQY|
YQY|ABQ,|ABQ|ORD|YYZ|YQY|
YQY|AIA,|AIA|DEN|YYZ|YQY|
YQY|ALS,|ALS|DEN|YYZ|YQY|
YQY|AMA,|AMA|DAL|STL|YYZ|YQY|
YQY|ANC,|ANC|ORD|YYZ|YQY|
YQY|ASE,|ASE|DEN|YYZ|YQY|
YQY|BFL,|BFL|DEN|YYZ|YQY|
YQY|BHM,|BHM|BWI|EWR|YHZ|YQY|
YQY|BIL,|BIL|DEN|YYZ|YQY|
YQY|BIS,|BIS|DEN|YYZ|YQY|
YQY|BOI,|BOI|ORD|YYZ|YQY|
YQY|BUR,|BUR|DEN|YYZ|YQY|
YQY|BZN,|BZN|ORD|YYZ|YQY|
YQY|CID,|CID|ORD|YYZ|YQY|
YQY|COD,|COD|DEN|YYZ|YQY|
YQY|COS,|COS|ORD|YYZ|YQY|
YQY|CPR,|CPR|DEN|YYZ|YQY|
YQY|CYS,|CYS|DEN|YYZ|YQY|
YQY|DIK,|DIK|DEN|YYZ|YQY|
YQY|DRO,|DRO|DEN|YYZ|YQY|
YQY|DSM,|DSM|ORD|YYZ|YQY|
YQY|EGE,|EGE|DEN|YYZ|YQY|
YQY|ELP,|ELP|DAL|STL|YYZ|YQY|
YQY|EUG,|EUG|PDX|YYC|YHZ|YQY|
YQY|FAR,|FAR|ORD|YYZ|YQY|
YQY|FAT,|FAT|DEN|YYZ|YQY|
YQY|FCA,|FCA|DEN|YYZ|YQY|
YQY|FSD,|FSD|ORD|YYZ|YQY|
YQY|GCC,|GCC|DEN|YYZ|YQY|
YQY|GEG,|GEG|DEN|YYZ|YQY|
YQY|GJT,|GJT|DEN|YYZ|YQY|
YQY|GTF,|GTF|DEN|YYZ|YQY|
YQY|GUC,|GUC|DEN|YYZ|YQY|
YQY|HDN,|HDN|DEN|YYZ|YQY|
YQY|HLN,|HLN|DEN|YYZ|YQY|
YQY|HSV,|HSV|IAD|LGA|YHZ|YQY|
YQY|ICT,|ICT|ORD|YYZ|YQY|
YQY|IDA,|IDA|DEN|YYZ|YQY|
YQY|ISN,|ISN|DEN|YYZ|YQY|
YQY|JAC,|JAC|DEN|YYZ|YQY|
YQY|KOA,|KOA|SFO|YUL|YHZ|YQY|
YQY|LAR,|LAR|DEN|YYZ|YQY|
YQY|LBB,|LBB|DAL|STL|YYZ|YQY|
YQY|LIH,|LIH|SFO|YUL|YHZ|YQY|
YQY|LIT,|LIT|BWI|EWR|YHZ|YQY|
YQY|LNK,|LNK|ORD|YYZ|YQY|
YQY|MAF,|MAF|DAL|STL|YYZ|YQY|
YQY|MEM,|MEM|EWR|YHZ|YQY|
YQY|MFR,|MFR|DEN|YYZ|YQY|
YQY|MLI,|MLI|ORD|YYZ|YQY|
YQY|MOT,|MOT|DEN|YYZ|YQY|
YQY|MRY,|MRY|DEN|YYZ|YQY|
YQY|MSN,|MSN|ORD|YYZ|YQY|
YQY|MSO,|MSO|DEN|YYZ|YQY|
YQY|MTJ,|MTJ|DEN|YYZ|YQY|
YQY|OKC,|OKC|STL|YYZ|YQY|
YQY|OMA,|OMA|ORD|YYZ|YQY|
YQY|ONT,|ONT|DEN|YYZ|YQY|
YQY|PIA,|PIA|ORD|YYZ|YQY|
YQY|PIR,|PIR|DEN|YYZ|YQY|
YQY|PSC,|PSC|DEN|YYZ|YQY|
YQY|PSP,|PSP|DEN|YYZ|YQY|
YQY|PUB,|PUB|DEN|YYZ|YQY|
YQY|RAP,|RAP|ORD|YYZ|YQY|
YQY|RDM,|RDM|DEN|YYZ|YQY|
YQY|RKS,|RKS|DEN|YYZ|YQY|
YQY|RNO,|RNO|DEN|YYZ|YQY|
YQY|SAF,|SAF|DEN|YYZ|YQY|
YQY|SAT,|SAT|BNA|BOS|YHZ|YQY|
YQY|SBA,|SBA|DEN|YYZ|YQY|
YQY|SGF,|SGF|ORD|YYZ|YQY|
YQY|SGU,|SGU|DEN|YYZ|YQY|
YQY|SHV,|SHV|IAH|BOS|YHZ|YQY|
YQY|SJC,|SJC|DEN|YYZ|YQY|
YQY|SLC,|SLC|ORD|YYZ|YQY|
YQY|SNA,|SNA|DEN|YYZ|YQY|
YQY|TUL,|TUL|STL|YYZ|YQY|
YQY|TUS,|TUS|MDW|DTW|YYZ|YQY|
YQY|TYS,|TYS|EWR|YHZ|YQY|
YQY|XNA,|XNA|ORD|YYZ|YQY|
YQY|SAL,|SAL|EWR|YHZ|YQY|
YQY|BJL,|BJL|DKR|IAD|LGA|YHZ|YQY|
YQY|BFS,|BFS|EWR|YHZ|YQY|
YQY|BON,|BON|EWR|YHZ|YQY|
YQY|BQN,|BQN|EWR|YHZ|YQY|
YQY|BTV,|BTV|EWR|YHZ|YQY|
YQY|BZE,|BZE|EWR|YHZ|YQY|
YQY|GLA,|GLA|EWR|YHZ|YQY|
YQY|GSO,|GSO|EWR|YHZ|YQY|
YQY|ITH,|ITH|EWR|YHZ|YQY|
YQY|JAX,|JAX|EWR|YHZ|YQY|
YQY|MHT,|MHT|EWR|YHZ|YQY|
YQY|MYR,|MYR|EWR|YHZ|YQY|
YQY|ORF,|ORF|EWR|YHZ|YQY|
YQY|POS,|POS|EWR|YHZ|YQY|
YQY|PVD,|PVD|EWR|YHZ|YQY|
YQY|PWM,|PWM|EWR|YHZ|YQY|
YQY|SAP,|SAP|EWR|YHZ|YQY|
YQY|SAV,|SAV|EWR|YHZ|YQY|
YQY|SDQ,|SDQ|EWR|YHZ|YQY|
YQY|SJU,|SJU|EWR|YHZ|YQY|
YQY|SNN,|SNN|EWR|YHZ|YQY|
YQY|STT,|STT|EWR|YHZ|YQY|
YQY|SXM,|SXM|EWR|YHZ|YQY|
YQY|BIM,|BIM|FLL|MCO|YHZ|YQY|
YQY|ELH,|ELH|PBI|EWR|YHZ|YQY|
YQY|EYW,|EYW|MCO|YHZ|YQY|
YQY|FPO,|FPO|FLL|MCO|YHZ|YQY|
YQY|GHB,|GHB|FLL|MCO|YHZ|YQY|
YQY|MHH,|MHH|MCO|YHZ|YQY|
YQY|TCB,|TCB|FLL|MCO|YHZ|YQY|
YQY|SOW,|SOW|FMN|DEN|YYZ|YQY|
YQY|ROB,|ROB|FNA|BRU|YUL|YHZ|YQY|
YQY|GIG,|GIG|GRU|EWR|YHZ|YQY|
YQY|CNS,|CNS|GUM|NRT|YYZ|YQY|
YQY|CTS,|CTS|GUM|NRT|YYZ|YQY|
YQY|OKJ,|OKJ|GUM|NRT|YYZ|YQY|
YQY|ROP,|ROP|GUM|NRT|YYZ|YQY|
YQY|ROR,|ROR|GUM|NRT|YYZ|YQY|
YQY|SDJ,|SDJ|GUM|NRT|YYZ|YQY|
YQY|SPN,|SPN|GUM|NRT|YYZ|YQY|
YQY|TKK,|TKK|PNI|KWA|MAJ|HNL|SFO|YUL|YHZ|YQY|
YQY|YAP,|YAP|GUM|NRT|YYZ|YQY|
YQY|MAJ,|MAJ|HNL|SFO|YUL|YHZ|YQY|
YQY|AOO,|AOO|IAD|LGA|YHZ|YQY|
YQY|BGM,|BGM|IAD|LGA|YHZ|YQY|
YQY|BKW,|BKW|IAD|LGA|YHZ|YQY|
YQY|CAE,|CAE|IAD|LGA|YHZ|YQY|
YQY|CHO,|CHO|IAD|LGA|YHZ|YQY|
YQY|CRW,|CRW|IAD|LGA|YHZ|YQY|
YQY|FAY,|FAY|IAD|LGA|YHZ|YQY|
YQY|LWB,|LWB|IAD|LGA|YHZ|YQY|
YQY|ROA,|ROA|IAD|LGA|YHZ|YQY|
YQY|SCE,|SCE|IAD|LGA|YHZ|YQY|
YQY|ACA,|ACA|IAH|BOS|YHZ|YQY|
YQY|ACY,|ACY|ORD|YYZ|YQY|
YQY|AEX,|AEX|IAH|BOS|YHZ|YQY|
YQY|AGU,|AGU|IAH|BOS|YHZ|YQY|
YQY|BJX,|BJX|IAH|BOS|YHZ|YQY|
YQY|BRO,|BRO|IAH|BOS|YHZ|YQY|
YQY|BTR,|BTR|IAH|BOS|YHZ|YQY|
YQY|CCS,|CCS|IAH|BOS|YHZ|YQY|
YQY|CLL,|CLL|IAH|BOS|YHZ|YQY|
YQY|CME,|CME|IAH|BOS|YHZ|YQY|
YQY|CRP,|CRP|HOU|BOS|YHZ|YQY|
YQY|CUU,|CUU|IAH|BOS|YHZ|YQY|
YQY|DAL,|DAL|STL|YYZ|YQY|
YQY|DGO,|DGO|IAH|BOS|YHZ|YQY|
YQY|GDL,|GDL|IAH|BOS|YHZ|YQY|
YQY|GPT,|GPT|IAH|BOS|YHZ|YQY|
YQY|GRK,|GRK|IAH|BOS|YHZ|YQY|
YQY|HOB,|HOB|IAH|BOS|YHZ|YQY|
YQY|HRL,|HRL|HOU|BOS|YHZ|YQY|
YQY|HUX,|HUX|IAH|BOS|YHZ|YQY|
YQY|JAN,|JAN|MDW|DTW|YYZ|YQY|
YQY|LCH,|LCH|IAH|BOS|YHZ|YQY|
YQY|LEX,|LEX|ORD|YYZ|YQY|
YQY|LFT,|LFT|IAH|BOS|YHZ|YQY|
YQY|LRD,|LRD|IAH|BOS|YHZ|YQY|
YQY|MFE,|MFE|IAH|BOS|YHZ|YQY|
YQY|MGA,|MGA|IAH|BOS|YHZ|YQY|
YQY|MID,|MID|IAH|BOS|YHZ|YQY|
YQY|MLM,|MLM|IAH|BOS|YHZ|YQY|
YQY|MLU,|MLU|IAH|BOS|YHZ|YQY|
YQY|MOB,|MOB|ORD|YYZ|YQY|
YQY|MTY,|MTY|IAH|BOS|YHZ|YQY|
YQY|OAX,|OAX|IAH|BOS|YHZ|YQY|
YQY|PBC,|PBC|IAH|BOS|YHZ|YQY|
YQY|PNS,|PNS|BNA|BOS|YHZ|YQY|
YQY|QRO,|QRO|IAH|BOS|YHZ|YQY|
YQY|RTB,|RTB|IAH|BOS|YHZ|YQY|
YQY|SLP,|SLP|IAH|BOS|YHZ|YQY|
YQY|SLW,|SLW|IAH|BOS|YHZ|YQY|
YQY|TAM,|TAM|IAH|BOS|YHZ|YQY|
YQY|TGU,|TGU|IAH|BOS|YHZ|YQY|
YQY|TRC,|TRC|IAH|BOS|YHZ|YQY|
YQY|TYR,|TYR|IAH|BOS|YHZ|YQY|
YQY|UIO,|UIO|IAH|BOS|YHZ|YQY|
YQY|VER,|VER|IAH|BOS|YHZ|YQY|
YQY|VPS,|VPS|IAH|BOS|YHZ|YQY|
YQY|VSA,|VSA|IAH|BOS|YHZ|YQY|
YQY|ZIH,|ZIH|IAH|BOS|YHZ|YQY|
YQY|ZLO,|ZLO|IAH|BOS|YHZ|YQY|
YQY|KWA,|KWA|MAJ|HNL|SFO|YUL|YHZ|YQY|
YQY|PNI,|PNI|KWA|MAJ|HNL|SFO|YUL|YHZ|YQY|
YQY|KSA,|KSA|KWA|MAJ|HNL|SFO|YUL|YHZ|YQY|
YQY|CLD,|CLD|LAX|YYZ|YQY|
YQY|ITO,|ITO|LAX|YYZ|YQY|
YQY|SBP,|SBP|LAX|YYZ|YQY|
YQY|SMX,|SMX|LAX|YYZ|YQY|
YQY|YUM,|YUM|LAX|YYZ|YQY|
YQY|DDC,|YQY|
YQY|TMS,|TMS|LIS|EWR|YHZ|YQY|
YQY|PHC,|PHC|LOS|FRA|BOS|YHZ|YQY|
YQY|GNV,|GNV|MCO|YHZ|YQY|
YQY|TLH,|TLH|MCO|YHZ|YQY|
YQY|CKB,|CKB|MGW|IAD|LGA|YHZ|YQY|
YQY|BAQ,|BAQ|MIA|EWR|YHZ|YQY|
YQY|CLO,|CLO|MIA|EWR|YHZ|YQY|
YQY|CTG,|CTG|MIA|EWR|YHZ|YQY|
YQY|MDE,|MDE|MIA|EWR|YHZ|YQY|
YQY|ABE,|ABE|ORD|YYZ|YQY|
YQY|ATW,|ATW|ORD|YYZ|YQY|
YQY|AVL,|AVL|ORD|YYZ|YQY|
YQY|AVP,|AVP|ORD|YYZ|YQY|
YQY|CAK,|CAK|BOS|YHZ|YQY|
YQY|CMX,|CMX|ORD|YYZ|YQY|
YQY|CWA,|CWA|ORD|YYZ|YQY|
YQY|DLH,|DLH|ORD|YYZ|YQY|
YQY|EAU,|EAU|ORD|YYZ|YQY|
YQY|ELM,|ELM|ORD|YYZ|YQY|
YQY|FOE,|FOE|ORD|YYZ|YQY|
YQY|FWA,|FWA|ORD|YYZ|YQY|
YQY|GRB,|GRB|ORD|YYZ|YQY|
YQY|HPN,|HPN|ORD|YYZ|YQY|
YQY|LAN,|LAN|ORD|YYZ|YQY|
YQY|MBS,|MBS|ORD|YYZ|YQY|
YQY|MKG,|MKG|ORD|YYZ|YQY|
YQY|PAH,|PAH|ORD|YYZ|YQY|
YQY|SBN,|SBN|ORD|YYZ|YQY|
YQY|SPI,|SPI|ORD|YYZ|YQY|
YQY|SRQ,|SRQ|ORD|YYZ|YQY|
YQY|STC,|STC|ORD|YYZ|YQY|
YQY|TVC,|TVC|ORD|YYZ|YQY|
YQY|LMT,|LMT|PDX|YYC|YHZ|YQY|
YQY|HON,|HON|PIR|DEN|YYZ|YQY|
YQY|CIC,|CIC|SFO|YUL|YHZ|YQY|
YQY|MOD,|MOD|SFO|YUL|YHZ|YQY|
YQY|OTH,|OTH|SFO|YUL|YHZ|YQY|
YQY|RDD,|RDD|SFO|YUL|YHZ|YQY|
YQY|EIS,|EIS|SJU|EWR|YHZ|YQY|
YQY|DME,|DME|VIE|JFK|YUL|YHZ|YQY|
YQY|EVN,|EVN|VIE|JFK|YUL|YHZ|YQY|
YQY|HOU,|HOU|BOS|YHZ|YQY|
YQY|MDW,|MDW|DTW|YYZ|YQY|
YQY|OAK,|OAK|DEN|YYZ|YQY|
YQY|ECP,|ECP|BWI|EWR|YHZ|YQY|
YQY|ISP,|ISP|BWI|EWR|YHZ|YQY|
YQY|YHM,|YHM|YHZ|YQY|
YQY|YXX,|YXX|YYC|YHZ|YQY|
YQY|YBR,|YBR|YYC|YHZ|YQY|
YQY|YKF,|YKF|YYC|YHZ|YQY|
YQY|GDN,|YQY|
YQY|TRD,|YQY|
YQY|NKC,|YQY|
YQY|PGA,|YQY|
