DNH|BRU,|BRU|IST|URC|DNH|
DNH|YNB,|YNB|IST|URC|DNH|
DNH|ZAG,|ZAG|IST|URC|DNH|
DNH|MGQ,|MGQ|JIB|IST|URC|DNH|
DNH|CPT,|CPT|JNB|IST|URC|DNH|
DNH|MBA,|MBA|JRO|IST|URC|DNH|
DNH|NDJ,|NDJ|KAN|IST|URC|DNH|
DNH|CMB,|CMB|MLE|CAN|XIY|DNH|
DNH|ADE,|ADE|SAH|IST|URC|DNH|
DNH|ASF,|ASF|SAW|TBS|URC|DNH|
DNH|STW,|STW|SAW|TBS|URC|DNH|
DNH|LFW,|LFW|ABJ|OUA|NIM|IST|URC|DNH|
DNH|CEC,|CEC|SFO|PEK|XIY|DNH|
DNH|SMF,|SMF|SFO|PEK|XIY|DNH|
DNH|CDR,|CDR|AIA|DEN|YVR|PEK|XIY|DNH|
DNH|FMN,|FMN|DEN|YVR|PEK|XIY|DNH|
DNH|JST,|JST|IAD|FRA|TSE|URC|DNH|
DNH|JHW,|JHW|CLE|YYZ|FRA|TSE|URC|DNH|
DNH|SHD,|SHD|IAD|FRA|TSE|URC|DNH|
DNH|PTY,|PTY|MIA|FRA|TSE|URC|DNH|
DNH|FNA,|FNA|BRU|IST|URC|DNH|
DNH|SXB,|SXB|BRU|IST|URC|DNH|
DNH|ACV,|ACV|SFO|PEK|XIY|DNH|
DNH|MGW,|MGW|IAD|FRA|TSE|URC|DNH|
DNH|ALB,|ALB|EWR|FRA|TSE|URC|DNH|
DNH|AUS,|AUS|DEN|YVR|PEK|XIY|DNH|
DNH|BFD,|BFD|CLE|YYZ|FRA|TSE|URC|DNH|
DNH|BUF,|BUF|EWR|FRA|TSE|URC|DNH|
DNH|CHS,|CHS|EWR|FRA|TSE|URC|DNH|
DNH|DAY,|DAY|ORD|PEK|XIY|DNH|
DNH|DUJ,|DUJ|CLE|YYZ|FRA|TSE|URC|DNH|
DNH|ERI,|ERI|CLE|YYZ|FRA|TSE|URC|DNH|
DNH|FKL,|FKL|CLE|YYZ|FRA|TSE|URC|DNH|
DNH|FNT,|FNT|CLE|YYZ|FRA|TSE|URC|DNH|
DNH|GRR,|GRR|ORD|PEK|XIY|DNH|
DNH|GSP,|GSP|EWR|FRA|TSE|URC|DNH|
DNH|PBI,|PBI|EWR|FRA|TSE|URC|DNH|
DNH|PKB,|PKB|CLE|YYZ|FRA|TSE|URC|DNH|
DNH|RIC,|RIC|EWR|FRA|TSE|URC|DNH|
DNH|SDF,|SDF|ORD|PEK|XIY|DNH|
DNH|GUM,|GUM|HKG|CAN|XIY|DNH|
DNH|WRL,|WRL|CYS|DEN|YVR|PEK|XIY|DNH|
DNH|LBL,|DNH|
DNH|ABQ,|ABQ|SEA|PEK|XIY|DNH|
DNH|AIA,|AIA|DEN|YVR|PEK|XIY|DNH|
DNH|ALS,|ALS|DEN|YVR|PEK|XIY|DNH|
DNH|AMA,|AMA|DEN|YVR|PEK|XIY|DNH|
DNH|ANC,|ANC|SEA|PEK|XIY|DNH|
DNH|ASE,|ASE|DEN|YVR|PEK|XIY|DNH|
DNH|BFL,|BFL|SFO|PEK|XIY|DNH|
DNH|BHM,|BHM|ORD|PEK|XIY|DNH|
DNH|BIL,|BIL|DEN|YVR|PEK|XIY|DNH|
DNH|BIS,|BIS|DEN|YVR|PEK|XIY|DNH|
DNH|BOI,|BOI|SFO|PEK|XIY|DNH|
DNH|BUR,|BUR|SFO|PEK|XIY|DNH|
DNH|BZN,|BZN|DEN|YVR|PEK|XIY|DNH|
DNH|CID,|CID|ORD|PEK|XIY|DNH|
DNH|COD,|COD|DEN|YVR|PEK|XIY|DNH|
DNH|COS,|COS|DEN|YVR|PEK|XIY|DNH|
DNH|CPR,|CPR|DEN|YVR|PEK|XIY|DNH|
DNH|CYS,|CYS|DEN|YVR|PEK|XIY|DNH|
DNH|DIK,|DIK|DEN|YVR|PEK|XIY|DNH|
DNH|DRO,|DRO|DEN|YVR|PEK|XIY|DNH|
DNH|DSM,|DSM|ORD|PEK|XIY|DNH|
DNH|EGE,|EGE|DEN|YVR|PEK|XIY|DNH|
DNH|ELP,|ELP|LAS|SEA|PEK|XIY|DNH|
DNH|EUG,|EUG|PDX|SEA|PEK|XIY|DNH|
DNH|FAR,|FAR|DEN|YVR|PEK|XIY|DNH|
DNH|FAT,|FAT|SFO|PEK|XIY|DNH|
DNH|FCA,|FCA|DEN|YVR|PEK|XIY|DNH|
DNH|FSD,|FSD|DEN|YVR|PEK|XIY|DNH|
DNH|GCC,|GCC|DEN|YVR|PEK|XIY|DNH|
DNH|GEG,|GEG|BOI|SFO|PEK|XIY|DNH|
DNH|GJT,|GJT|DEN|YVR|PEK|XIY|DNH|
DNH|GTF,|GTF|DEN|YVR|PEK|XIY|DNH|
DNH|GUC,|GUC|DEN|YVR|PEK|XIY|DNH|
DNH|HDN,|HDN|DEN|YVR|PEK|XIY|DNH|
DNH|HLN,|HLN|DEN|YVR|PEK|XIY|DNH|
DNH|HSV,|HSV|ORD|PEK|XIY|DNH|
DNH|ICT,|ICT|DEN|YVR|PEK|XIY|DNH|
DNH|IDA,|IDA|DEN|YVR|PEK|XIY|DNH|
DNH|ISN,|ISN|DEN|YVR|PEK|XIY|DNH|
DNH|JAC,|JAC|DEN|YVR|PEK|XIY|DNH|
DNH|KOA,|KOA|YVR|PEK|XIY|DNH|
DNH|LAR,|LAR|DEN|YVR|PEK|XIY|DNH|
DNH|LBB,|LBB|DEN|YVR|PEK|XIY|DNH|
DNH|LIH,|LIH|HNL|PEK|XIY|DNH|
DNH|LIT,|LIT|ORD|PEK|XIY|DNH|
DNH|LNK,|LNK|DEN|YVR|PEK|XIY|DNH|
DNH|MAF,|MAF|DEN|YVR|PEK|XIY|DNH|
DNH|MEM,|MEM|ORD|PEK|XIY|DNH|
DNH|MFR,|MFR|SFO|PEK|XIY|DNH|
DNH|MLI,|MLI|ORD|PEK|XIY|DNH|
DNH|MOT,|MOT|DEN|YVR|PEK|XIY|DNH|
DNH|MRY,|MRY|SFO|PEK|XIY|DNH|
DNH|MSN,|MSN|ORD|PEK|XIY|DNH|
DNH|MSO,|MSO|DEN|YVR|PEK|XIY|DNH|
DNH|MTJ,|MTJ|DEN|YVR|PEK|XIY|DNH|
DNH|OKC,|OKC|DEN|YVR|PEK|XIY|DNH|
DNH|OMA,|OMA|DEN|YVR|PEK|XIY|DNH|
DNH|ONT,|ONT|SFO|PEK|XIY|DNH|
DNH|PIA,|PIA|ORD|PEK|XIY|DNH|
DNH|PIR,|PIR|DEN|YVR|PEK|XIY|DNH|
DNH|PSC,|PSC|SFO|PEK|XIY|DNH|
DNH|PSP,|PSP|SFO|PEK|XIY|DNH|
DNH|PUB,|PUB|DEN|YVR|PEK|XIY|DNH|
DNH|RAP,|RAP|DEN|YVR|PEK|XIY|DNH|
DNH|RDM,|RDM|PDX|SEA|PEK|XIY|DNH|
DNH|RKS,|RKS|DEN|YVR|PEK|XIY|DNH|
DNH|RNO,|RNO|SEA|PEK|XIY|DNH|
DNH|SAF,|SAF|DEN|YVR|PEK|XIY|DNH|
DNH|SAT,|SAT|DEN|YVR|PEK|XIY|DNH|
DNH|SBA,|SBA|SFO|PEK|XIY|DNH|
DNH|SGF,|SGF|ORD|PEK|XIY|DNH|
DNH|SGU,|SGU|DEN|YVR|PEK|XIY|DNH|
DNH|SHV,|SHV|DEN|YVR|PEK|XIY|DNH|
DNH|SJC,|SJC|SEA|PEK|XIY|DNH|
DNH|SLC,|SLC|SEA|PEK|XIY|DNH|
DNH|SNA,|SNA|SFO|PEK|XIY|DNH|
DNH|TUL,|TUL|DEN|YVR|PEK|XIY|DNH|
DNH|TUS,|TUS|LAS|SEA|PEK|XIY|DNH|
DNH|TYS,|TYS|ORD|PEK|XIY|DNH|
DNH|XNA,|XNA|DEN|YVR|PEK|XIY|DNH|
DNH|SAL,|SAL|IAH|PEK|XIY|DNH|
DNH|BJL,|BJL|DKR|BRU|IST|URC|DNH|
DNH|BFS,|BFS|EWR|FRA|TSE|URC|DNH|
DNH|BON,|BON|EWR|FRA|TSE|URC|DNH|
DNH|BQN,|BQN|EWR|FRA|TSE|URC|DNH|
DNH|BTV,|BTV|EWR|FRA|TSE|URC|DNH|
DNH|BZE,|BZE|IAH|PEK|XIY|DNH|
DNH|GLA,|GLA|EWR|FRA|TSE|URC|DNH|
DNH|GSO,|GSO|EWR|FRA|TSE|URC|DNH|
DNH|ITH,|ITH|EWR|FRA|TSE|URC|DNH|
DNH|JAX,|JAX|EWR|FRA|TSE|URC|DNH|
DNH|MHT,|MHT|EWR|FRA|TSE|URC|DNH|
DNH|MYR,|MYR|EWR|FRA|TSE|URC|DNH|
DNH|ORF,|ORF|EWR|FRA|TSE|URC|DNH|
DNH|POS,|POS|EWR|FRA|TSE|URC|DNH|
DNH|PVD,|PVD|EWR|FRA|TSE|URC|DNH|
DNH|PWM,|PWM|EWR|FRA|TSE|URC|DNH|
DNH|SAP,|SAP|MIA|FRA|TSE|URC|DNH|
DNH|SAV,|SAV|EWR|FRA|TSE|URC|DNH|
DNH|SDQ,|SDQ|EWR|FRA|TSE|URC|DNH|
DNH|SJU,|SJU|EWR|FRA|TSE|URC|DNH|
DNH|SNN,|SNN|EWR|FRA|TSE|URC|DNH|
DNH|STT,|STT|EWR|FRA|TSE|URC|DNH|
DNH|SXM,|SXM|EWR|FRA|TSE|URC|DNH|
DNH|BIM,|BIM|FLL|MCO|FRA|TSE|URC|DNH|
DNH|ELH,|ELH|PBI|EWR|FRA|TSE|URC|DNH|
DNH|EYW,|EYW|MCO|FRA|TSE|URC|DNH|
DNH|FPO,|FPO|FLL|MCO|FRA|TSE|URC|DNH|
DNH|GHB,|GHB|FLL|MCO|FRA|TSE|URC|DNH|
DNH|MHH,|MHH|MCO|FRA|TSE|URC|DNH|
DNH|TCB,|TCB|FLL|MCO|FRA|TSE|URC|DNH|
DNH|SOW,|SOW|PHX|SEA|PEK|XIY|DNH|
DNH|ROB,|ROB|FNA|BRU|IST|URC|DNH|
DNH|GIG,|GIG|GRU|IST|URC|DNH|
DNH|CNS,|CNS|GUM|HKG|CAN|XIY|DNH|
DNH|CTS,|CTS|GUM|HKG|CAN|XIY|DNH|
DNH|OKJ,|OKJ|GUM|HKG|CAN|XIY|DNH|
DNH|ROP,|ROP|GUM|HKG|CAN|XIY|DNH|
DNH|ROR,|ROR|MNL|XMN|XIY|DNH|
DNH|SDJ,|SDJ|GUM|HKG|CAN|XIY|DNH|
DNH|SPN,|SPN|GUM|HKG|CAN|XIY|DNH|
DNH|TKK,|TKK|GUM|HKG|CAN|XIY|DNH|
DNH|YAP,|YAP|ROR|MNL|XMN|XIY|DNH|
DNH|MAJ,|MAJ|KWA|PNI|TKK|GUM|HKG|CAN|XIY|DNH|
DNH|AOO,|AOO|IAD|FRA|TSE|URC|DNH|
DNH|BGM,|BGM|IAD|FRA|TSE|URC|DNH|
DNH|BKW,|BKW|IAD|FRA|TSE|URC|DNH|
DNH|CAE,|CAE|IAD|FRA|TSE|URC|DNH|
DNH|CHO,|CHO|IAD|FRA|TSE|URC|DNH|
DNH|CRW,|CRW|IAD|FRA|TSE|URC|DNH|
DNH|FAY,|FAY|IAD|FRA|TSE|URC|DNH|
DNH|LWB,|LWB|IAD|FRA|TSE|URC|DNH|
DNH|ROA,|ROA|IAD|FRA|TSE|URC|DNH|
DNH|SCE,|SCE|IAD|FRA|TSE|URC|DNH|
DNH|ACA,|ACA|IAH|PEK|XIY|DNH|
DNH|ACY,|ACY|ORD|PEK|XIY|DNH|
DNH|AEX,|AEX|IAH|PEK|XIY|DNH|
DNH|AGU,|AGU|IAH|PEK|XIY|DNH|
DNH|BJX,|BJX|LAX|PEK|XIY|DNH|
DNH|BRO,|BRO|IAH|PEK|XIY|DNH|
DNH|BTR,|BTR|IAH|PEK|XIY|DNH|
DNH|CCS,|CCS|IAH|PEK|XIY|DNH|
DNH|CLL,|CLL|IAH|PEK|XIY|DNH|
DNH|CME,|CME|IAH|PEK|XIY|DNH|
DNH|CRP,|CRP|IAH|PEK|XIY|DNH|
DNH|CUU,|CUU|IAH|PEK|XIY|DNH|
DNH|DAL,|DAL|OKC|DEN|YVR|PEK|XIY|DNH|
DNH|DGO,|DGO|LAX|PEK|XIY|DNH|
DNH|GDL,|GDL|SFO|PEK|XIY|DNH|
DNH|GPT,|GPT|IAH|PEK|XIY|DNH|
DNH|GRK,|GRK|IAH|PEK|XIY|DNH|
DNH|HOB,|HOB|IAH|PEK|XIY|DNH|
DNH|HRL,|HRL|SAT|DEN|YVR|PEK|XIY|DNH|
DNH|HUX,|HUX|IAH|PEK|XIY|DNH|
DNH|JAN,|JAN|ORD|PEK|XIY|DNH|
DNH|LCH,|LCH|IAH|PEK|XIY|DNH|
DNH|LEX,|LEX|ORD|PEK|XIY|DNH|
DNH|LFT,|LFT|IAH|PEK|XIY|DNH|
DNH|LRD,|LRD|IAH|PEK|XIY|DNH|
DNH|MFE,|MFE|IAH|PEK|XIY|DNH|
DNH|MGA,|MGA|IAH|PEK|XIY|DNH|
DNH|MID,|MID|IAH|PEK|XIY|DNH|
DNH|MLM,|MLM|IAH|PEK|XIY|DNH|
DNH|MLU,|MLU|IAH|PEK|XIY|DNH|
DNH|MOB,|MOB|ORD|PEK|XIY|DNH|
DNH|MTY,|MTY|IAH|PEK|XIY|DNH|
DNH|OAX,|OAX|IAH|PEK|XIY|DNH|
DNH|PBC,|PBC|IAH|PEK|XIY|DNH|
DNH|PNS,|PNS|ORD|PEK|XIY|DNH|
DNH|QRO,|QRO|IAH|PEK|XIY|DNH|
DNH|RTB,|RTB|IAH|PEK|XIY|DNH|
DNH|SLP,|SLP|IAH|PEK|XIY|DNH|
DNH|SLW,|SLW|IAH|PEK|XIY|DNH|
DNH|TAM,|TAM|IAH|PEK|XIY|DNH|
DNH|TGU,|TGU|IAH|PEK|XIY|DNH|
DNH|TRC,|TRC|IAH|PEK|XIY|DNH|
DNH|TYR,|TYR|IAH|PEK|XIY|DNH|
DNH|UIO,|UIO|IAH|PEK|XIY|DNH|
DNH|VER,|VER|IAH|PEK|XIY|DNH|
DNH|VPS,|VPS|IAH|PEK|XIY|DNH|
DNH|VSA,|VSA|IAH|PEK|XIY|DNH|
DNH|ZIH,|ZIH|IAH|PEK|XIY|DNH|
DNH|ZLO,|ZLO|IAH|PEK|XIY|DNH|
DNH|KWA,|KWA|PNI|TKK|GUM|HKG|CAN|XIY|DNH|
DNH|PNI,|PNI|TKK|GUM|HKG|CAN|XIY|DNH|
DNH|KSA,|KSA|PNI|TKK|GUM|HKG|CAN|XIY|DNH|
DNH|CLD,|CLD|LAX|PEK|XIY|DNH|
DNH|ITO,|ITO|LAX|PEK|XIY|DNH|
DNH|SBP,|SBP|SFO|PEK|XIY|DNH|
DNH|SMX,|SMX|LAX|PEK|XIY|DNH|
DNH|YUM,|YUM|LAX|PEK|XIY|DNH|
DNH|DDC,|DNH|
DNH|TMS,|TMS|LIS|IST|URC|DNH|
DNH|PHC,|PHC|LOS|IST|URC|DNH|
DNH|GNV,|GNV|MCO|FRA|TSE|URC|DNH|
DNH|TLH,|TLH|MCO|FRA|TSE|URC|DNH|
DNH|CKB,|CKB|MGW|IAD|FRA|TSE|URC|DNH|
DNH|BAQ,|BAQ|MIA|FRA|TSE|URC|DNH|
DNH|CLO,|CLO|MIA|FRA|TSE|URC|DNH|
DNH|CTG,|CTG|MIA|FRA|TSE|URC|DNH|
DNH|MDE,|MDE|MIA|FRA|TSE|URC|DNH|
DNH|ABE,|ABE|ORD|PEK|XIY|DNH|
DNH|ATW,|ATW|ORD|PEK|XIY|DNH|
DNH|AVL,|AVL|ORD|PEK|XIY|DNH|
DNH|AVP,|AVP|ORD|PEK|XIY|DNH|
DNH|CAK,|CAK|BOS|FRA|TSE|URC|DNH|
DNH|CMX,|CMX|ORD|PEK|XIY|DNH|
DNH|CWA,|CWA|ORD|PEK|XIY|DNH|
DNH|DLH,|DLH|ORD|PEK|XIY|DNH|
DNH|EAU,|EAU|ORD|PEK|XIY|DNH|
DNH|ELM,|ELM|ORD|PEK|XIY|DNH|
DNH|FOE,|FOE|ORD|PEK|XIY|DNH|
DNH|FWA,|FWA|ORD|PEK|XIY|DNH|
DNH|GRB,|GRB|ORD|PEK|XIY|DNH|
DNH|HPN,|HPN|ORD|PEK|XIY|DNH|
DNH|LAN,|LAN|ORD|PEK|XIY|DNH|
DNH|MBS,|MBS|ORD|PEK|XIY|DNH|
DNH|MKG,|MKG|ORD|PEK|XIY|DNH|
DNH|PAH,|PAH|ORD|PEK|XIY|DNH|
DNH|SBN,|SBN|ORD|PEK|XIY|DNH|
DNH|SPI,|SPI|ORD|PEK|XIY|DNH|
DNH|SRQ,|SRQ|ORD|PEK|XIY|DNH|
DNH|STC,|STC|ORD|PEK|XIY|DNH|
DNH|TVC,|TVC|ORD|PEK|XIY|DNH|
DNH|LMT,|LMT|PDX|SEA|PEK|XIY|DNH|
DNH|HON,|HON|PIR|DEN|YVR|PEK|XIY|DNH|
DNH|CIC,|CIC|SFO|PEK|XIY|DNH|
DNH|MOD,|MOD|SFO|PEK|XIY|DNH|
DNH|OTH,|OTH|SFO|PEK|XIY|DNH|
DNH|RDD,|RDD|SFO|PEK|XIY|DNH|
DNH|EIS,|EIS|SJU|EWR|FRA|TSE|URC|DNH|
DNH|DME,|DME|VIE|IST|URC|DNH|
DNH|EVN,|EVN|VIE|IST|URC|DNH|
DNH|HOU,|HOU|DEN|YVR|PEK|XIY|DNH|
DNH|MDW,|MDW|DTW|PEK|XIY|DNH|
DNH|OAK,|OAK|SEA|PEK|XIY|DNH|
DNH|ECP,|ECP|BNA|ORD|PEK|XIY|DNH|
DNH|ISP,|ISP|BWI|EWR|FRA|TSE|URC|DNH|
DNH|YHM,|YHM|YHZ|LHR|IST|URC|DNH|
DNH|YXX,|YXX|YYC|YVR|PEK|XIY|DNH|
DNH|YBR,|YBR|YYC|YVR|PEK|XIY|DNH|
DNH|YKF,|YKF|YYC|YVR|PEK|XIY|DNH|
DNH|GDN,|DNH|
DNH|TRD,|DNH|
DNH|NKC,|DNH|
DNH|PGA,|DNH|
