DAD|BRU,|BRU|DEL|CAN|DAD|
DAD|JST,|JST|IAD|PEK|CAN|DAD|
DAD|JHW,|JHW|CLE|YYZ|PEK|CAN|DAD|
DAD|SHD,|SHD|IAD|PEK|CAN|DAD|
DAD|PTY,|PTY|ORD|PEK|CAN|DAD|
DAD|FNA,|FNA|BRU|DEL|CAN|DAD|
DAD|SXB,|SXB|BRU|DEL|CAN|DAD|
DAD|ACV,|ACV|SFO|PVG|CAN|DAD|
DAD|MGW,|MGW|IAD|PEK|CAN|DAD|
DAD|ALB,|ALB|EWR|PEK|CAN|DAD|
DAD|AUS,|AUS|DEN|YVR|CAN|DAD|
DAD|BFD,|BFD|CLE|YYZ|PEK|CAN|DAD|
DAD|BUF,|BUF|CLE|YYZ|PEK|CAN|DAD|
DAD|CHS,|CHS|ORD|PEK|CAN|DAD|
DAD|DAY,|DAY|ORD|PEK|CAN|DAD|
DAD|DUJ,|DUJ|CLE|YYZ|PEK|CAN|DAD|
DAD|ERI,|ERI|CLE|YYZ|PEK|CAN|DAD|
DAD|FKL,|FKL|CLE|YYZ|PEK|CAN|DAD|
DAD|FNT,|FNT|CLE|YYZ|PEK|CAN|DAD|
DAD|GRR,|GRR|ORD|PEK|CAN|DAD|
DAD|GSP,|GSP|ORD|PEK|CAN|DAD|
DAD|PBI,|PBI|ATL|ORD|PEK|CAN|DAD|
DAD|PKB,|PKB|CLE|YYZ|PEK|CAN|DAD|
DAD|RIC,|RIC|IAD|PEK|CAN|DAD|
DAD|SDF,|SDF|ORD|PEK|CAN|DAD|
DAD|GUM,|GUM|HKG|CAN|DAD|
DAD|WRL,|WRL|CYS|DEN|YVR|CAN|DAD|
DAD|LBL,|DAD|
DAD|ABQ,|ABQ|SEA|ICN|CAN|DAD|
DAD|AIA,|AIA|DEN|YVR|CAN|DAD|
DAD|ALS,|ALS|DEN|YVR|CAN|DAD|
DAD|AMA,|AMA|DEN|YVR|CAN|DAD|
DAD|ANC,|ANC|SEA|ICN|CAN|DAD|
DAD|ASE,|ASE|DEN|YVR|CAN|DAD|
DAD|BFL,|BFL|SFO|PVG|CAN|DAD|
DAD|BHM,|BHM|ORD|PEK|CAN|DAD|
DAD|BIL,|BIL|DEN|YVR|CAN|DAD|
DAD|BIS,|BIS|DEN|YVR|CAN|DAD|
DAD|BOI,|BOI|SFO|PVG|CAN|DAD|
DAD|BUR,|BUR|SFO|PVG|CAN|DAD|
DAD|BZN,|BZN|DEN|YVR|CAN|DAD|
DAD|CID,|CID|ORD|PEK|CAN|DAD|
DAD|COD,|COD|DEN|YVR|CAN|DAD|
DAD|COS,|COS|DEN|YVR|CAN|DAD|
DAD|CPR,|CPR|DEN|YVR|CAN|DAD|
DAD|CYS,|CYS|DEN|YVR|CAN|DAD|
DAD|DIK,|DIK|DEN|YVR|CAN|DAD|
DAD|DRO,|DRO|DEN|YVR|CAN|DAD|
DAD|DSM,|DSM|ORD|PEK|CAN|DAD|
DAD|EGE,|EGE|DEN|YVR|CAN|DAD|
DAD|ELP,|ELP|LAS|SFO|PVG|CAN|DAD|
DAD|EUG,|EUG|PDX|SEA|ICN|CAN|DAD|
DAD|FAR,|FAR|DEN|YVR|CAN|DAD|
DAD|FAT,|FAT|SFO|PVG|CAN|DAD|
DAD|FCA,|FCA|DEN|YVR|CAN|DAD|
DAD|FSD,|FSD|DEN|YVR|CAN|DAD|
DAD|GCC,|GCC|DEN|YVR|CAN|DAD|
DAD|GEG,|GEG|BOI|SFO|PVG|CAN|DAD|
DAD|GJT,|GJT|DEN|YVR|CAN|DAD|
DAD|GTF,|GTF|DEN|YVR|CAN|DAD|
DAD|GUC,|GUC|DEN|YVR|CAN|DAD|
DAD|HDN,|HDN|DEN|YVR|CAN|DAD|
DAD|HLN,|HLN|DEN|YVR|CAN|DAD|
DAD|HSV,|HSV|ORD|PEK|CAN|DAD|
DAD|ICT,|ICT|DEN|YVR|CAN|DAD|
DAD|IDA,|IDA|DEN|YVR|CAN|DAD|
DAD|ISN,|ISN|DEN|YVR|CAN|DAD|
DAD|JAC,|JAC|DEN|YVR|CAN|DAD|
DAD|KOA,|KOA|YVR|CAN|DAD|
DAD|LAR,|LAR|DEN|YVR|CAN|DAD|
DAD|LBB,|LBB|DEN|YVR|CAN|DAD|
DAD|LIH,|LIH|HNL|NRT|CAN|DAD|
DAD|LIT,|LIT|DEN|YVR|CAN|DAD|
DAD|LNK,|LNK|DEN|YVR|CAN|DAD|
DAD|MAF,|MAF|DEN|YVR|CAN|DAD|
DAD|MEM,|MEM|ORD|PEK|CAN|DAD|
DAD|MFR,|MFR|SFO|PVG|CAN|DAD|
DAD|MLI,|MLI|ORD|PEK|CAN|DAD|
DAD|MOT,|MOT|DEN|YVR|CAN|DAD|
DAD|MRY,|MRY|SFO|PVG|CAN|DAD|
DAD|MSN,|MSN|ORD|PEK|CAN|DAD|
DAD|MSO,|MSO|DEN|YVR|CAN|DAD|
DAD|MTJ,|MTJ|DEN|YVR|CAN|DAD|
DAD|OKC,|OKC|DEN|YVR|CAN|DAD|
DAD|OMA,|OMA|DEN|YVR|CAN|DAD|
DAD|ONT,|ONT|SFO|PVG|CAN|DAD|
DAD|PIA,|PIA|ORD|PEK|CAN|DAD|
DAD|PIR,|PIR|DEN|YVR|CAN|DAD|
DAD|PSC,|PSC|SFO|PVG|CAN|DAD|
DAD|PSP,|PSP|SFO|PVG|CAN|DAD|
DAD|PUB,|PUB|DEN|YVR|CAN|DAD|
DAD|RAP,|RAP|DEN|YVR|CAN|DAD|
DAD|RDM,|RDM|PDX|SEA|ICN|CAN|DAD|
DAD|RKS,|RKS|DEN|YVR|CAN|DAD|
DAD|RNO,|RNO|SEA|ICN|CAN|DAD|
DAD|SAF,|SAF|DEN|YVR|CAN|DAD|
DAD|SAT,|SAT|DEN|YVR|CAN|DAD|
DAD|SBA,|SBA|SFO|PVG|CAN|DAD|
DAD|SGF,|SGF|DEN|YVR|CAN|DAD|
DAD|SGU,|SGU|DEN|YVR|CAN|DAD|
DAD|SHV,|SHV|DEN|YVR|CAN|DAD|
DAD|SJC,|SJC|NRT|CAN|DAD|
DAD|SLC,|SLC|SEA|ICN|CAN|DAD|
DAD|SNA,|SNA|SFO|PVG|CAN|DAD|
DAD|TUL,|TUL|DEN|YVR|CAN|DAD|
DAD|TUS,|TUS|SFO|PVG|CAN|DAD|
DAD|TYS,|TYS|ORD|PEK|CAN|DAD|
DAD|XNA,|XNA|DEN|YVR|CAN|DAD|
DAD|SAL,|SAL|IAH|YVR|CAN|DAD|
DAD|BJL,|BJL|DKR|BRU|DEL|CAN|DAD|
DAD|BFS,|BFS|EWR|PEK|CAN|DAD|
DAD|BON,|BON|EWR|PEK|CAN|DAD|
DAD|BQN,|BQN|EWR|PEK|CAN|DAD|
DAD|BTV,|BTV|EWR|PEK|CAN|DAD|
DAD|BZE,|BZE|IAH|YVR|CAN|DAD|
DAD|GLA,|GLA|EWR|PEK|CAN|DAD|
DAD|GSO,|GSO|IAD|PEK|CAN|DAD|
DAD|ITH,|ITH|EWR|PEK|CAN|DAD|
DAD|JAX,|JAX|ORD|PEK|CAN|DAD|
DAD|MHT,|MHT|EWR|PEK|CAN|DAD|
DAD|MYR,|MYR|YYZ|PEK|CAN|DAD|
DAD|ORF,|ORF|IAD|PEK|CAN|DAD|
DAD|POS,|POS|EWR|PEK|CAN|DAD|
DAD|PVD,|PVD|EWR|PEK|CAN|DAD|
DAD|PWM,|PWM|EWR|PEK|CAN|DAD|
DAD|SAP,|SAP|IAH|YVR|CAN|DAD|
DAD|SAV,|SAV|ORD|PEK|CAN|DAD|
DAD|SDQ,|SDQ|EWR|PEK|CAN|DAD|
DAD|SJU,|SJU|EWR|PEK|CAN|DAD|
DAD|SNN,|SNN|EWR|PEK|CAN|DAD|
DAD|STT,|STT|EWR|PEK|CAN|DAD|
DAD|SXM,|SXM|EWR|PEK|CAN|DAD|
DAD|BIM,|BIM|FLL|ORD|PEK|CAN|DAD|
DAD|ELH,|ELH|PBI|ATL|ORD|PEK|CAN|DAD|
DAD|EYW,|EYW|TPA|ORD|PEK|CAN|DAD|
DAD|FPO,|FPO|FLL|ORD|PEK|CAN|DAD|
DAD|GHB,|GHB|FLL|ORD|PEK|CAN|DAD|
DAD|MHH,|MHH|JAX|ORD|PEK|CAN|DAD|
DAD|TCB,|TCB|FLL|ORD|PEK|CAN|DAD|
DAD|SOW,|SOW|PHX|SFO|PVG|CAN|DAD|
DAD|ROB,|ROB|FNA|BRU|DEL|CAN|DAD|
DAD|GIG,|GIG|GRU|IST|CAN|DAD|
DAD|CNS,|CNS|GUM|HKG|CAN|DAD|
DAD|CTS,|CTS|GUM|HKG|CAN|DAD|
DAD|OKJ,|OKJ|GUM|HKG|CAN|DAD|
DAD|ROP,|ROP|GUM|HKG|CAN|DAD|
DAD|ROR,|ROR|MNL|CAN|DAD|
DAD|SDJ,|SDJ|GUM|HKG|CAN|DAD|
DAD|SPN,|SPN|GUM|HKG|CAN|DAD|
DAD|TKK,|TKK|GUM|HKG|CAN|DAD|
DAD|YAP,|YAP|ROR|MNL|CAN|DAD|
DAD|MAJ,|MAJ|KWA|PNI|TKK|GUM|HKG|CAN|DAD|
DAD|AOO,|AOO|IAD|PEK|CAN|DAD|
DAD|BGM,|BGM|IAD|PEK|CAN|DAD|
DAD|BKW,|BKW|IAD|PEK|CAN|DAD|
DAD|CAE,|CAE|ORD|PEK|CAN|DAD|
DAD|CHO,|CHO|IAD|PEK|CAN|DAD|
DAD|CRW,|CRW|ORD|PEK|CAN|DAD|
DAD|FAY,|FAY|IAD|PEK|CAN|DAD|
DAD|LWB,|LWB|IAD|PEK|CAN|DAD|
DAD|ROA,|ROA|IAD|PEK|CAN|DAD|
DAD|SCE,|SCE|IAD|PEK|CAN|DAD|
DAD|ACA,|ACA|IAH|YVR|CAN|DAD|
DAD|ACY,|ACY|ORD|PEK|CAN|DAD|
DAD|AEX,|AEX|IAH|YVR|CAN|DAD|
DAD|AGU,|AGU|IAH|YVR|CAN|DAD|
DAD|BJX,|BJX|LAX|CAN|DAD|
DAD|BRO,|BRO|IAH|YVR|CAN|DAD|
DAD|BTR,|BTR|IAH|YVR|CAN|DAD|
DAD|CCS,|CCS|IAH|YVR|CAN|DAD|
DAD|CLL,|CLL|IAH|YVR|CAN|DAD|
DAD|CME,|CME|IAH|YVR|CAN|DAD|
DAD|CRP,|CRP|IAH|YVR|CAN|DAD|
DAD|CUU,|CUU|IAH|YVR|CAN|DAD|
DAD|DAL,|DAL|OKC|DEN|YVR|CAN|DAD|
DAD|DGO,|DGO|LAX|CAN|DAD|
DAD|GDL,|GDL|LAX|CAN|DAD|
DAD|GPT,|GPT|IAH|YVR|CAN|DAD|
DAD|GRK,|GRK|IAH|YVR|CAN|DAD|
DAD|HOB,|HOB|IAH|YVR|CAN|DAD|
DAD|HRL,|HRL|SAT|DEN|YVR|CAN|DAD|
DAD|HUX,|HUX|IAH|YVR|CAN|DAD|
DAD|JAN,|JAN|ORD|PEK|CAN|DAD|
DAD|LCH,|LCH|IAH|YVR|CAN|DAD|
DAD|LEX,|LEX|ORD|PEK|CAN|DAD|
DAD|LFT,|LFT|IAH|YVR|CAN|DAD|
DAD|LRD,|LRD|IAH|YVR|CAN|DAD|
DAD|MFE,|MFE|IAH|YVR|CAN|DAD|
DAD|MGA,|MGA|IAH|YVR|CAN|DAD|
DAD|MID,|MID|IAH|YVR|CAN|DAD|
DAD|MLM,|MLM|IAH|YVR|CAN|DAD|
DAD|MLU,|MLU|IAH|YVR|CAN|DAD|
DAD|MOB,|MOB|ORD|PEK|CAN|DAD|
DAD|MTY,|MTY|IAH|YVR|CAN|DAD|
DAD|OAX,|OAX|IAH|YVR|CAN|DAD|
DAD|PBC,|PBC|IAH|YVR|CAN|DAD|
DAD|PNS,|PNS|ORD|PEK|CAN|DAD|
DAD|QRO,|QRO|IAH|YVR|CAN|DAD|
DAD|RTB,|RTB|IAH|YVR|CAN|DAD|
DAD|SLP,|SLP|IAH|YVR|CAN|DAD|
DAD|SLW,|SLW|IAH|YVR|CAN|DAD|
DAD|TAM,|TAM|IAH|YVR|CAN|DAD|
DAD|TGU,|TGU|IAH|YVR|CAN|DAD|
DAD|TRC,|TRC|IAH|YVR|CAN|DAD|
DAD|TYR,|TYR|IAH|YVR|CAN|DAD|
DAD|UIO,|UIO|IAH|YVR|CAN|DAD|
DAD|VER,|VER|IAH|YVR|CAN|DAD|
DAD|VPS,|VPS|IAH|YVR|CAN|DAD|
DAD|VSA,|VSA|IAH|YVR|CAN|DAD|
DAD|ZIH,|ZIH|IAH|YVR|CAN|DAD|
DAD|ZLO,|ZLO|IAH|YVR|CAN|DAD|
DAD|KWA,|KWA|PNI|TKK|GUM|HKG|CAN|DAD|
DAD|PNI,|PNI|TKK|GUM|HKG|CAN|DAD|
DAD|KSA,|KSA|PNI|TKK|GUM|HKG|CAN|DAD|
DAD|CLD,|CLD|LAX|CAN|DAD|
DAD|ITO,|ITO|LAX|CAN|DAD|
DAD|SBP,|SBP|SFO|PVG|CAN|DAD|
DAD|SMX,|SMX|LAX|CAN|DAD|
DAD|YUM,|YUM|LAX|CAN|DAD|
DAD|DDC,|DAD|
DAD|TMS,|TMS|LIS|IST|CAN|DAD|
DAD|PHC,|PHC|LOS|IST|CAN|DAD|
DAD|GNV,|GNV|MCO|ORD|PEK|CAN|DAD|
DAD|TLH,|TLH|TPA|ORD|PEK|CAN|DAD|
DAD|CKB,|CKB|MGW|IAD|PEK|CAN|DAD|
DAD|BAQ,|BAQ|MIA|ORD|PEK|CAN|DAD|
DAD|CLO,|CLO|MIA|ORD|PEK|CAN|DAD|
DAD|CTG,|CTG|MIA|ORD|PEK|CAN|DAD|
DAD|MDE,|MDE|MIA|ORD|PEK|CAN|DAD|
DAD|ABE,|ABE|ORD|PEK|CAN|DAD|
DAD|ATW,|ATW|ORD|PEK|CAN|DAD|
DAD|AVL,|AVL|ORD|PEK|CAN|DAD|
DAD|AVP,|AVP|ORD|PEK|CAN|DAD|
DAD|CAK,|CAK|ORD|PEK|CAN|DAD|
DAD|CMX,|CMX|ORD|PEK|CAN|DAD|
DAD|CWA,|CWA|ORD|PEK|CAN|DAD|
DAD|DLH,|DLH|ORD|PEK|CAN|DAD|
DAD|EAU,|EAU|ORD|PEK|CAN|DAD|
DAD|ELM,|ELM|ORD|PEK|CAN|DAD|
DAD|FOE,|FOE|ORD|PEK|CAN|DAD|
DAD|FWA,|FWA|ORD|PEK|CAN|DAD|
DAD|GRB,|GRB|ORD|PEK|CAN|DAD|
DAD|HPN,|HPN|ORD|PEK|CAN|DAD|
DAD|LAN,|LAN|ORD|PEK|CAN|DAD|
DAD|MBS,|MBS|ORD|PEK|CAN|DAD|
DAD|MKG,|MKG|ORD|PEK|CAN|DAD|
DAD|PAH,|PAH|ORD|PEK|CAN|DAD|
DAD|SBN,|SBN|ORD|PEK|CAN|DAD|
DAD|SPI,|SPI|ORD|PEK|CAN|DAD|
DAD|SRQ,|SRQ|ORD|PEK|CAN|DAD|
DAD|STC,|STC|ORD|PEK|CAN|DAD|
DAD|TVC,|TVC|ORD|PEK|CAN|DAD|
DAD|LMT,|LMT|PDX|SEA|ICN|CAN|DAD|
DAD|HON,|HON|PIR|DEN|YVR|CAN|DAD|
DAD|CIC,|CIC|SFO|PVG|CAN|DAD|
DAD|MOD,|MOD|SFO|PVG|CAN|DAD|
DAD|OTH,|OTH|SFO|PVG|CAN|DAD|
DAD|RDD,|RDD|SFO|PVG|CAN|DAD|
DAD|EIS,|EIS|SJU|EWR|PEK|CAN|DAD|
DAD|DME,|DME|VIE|IST|CAN|DAD|
DAD|EVN,|EVN|VIE|IST|CAN|DAD|
DAD|HOU,|HOU|DEN|YVR|CAN|DAD|
DAD|MDW,|MDW|DTW|PEK|CAN|DAD|
DAD|OAK,|OAK|SEA|ICN|CAN|DAD|
DAD|ECP,|ECP|BNA|ORD|PEK|CAN|DAD|
DAD|ISP,|ISP|BWI|YYZ|PEK|CAN|DAD|
DAD|YHM,|YHM|YYC|YVR|CAN|DAD|
DAD|YXX,|YXX|YYC|YVR|CAN|DAD|
DAD|YBR,|YBR|YYC|YVR|CAN|DAD|
DAD|YKF,|YKF|YYC|YVR|CAN|DAD|
DAD|GDN,|DAD|
DAD|TRD,|DAD|
DAD|NKC,|DAD|
DAD|PGA,|DAD|
