WNZ|BRU,|BRU|IST|URC|XIY|WNZ|
WNZ|MAD,|MAD|IST|URC|XIY|WNZ|
WNZ|MAN,|MAN|IST|URC|XIY|WNZ|
WNZ|MED,|MED|IST|URC|XIY|WNZ|
WNZ|MHD,|MHD|IST|URC|XIY|WNZ|
WNZ|MLA,|MLA|IST|URC|XIY|WNZ|
WNZ|MRS,|MRS|IST|URC|XIY|WNZ|
WNZ|MSQ,|MSQ|IST|URC|XIY|WNZ|
WNZ|MXP,|MXP|IST|URC|XIY|WNZ|
WNZ|MZH,|MZH|IST|URC|XIY|WNZ|
WNZ|MZR,|MZR|IST|URC|XIY|WNZ|
WNZ|NAJ,|NAJ|IST|URC|XIY|WNZ|
WNZ|NAV,|NAV|IST|URC|XIY|WNZ|
WNZ|NCE,|NCE|IST|URC|XIY|WNZ|
WNZ|NIM,|NIM|IST|URC|XIY|WNZ|
WNZ|NJF,|NJF|IST|URC|XIY|WNZ|
WNZ|NSI,|NSI|IST|URC|XIY|WNZ|
WNZ|NUE,|NUE|IST|URC|XIY|WNZ|
WNZ|ODS,|ODS|IST|URC|XIY|WNZ|
WNZ|ORN,|ORN|IST|URC|XIY|WNZ|
WNZ|OTP,|OTP|IST|URC|XIY|WNZ|
WNZ|PRG,|PRG|IST|URC|XIY|WNZ|
WNZ|PRN,|PRN|IST|URC|XIY|WNZ|
WNZ|RIX,|RIX|IST|URC|XIY|WNZ|
WNZ|ROV,|ROV|IST|URC|XIY|WNZ|
WNZ|RTM,|RTM|IST|URC|XIY|WNZ|
WNZ|RUH,|RUH|IST|URC|XIY|WNZ|
WNZ|SAH,|SAH|IST|URC|XIY|WNZ|
WNZ|SJJ,|SJJ|IST|URC|XIY|WNZ|
WNZ|SKG,|SKG|IST|URC|XIY|WNZ|
WNZ|SKP,|SKP|IST|URC|XIY|WNZ|
WNZ|SSH,|SSH|IST|URC|XIY|WNZ|
WNZ|STR,|STR|IST|URC|XIY|WNZ|
WNZ|SVX,|SVX|IST|URC|XIY|WNZ|
WNZ|SYZ,|SYZ|IST|URC|XIY|WNZ|
WNZ|SZG,|SZG|IST|URC|XIY|WNZ|
WNZ|TBZ,|TBZ|IST|URC|XIY|WNZ|
WNZ|TGD,|TGD|IST|URC|XIY|WNZ|
WNZ|TIA,|TIA|IST|URC|XIY|WNZ|
WNZ|TIF,|TIF|IST|URC|XIY|WNZ|
WNZ|TIP,|TIP|IST|URC|XIY|WNZ|
WNZ|TLL,|TLL|IST|URC|XIY|WNZ|
WNZ|TLS,|TLS|IST|URC|XIY|WNZ|
WNZ|TRN,|TRN|IST|URC|XIY|WNZ|
WNZ|TUN,|TUN|IST|URC|XIY|WNZ|
WNZ|TXL,|TXL|IST|URC|XIY|WNZ|
WNZ|UFA,|UFA|IST|URC|XIY|WNZ|
WNZ|VAS,|VAS|SAW|TBS|URC|XIY|WNZ|
WNZ|VCE,|VCE|IST|URC|XIY|WNZ|
WNZ|YNB,|YNB|IST|URC|XIY|WNZ|
WNZ|ZAG,|ZAG|IST|URC|XIY|WNZ|
WNZ|MGQ,|MGQ|JIB|IST|URC|XIY|WNZ|
WNZ|CPT,|CPT|JNB|IST|URC|XIY|WNZ|
WNZ|MBA,|MBA|JRO|IST|URC|XIY|WNZ|
WNZ|NDJ,|NDJ|KAN|IST|URC|XIY|WNZ|
WNZ|CMB,|CMB|MLE|CAN|WNZ|
WNZ|ADE,|ADE|SAH|IST|URC|XIY|WNZ|
WNZ|ASF,|ASF|SAW|TBS|URC|XIY|WNZ|
WNZ|STW,|STW|SAW|TBS|URC|XIY|WNZ|
WNZ|LFW,|LFW|ABJ|OUA|NIM|IST|URC|XIY|WNZ|
WNZ|CEC,|CEC|SFO|PEK|CGO|WNZ|
WNZ|SMF,|SMF|SFO|PEK|CGO|WNZ|
WNZ|CDR,|CDR|AIA|DEN|YVR|PEK|CGO|WNZ|
WNZ|FMN,|FMN|DEN|YVR|PEK|CGO|WNZ|
WNZ|JST,|JST|IAD|PEK|CGO|WNZ|
WNZ|JHW,|JHW|CLE|YYZ|PEK|CGO|WNZ|
WNZ|SHD,|SHD|IAD|PEK|CGO|WNZ|
WNZ|PTY,|PTY|ORD|PEK|CGO|WNZ|
WNZ|FNA,|FNA|BRU|IST|URC|XIY|WNZ|
WNZ|SXB,|SXB|BRU|IST|URC|XIY|WNZ|
WNZ|ACV,|ACV|SFO|PEK|CGO|WNZ|
WNZ|MGW,|MGW|IAD|PEK|CGO|WNZ|
WNZ|ALB,|ALB|EWR|PEK|CGO|WNZ|
WNZ|AUS,|AUS|DEN|YVR|PEK|CGO|WNZ|
WNZ|BFD,|BFD|CLE|YYZ|PEK|CGO|WNZ|
WNZ|BUF,|BUF|CLE|YYZ|PEK|CGO|WNZ|
WNZ|CHS,|CHS|ORD|PEK|CGO|WNZ|
WNZ|DAY,|DAY|ORD|PEK|CGO|WNZ|
WNZ|DUJ,|DUJ|CLE|YYZ|PEK|CGO|WNZ|
WNZ|ERI,|ERI|CLE|YYZ|PEK|CGO|WNZ|
WNZ|FKL,|FKL|CLE|YYZ|PEK|CGO|WNZ|
WNZ|FNT,|FNT|CLE|YYZ|PEK|CGO|WNZ|
WNZ|GRR,|GRR|ORD|PEK|CGO|WNZ|
WNZ|GSP,|GSP|ORD|PEK|CGO|WNZ|
WNZ|PBI,|PBI|ATL|ORD|PEK|CGO|WNZ|
WNZ|PKB,|PKB|CLE|YYZ|PEK|CGO|WNZ|
WNZ|RIC,|RIC|IAD|PEK|CGO|WNZ|
WNZ|SDF,|SDF|ORD|PEK|CGO|WNZ|
WNZ|GUM,|GUM|HKG|CAN|WNZ|
WNZ|WRL,|WRL|CYS|DEN|YVR|PEK|CGO|WNZ|
WNZ|LBL,|WNZ|
WNZ|ABQ,|ABQ|SEA|PEK|CGO|WNZ|
WNZ|AIA,|AIA|DEN|YVR|PEK|CGO|WNZ|
WNZ|ALS,|ALS|DEN|YVR|PEK|CGO|WNZ|
WNZ|AMA,|AMA|DEN|YVR|PEK|CGO|WNZ|
WNZ|ANC,|ANC|SEA|PEK|CGO|WNZ|
WNZ|ASE,|ASE|DEN|YVR|PEK|CGO|WNZ|
WNZ|BFL,|BFL|SFO|PEK|CGO|WNZ|
WNZ|BHM,|BHM|ORD|PEK|CGO|WNZ|
WNZ|BIL,|BIL|DEN|YVR|PEK|CGO|WNZ|
WNZ|BIS,|BIS|DEN|YVR|PEK|CGO|WNZ|
WNZ|BOI,|BOI|SFO|PEK|CGO|WNZ|
WNZ|BUR,|BUR|SFO|PEK|CGO|WNZ|
WNZ|BZN,|BZN|DEN|YVR|PEK|CGO|WNZ|
WNZ|CID,|CID|ORD|PEK|CGO|WNZ|
WNZ|COD,|COD|DEN|YVR|PEK|CGO|WNZ|
WNZ|COS,|COS|DEN|YVR|PEK|CGO|WNZ|
WNZ|CPR,|CPR|DEN|YVR|PEK|CGO|WNZ|
WNZ|CYS,|CYS|DEN|YVR|PEK|CGO|WNZ|
WNZ|DIK,|DIK|DEN|YVR|PEK|CGO|WNZ|
WNZ|DRO,|DRO|DEN|YVR|PEK|CGO|WNZ|
WNZ|DSM,|DSM|ORD|PEK|CGO|WNZ|
WNZ|EGE,|EGE|DEN|YVR|PEK|CGO|WNZ|
WNZ|ELP,|ELP|LAS|SEA|PEK|CGO|WNZ|
WNZ|EUG,|EUG|PDX|SEA|PEK|CGO|WNZ|
WNZ|FAR,|FAR|DEN|YVR|PEK|CGO|WNZ|
WNZ|FAT,|FAT|SFO|PEK|CGO|WNZ|
WNZ|FCA,|FCA|DEN|YVR|PEK|CGO|WNZ|
WNZ|FSD,|FSD|DEN|YVR|PEK|CGO|WNZ|
WNZ|GCC,|GCC|DEN|YVR|PEK|CGO|WNZ|
WNZ|GEG,|GEG|BOI|SFO|PEK|CGO|WNZ|
WNZ|GJT,|GJT|DEN|YVR|PEK|CGO|WNZ|
WNZ|GTF,|GTF|DEN|YVR|PEK|CGO|WNZ|
WNZ|GUC,|GUC|DEN|YVR|PEK|CGO|WNZ|
WNZ|HDN,|HDN|DEN|YVR|PEK|CGO|WNZ|
WNZ|HLN,|HLN|DEN|YVR|PEK|CGO|WNZ|
WNZ|HSV,|HSV|ORD|PEK|CGO|WNZ|
WNZ|ICT,|ICT|DEN|YVR|PEK|CGO|WNZ|
WNZ|IDA,|IDA|DEN|YVR|PEK|CGO|WNZ|
WNZ|ISN,|ISN|DEN|YVR|PEK|CGO|WNZ|
WNZ|JAC,|JAC|DEN|YVR|PEK|CGO|WNZ|
WNZ|KOA,|KOA|YVR|PEK|CGO|WNZ|
WNZ|LAR,|LAR|DEN|YVR|PEK|CGO|WNZ|
WNZ|LBB,|LBB|DEN|YVR|PEK|CGO|WNZ|
WNZ|LIH,|LIH|HNL|NRT|ICN|WUH|WNZ|
WNZ|LIT,|LIT|ORD|PEK|CGO|WNZ|
WNZ|LNK,|LNK|DEN|YVR|PEK|CGO|WNZ|
WNZ|MAF,|MAF|DEN|YVR|PEK|CGO|WNZ|
WNZ|MEM,|MEM|ORD|PEK|CGO|WNZ|
WNZ|MFR,|MFR|SFO|PEK|CGO|WNZ|
WNZ|MLI,|MLI|ORD|PEK|CGO|WNZ|
WNZ|MOT,|MOT|DEN|YVR|PEK|CGO|WNZ|
WNZ|MRY,|MRY|SFO|PEK|CGO|WNZ|
WNZ|MSN,|MSN|ORD|PEK|CGO|WNZ|
WNZ|MSO,|MSO|DEN|YVR|PEK|CGO|WNZ|
WNZ|MTJ,|MTJ|DEN|YVR|PEK|CGO|WNZ|
WNZ|OKC,|OKC|DEN|YVR|PEK|CGO|WNZ|
WNZ|OMA,|OMA|DEN|YVR|PEK|CGO|WNZ|
WNZ|ONT,|ONT|SFO|PEK|CGO|WNZ|
WNZ|PIA,|PIA|ORD|PEK|CGO|WNZ|
WNZ|PIR,|PIR|DEN|YVR|PEK|CGO|WNZ|
WNZ|PSC,|PSC|SFO|PEK|CGO|WNZ|
WNZ|PSP,|PSP|SFO|PEK|CGO|WNZ|
WNZ|PUB,|PUB|DEN|YVR|PEK|CGO|WNZ|
WNZ|RAP,|RAP|DEN|YVR|PEK|CGO|WNZ|
WNZ|RDM,|RDM|PDX|SEA|PEK|CGO|WNZ|
WNZ|RKS,|RKS|DEN|YVR|PEK|CGO|WNZ|
WNZ|RNO,|RNO|SEA|PEK|CGO|WNZ|
WNZ|SAF,|SAF|DEN|YVR|PEK|CGO|WNZ|
WNZ|SAT,|SAT|DEN|YVR|PEK|CGO|WNZ|
WNZ|SBA,|SBA|SFO|PEK|CGO|WNZ|
WNZ|SGF,|SGF|ORD|PEK|CGO|WNZ|
WNZ|SGU,|SGU|DEN|YVR|PEK|CGO|WNZ|
WNZ|SHV,|SHV|DEN|YVR|PEK|CGO|WNZ|
WNZ|SJC,|SJC|SEA|PEK|CGO|WNZ|
WNZ|SLC,|SLC|SEA|PEK|CGO|WNZ|
WNZ|SNA,|SNA|SFO|PEK|CGO|WNZ|
WNZ|TUL,|TUL|DEN|YVR|PEK|CGO|WNZ|
WNZ|TUS,|TUS|LAS|SEA|PEK|CGO|WNZ|
WNZ|TYS,|TYS|ORD|PEK|CGO|WNZ|
WNZ|XNA,|XNA|DEN|YVR|PEK|CGO|WNZ|
WNZ|SAL,|SAL|IAH|PEK|CGO|WNZ|
WNZ|BJL,|BJL|DKR|BRU|IST|URC|XIY|WNZ|
WNZ|BFS,|BFS|EWR|PEK|CGO|WNZ|
WNZ|BON,|BON|EWR|PEK|CGO|WNZ|
WNZ|BQN,|BQN|EWR|PEK|CGO|WNZ|
WNZ|BTV,|BTV|EWR|PEK|CGO|WNZ|
WNZ|BZE,|BZE|IAH|PEK|CGO|WNZ|
WNZ|GLA,|GLA|EWR|PEK|CGO|WNZ|
WNZ|GSO,|GSO|IAD|PEK|CGO|WNZ|
WNZ|ITH,|ITH|EWR|PEK|CGO|WNZ|
WNZ|JAX,|JAX|ORD|PEK|CGO|WNZ|
WNZ|MHT,|MHT|EWR|PEK|CGO|WNZ|
WNZ|MYR,|MYR|YYZ|PEK|CGO|WNZ|
WNZ|ORF,|ORF|IAD|PEK|CGO|WNZ|
WNZ|POS,|POS|EWR|PEK|CGO|WNZ|
WNZ|PVD,|PVD|EWR|PEK|CGO|WNZ|
WNZ|PWM,|PWM|EWR|PEK|CGO|WNZ|
WNZ|SAP,|SAP|IAH|PEK|CGO|WNZ|
WNZ|SAV,|SAV|ORD|PEK|CGO|WNZ|
WNZ|SDQ,|SDQ|EWR|PEK|CGO|WNZ|
WNZ|SJU,|SJU|EWR|PEK|CGO|WNZ|
WNZ|SNN,|SNN|EWR|PEK|CGO|WNZ|
WNZ|STT,|STT|EWR|PEK|CGO|WNZ|
WNZ|SXM,|SXM|EWR|PEK|CGO|WNZ|
WNZ|BIM,|BIM|FLL|ORD|PEK|CGO|WNZ|
WNZ|ELH,|ELH|PBI|ATL|ORD|PEK|CGO|WNZ|
WNZ|EYW,|EYW|TPA|ORD|PEK|CGO|WNZ|
WNZ|FPO,|FPO|FLL|ORD|PEK|CGO|WNZ|
WNZ|GHB,|GHB|FLL|ORD|PEK|CGO|WNZ|
WNZ|MHH,|MHH|JAX|ORD|PEK|CGO|WNZ|
WNZ|TCB,|TCB|FLL|ORD|PEK|CGO|WNZ|
WNZ|SOW,|SOW|PHX|SEA|PEK|CGO|WNZ|
WNZ|ROB,|ROB|FNA|BRU|IST|URC|XIY|WNZ|
WNZ|GIG,|GIG|GRU|IST|URC|XIY|WNZ|
WNZ|CNS,|CNS|GUM|HKG|CAN|WNZ|
WNZ|CTS,|CTS|GUM|HKG|CAN|WNZ|
WNZ|OKJ,|OKJ|GUM|HKG|CAN|WNZ|
WNZ|ROP,|ROP|GUM|HKG|CAN|WNZ|
WNZ|ROR,|ROR|MNL|CAN|WNZ|
WNZ|SDJ,|SDJ|GUM|HKG|CAN|WNZ|
WNZ|SPN,|SPN|GUM|HKG|CAN|WNZ|
WNZ|TKK,|TKK|GUM|HKG|CAN|WNZ|
WNZ|YAP,|YAP|ROR|MNL|CAN|WNZ|
WNZ|MAJ,|MAJ|KWA|PNI|TKK|GUM|HKG|CAN|WNZ|
WNZ|AOO,|AOO|IAD|PEK|CGO|WNZ|
WNZ|BGM,|BGM|IAD|PEK|CGO|WNZ|
WNZ|BKW,|BKW|IAD|PEK|CGO|WNZ|
WNZ|CAE,|CAE|ORD|PEK|CGO|WNZ|
WNZ|CHO,|CHO|IAD|PEK|CGO|WNZ|
WNZ|CRW,|CRW|ORD|PEK|CGO|WNZ|
WNZ|FAY,|FAY|IAD|PEK|CGO|WNZ|
WNZ|LWB,|LWB|IAD|PEK|CGO|WNZ|
WNZ|ROA,|ROA|IAD|PEK|CGO|WNZ|
WNZ|SCE,|SCE|IAD|PEK|CGO|WNZ|
WNZ|ACA,|ACA|IAH|PEK|CGO|WNZ|
WNZ|ACY,|ACY|ORD|PEK|CGO|WNZ|
WNZ|AEX,|AEX|IAH|PEK|CGO|WNZ|
WNZ|AGU,|AGU|IAH|PEK|CGO|WNZ|
WNZ|BJX,|BJX|LAX|ICN|WUH|WNZ|
WNZ|BRO,|BRO|IAH|PEK|CGO|WNZ|
WNZ|BTR,|BTR|IAH|PEK|CGO|WNZ|
WNZ|CCS,|CCS|IAH|PEK|CGO|WNZ|
WNZ|CLL,|CLL|IAH|PEK|CGO|WNZ|
WNZ|CME,|CME|IAH|PEK|CGO|WNZ|
WNZ|CRP,|CRP|IAH|PEK|CGO|WNZ|
WNZ|CUU,|CUU|IAH|PEK|CGO|WNZ|
WNZ|DAL,|DAL|OKC|DEN|YVR|PEK|CGO|WNZ|
WNZ|DGO,|DGO|LAX|ICN|WUH|WNZ|
WNZ|GDL,|GDL|SFO|PEK|CGO|WNZ|
WNZ|GPT,|GPT|IAH|PEK|CGO|WNZ|
WNZ|GRK,|GRK|IAH|PEK|CGO|WNZ|
WNZ|HOB,|HOB|IAH|PEK|CGO|WNZ|
WNZ|HRL,|HRL|SAT|DEN|YVR|PEK|CGO|WNZ|
WNZ|HUX,|HUX|IAH|PEK|CGO|WNZ|
WNZ|JAN,|JAN|ORD|PEK|CGO|WNZ|
WNZ|LCH,|LCH|IAH|PEK|CGO|WNZ|
WNZ|LEX,|LEX|ORD|PEK|CGO|WNZ|
WNZ|LFT,|LFT|IAH|PEK|CGO|WNZ|
WNZ|LRD,|LRD|IAH|PEK|CGO|WNZ|
WNZ|MFE,|MFE|IAH|PEK|CGO|WNZ|
WNZ|MGA,|MGA|IAH|PEK|CGO|WNZ|
WNZ|MID,|MID|IAH|PEK|CGO|WNZ|
WNZ|MLM,|MLM|IAH|PEK|CGO|WNZ|
WNZ|MLU,|MLU|IAH|PEK|CGO|WNZ|
WNZ|MOB,|MOB|ORD|PEK|CGO|WNZ|
WNZ|MTY,|MTY|IAH|PEK|CGO|WNZ|
WNZ|OAX,|OAX|IAH|PEK|CGO|WNZ|
WNZ|PBC,|PBC|IAH|PEK|CGO|WNZ|
WNZ|PNS,|PNS|ORD|PEK|CGO|WNZ|
WNZ|QRO,|QRO|IAH|PEK|CGO|WNZ|
WNZ|RTB,|RTB|IAH|PEK|CGO|WNZ|
WNZ|SLP,|SLP|IAH|PEK|CGO|WNZ|
WNZ|SLW,|SLW|IAH|PEK|CGO|WNZ|
WNZ|TAM,|TAM|IAH|PEK|CGO|WNZ|
WNZ|TGU,|TGU|IAH|PEK|CGO|WNZ|
WNZ|TRC,|TRC|IAH|PEK|CGO|WNZ|
WNZ|TYR,|TYR|IAH|PEK|CGO|WNZ|
WNZ|UIO,|UIO|IAH|PEK|CGO|WNZ|
WNZ|VER,|VER|IAH|PEK|CGO|WNZ|
WNZ|VPS,|VPS|IAH|PEK|CGO|WNZ|
WNZ|VSA,|VSA|IAH|PEK|CGO|WNZ|
WNZ|ZIH,|ZIH|IAH|PEK|CGO|WNZ|
WNZ|ZLO,|ZLO|IAH|PEK|CGO|WNZ|
WNZ|KWA,|KWA|PNI|TKK|GUM|HKG|CAN|WNZ|
WNZ|PNI,|PNI|TKK|GUM|HKG|CAN|WNZ|
WNZ|KSA,|KSA|PNI|TKK|GUM|HKG|CAN|WNZ|
WNZ|CLD,|CLD|LAX|ICN|WUH|WNZ|
WNZ|ITO,|ITO|LAX|ICN|WUH|WNZ|
WNZ|SBP,|SBP|SFO|PEK|CGO|WNZ|
WNZ|SMX,|SMX|LAX|ICN|WUH|WNZ|
WNZ|YUM,|YUM|LAX|ICN|WUH|WNZ|
WNZ|DDC,|WNZ|
WNZ|TMS,|TMS|LIS|IST|URC|XIY|WNZ|
WNZ|PHC,|PHC|LOS|IST|URC|XIY|WNZ|
WNZ|GNV,|GNV|MCO|ORD|PEK|CGO|WNZ|
WNZ|TLH,|TLH|TPA|ORD|PEK|CGO|WNZ|
WNZ|CKB,|CKB|MGW|IAD|PEK|CGO|WNZ|
WNZ|BAQ,|BAQ|MIA|ORD|PEK|CGO|WNZ|
WNZ|CLO,|CLO|MIA|ORD|PEK|CGO|WNZ|
WNZ|CTG,|CTG|MIA|ORD|PEK|CGO|WNZ|
WNZ|MDE,|MDE|MIA|ORD|PEK|CGO|WNZ|
WNZ|ABE,|ABE|ORD|PEK|CGO|WNZ|
WNZ|ATW,|ATW|ORD|PEK|CGO|WNZ|
WNZ|AVL,|AVL|ORD|PEK|CGO|WNZ|
WNZ|AVP,|AVP|ORD|PEK|CGO|WNZ|
WNZ|CAK,|CAK|ORD|PEK|CGO|WNZ|
WNZ|CMX,|CMX|ORD|PEK|CGO|WNZ|
WNZ|CWA,|CWA|ORD|PEK|CGO|WNZ|
WNZ|DLH,|DLH|ORD|PEK|CGO|WNZ|
WNZ|EAU,|EAU|ORD|PEK|CGO|WNZ|
WNZ|ELM,|ELM|ORD|PEK|CGO|WNZ|
WNZ|FOE,|FOE|ORD|PEK|CGO|WNZ|
WNZ|FWA,|FWA|ORD|PEK|CGO|WNZ|
WNZ|GRB,|GRB|ORD|PEK|CGO|WNZ|
WNZ|HPN,|HPN|ORD|PEK|CGO|WNZ|
WNZ|LAN,|LAN|ORD|PEK|CGO|WNZ|
WNZ|MBS,|MBS|ORD|PEK|CGO|WNZ|
WNZ|MKG,|MKG|ORD|PEK|CGO|WNZ|
WNZ|PAH,|PAH|ORD|PEK|CGO|WNZ|
WNZ|SBN,|SBN|ORD|PEK|CGO|WNZ|
WNZ|SPI,|SPI|ORD|PEK|CGO|WNZ|
WNZ|SRQ,|SRQ|ORD|PEK|CGO|WNZ|
WNZ|STC,|STC|ORD|PEK|CGO|WNZ|
WNZ|TVC,|TVC|ORD|PEK|CGO|WNZ|
WNZ|LMT,|LMT|PDX|SEA|PEK|CGO|WNZ|
WNZ|HON,|HON|PIR|DEN|YVR|PEK|CGO|WNZ|
WNZ|CIC,|CIC|SFO|PEK|CGO|WNZ|
WNZ|MOD,|MOD|SFO|PEK|CGO|WNZ|
WNZ|OTH,|OTH|SFO|PEK|CGO|WNZ|
WNZ|RDD,|RDD|SFO|PEK|CGO|WNZ|
WNZ|EIS,|EIS|SJU|EWR|PEK|CGO|WNZ|
WNZ|DME,|DME|VIE|IST|URC|XIY|WNZ|
WNZ|EVN,|EVN|VIE|IST|URC|XIY|WNZ|
WNZ|HOU,|HOU|DEN|YVR|PEK|CGO|WNZ|
WNZ|MDW,|MDW|DTW|PEK|CGO|WNZ|
WNZ|OAK,|OAK|SEA|PEK|CGO|WNZ|
WNZ|ECP,|ECP|BNA|ORD|PEK|CGO|WNZ|
WNZ|ISP,|ISP|BWI|YYZ|PEK|CGO|WNZ|
WNZ|YHM,|YHM|YYC|YVR|PEK|CGO|WNZ|
WNZ|YXX,|YXX|YYC|YVR|PEK|CGO|WNZ|
WNZ|YBR,|YBR|YYC|YVR|PEK|CGO|WNZ|
WNZ|YKF,|YKF|YYC|YVR|PEK|CGO|WNZ|
WNZ|GDN,|WNZ|
WNZ|TRD,|WNZ|
WNZ|NKC,|WNZ|
WNZ|PGA,|WNZ|
