PNH|BRU,|BRU|DEL|CAN|PNH|
PNH|JST,|JST|IAD|PEK|CAN|PNH|
PNH|JHW,|JHW|CLE|YYZ|PEK|CAN|PNH|
PNH|SHD,|SHD|IAD|PEK|CAN|PNH|
PNH|PTY,|PTY|ORD|PEK|CAN|PNH|
PNH|FNA,|FNA|BRU|DEL|CAN|PNH|
PNH|SXB,|SXB|BRU|DEL|CAN|PNH|
PNH|ACV,|ACV|SFO|PVG|CAN|PNH|
PNH|MGW,|MGW|IAD|PEK|CAN|PNH|
PNH|ALB,|ALB|EWR|PEK|CAN|PNH|
PNH|AUS,|AUS|DEN|YVR|CAN|PNH|
PNH|BFD,|BFD|CLE|YYZ|PEK|CAN|PNH|
PNH|BUF,|BUF|CLE|YYZ|PEK|CAN|PNH|
PNH|CHS,|CHS|ORD|PEK|CAN|PNH|
PNH|DAY,|DAY|ORD|PEK|CAN|PNH|
PNH|DUJ,|DUJ|CLE|YYZ|PEK|CAN|PNH|
PNH|ERI,|ERI|CLE|YYZ|PEK|CAN|PNH|
PNH|FKL,|FKL|CLE|YYZ|PEK|CAN|PNH|
PNH|FNT,|FNT|CLE|YYZ|PEK|CAN|PNH|
PNH|GRR,|GRR|ORD|PEK|CAN|PNH|
PNH|GSP,|GSP|ORD|PEK|CAN|PNH|
PNH|PBI,|PBI|ATL|ORD|PEK|CAN|PNH|
PNH|PKB,|PKB|CLE|YYZ|PEK|CAN|PNH|
PNH|RIC,|RIC|IAD|PEK|CAN|PNH|
PNH|SDF,|SDF|ORD|PEK|CAN|PNH|
PNH|GUM,|GUM|HKG|CAN|PNH|
PNH|WRL,|WRL|CYS|DEN|YVR|CAN|PNH|
PNH|LBL,|PNH|
PNH|ABQ,|ABQ|SEA|ICN|CAN|PNH|
PNH|AIA,|AIA|DEN|YVR|CAN|PNH|
PNH|ALS,|ALS|DEN|YVR|CAN|PNH|
PNH|AMA,|AMA|DEN|YVR|CAN|PNH|
PNH|ANC,|ANC|SEA|ICN|CAN|PNH|
PNH|ASE,|ASE|DEN|YVR|CAN|PNH|
PNH|BFL,|BFL|SFO|PVG|CAN|PNH|
PNH|BHM,|BHM|ORD|PEK|CAN|PNH|
PNH|BIL,|BIL|DEN|YVR|CAN|PNH|
PNH|BIS,|BIS|DEN|YVR|CAN|PNH|
PNH|BOI,|BOI|SFO|PVG|CAN|PNH|
PNH|BUR,|BUR|SFO|PVG|CAN|PNH|
PNH|BZN,|BZN|DEN|YVR|CAN|PNH|
PNH|CID,|CID|ORD|PEK|CAN|PNH|
PNH|COD,|COD|DEN|YVR|CAN|PNH|
PNH|COS,|COS|DEN|YVR|CAN|PNH|
PNH|CPR,|CPR|DEN|YVR|CAN|PNH|
PNH|CYS,|CYS|DEN|YVR|CAN|PNH|
PNH|DIK,|DIK|DEN|YVR|CAN|PNH|
PNH|DRO,|DRO|DEN|YVR|CAN|PNH|
PNH|DSM,|DSM|ORD|PEK|CAN|PNH|
PNH|EGE,|EGE|DEN|YVR|CAN|PNH|
PNH|ELP,|ELP|LAS|SFO|PVG|CAN|PNH|
PNH|EUG,|EUG|PDX|SEA|ICN|CAN|PNH|
PNH|FAR,|FAR|DEN|YVR|CAN|PNH|
PNH|FAT,|FAT|SFO|PVG|CAN|PNH|
PNH|FCA,|FCA|DEN|YVR|CAN|PNH|
PNH|FSD,|FSD|DEN|YVR|CAN|PNH|
PNH|GCC,|GCC|DEN|YVR|CAN|PNH|
PNH|GEG,|GEG|BOI|SFO|PVG|CAN|PNH|
PNH|GJT,|GJT|DEN|YVR|CAN|PNH|
PNH|GTF,|GTF|DEN|YVR|CAN|PNH|
PNH|GUC,|GUC|DEN|YVR|CAN|PNH|
PNH|HDN,|HDN|DEN|YVR|CAN|PNH|
PNH|HLN,|HLN|DEN|YVR|CAN|PNH|
PNH|HSV,|HSV|ORD|PEK|CAN|PNH|
PNH|ICT,|ICT|DEN|YVR|CAN|PNH|
PNH|IDA,|IDA|DEN|YVR|CAN|PNH|
PNH|ISN,|ISN|DEN|YVR|CAN|PNH|
PNH|JAC,|JAC|DEN|YVR|CAN|PNH|
PNH|KOA,|KOA|YVR|CAN|PNH|
PNH|LAR,|LAR|DEN|YVR|CAN|PNH|
PNH|LBB,|LBB|DEN|YVR|CAN|PNH|
PNH|LIH,|LIH|HNL|NRT|CAN|PNH|
PNH|LIT,|LIT|DEN|YVR|CAN|PNH|
PNH|LNK,|LNK|DEN|YVR|CAN|PNH|
PNH|MAF,|MAF|DEN|YVR|CAN|PNH|
PNH|MEM,|MEM|ORD|PEK|CAN|PNH|
PNH|MFR,|MFR|SFO|PVG|CAN|PNH|
PNH|MLI,|MLI|ORD|PEK|CAN|PNH|
PNH|MOT,|MOT|DEN|YVR|CAN|PNH|
PNH|MRY,|MRY|SFO|PVG|CAN|PNH|
PNH|MSN,|MSN|ORD|PEK|CAN|PNH|
PNH|MSO,|MSO|DEN|YVR|CAN|PNH|
PNH|MTJ,|MTJ|DEN|YVR|CAN|PNH|
PNH|OKC,|OKC|DEN|YVR|CAN|PNH|
PNH|OMA,|OMA|DEN|YVR|CAN|PNH|
PNH|ONT,|ONT|SFO|PVG|CAN|PNH|
PNH|PIA,|PIA|ORD|PEK|CAN|PNH|
PNH|PIR,|PIR|DEN|YVR|CAN|PNH|
PNH|PSC,|PSC|SFO|PVG|CAN|PNH|
PNH|PSP,|PSP|SFO|PVG|CAN|PNH|
PNH|PUB,|PUB|DEN|YVR|CAN|PNH|
PNH|RAP,|RAP|DEN|YVR|CAN|PNH|
PNH|RDM,|RDM|PDX|SEA|ICN|CAN|PNH|
PNH|RKS,|RKS|DEN|YVR|CAN|PNH|
PNH|RNO,|RNO|SEA|ICN|CAN|PNH|
PNH|SAF,|SAF|DEN|YVR|CAN|PNH|
PNH|SAT,|SAT|DEN|YVR|CAN|PNH|
PNH|SBA,|SBA|SFO|PVG|CAN|PNH|
PNH|SGF,|SGF|DEN|YVR|CAN|PNH|
PNH|SGU,|SGU|DEN|YVR|CAN|PNH|
PNH|SHV,|SHV|DEN|YVR|CAN|PNH|
PNH|SJC,|SJC|NRT|CAN|PNH|
PNH|SLC,|SLC|SEA|ICN|CAN|PNH|
PNH|SNA,|SNA|SFO|PVG|CAN|PNH|
PNH|TUL,|TUL|DEN|YVR|CAN|PNH|
PNH|TUS,|TUS|SFO|PVG|CAN|PNH|
PNH|TYS,|TYS|ORD|PEK|CAN|PNH|
PNH|XNA,|XNA|DEN|YVR|CAN|PNH|
PNH|SAL,|SAL|IAH|YVR|CAN|PNH|
PNH|BJL,|BJL|DKR|BRU|DEL|CAN|PNH|
PNH|BFS,|BFS|EWR|PEK|CAN|PNH|
PNH|BON,|BON|EWR|PEK|CAN|PNH|
PNH|BQN,|BQN|EWR|PEK|CAN|PNH|
PNH|BTV,|BTV|EWR|PEK|CAN|PNH|
PNH|BZE,|BZE|IAH|YVR|CAN|PNH|
PNH|GLA,|GLA|EWR|PEK|CAN|PNH|
PNH|GSO,|GSO|IAD|PEK|CAN|PNH|
PNH|ITH,|ITH|EWR|PEK|CAN|PNH|
PNH|JAX,|JAX|ORD|PEK|CAN|PNH|
PNH|MHT,|MHT|EWR|PEK|CAN|PNH|
PNH|MYR,|MYR|YYZ|PEK|CAN|PNH|
PNH|ORF,|ORF|IAD|PEK|CAN|PNH|
PNH|POS,|POS|EWR|PEK|CAN|PNH|
PNH|PVD,|PVD|EWR|PEK|CAN|PNH|
PNH|PWM,|PWM|EWR|PEK|CAN|PNH|
PNH|SAP,|SAP|IAH|YVR|CAN|PNH|
PNH|SAV,|SAV|ORD|PEK|CAN|PNH|
PNH|SDQ,|SDQ|EWR|PEK|CAN|PNH|
PNH|SJU,|SJU|EWR|PEK|CAN|PNH|
PNH|SNN,|SNN|EWR|PEK|CAN|PNH|
PNH|STT,|STT|EWR|PEK|CAN|PNH|
PNH|SXM,|SXM|EWR|PEK|CAN|PNH|
PNH|BIM,|BIM|FLL|ORD|PEK|CAN|PNH|
PNH|ELH,|ELH|PBI|ATL|ORD|PEK|CAN|PNH|
PNH|EYW,|EYW|TPA|ORD|PEK|CAN|PNH|
PNH|FPO,|FPO|FLL|ORD|PEK|CAN|PNH|
PNH|GHB,|GHB|FLL|ORD|PEK|CAN|PNH|
PNH|MHH,|MHH|JAX|ORD|PEK|CAN|PNH|
PNH|TCB,|TCB|FLL|ORD|PEK|CAN|PNH|
PNH|SOW,|SOW|PHX|SFO|PVG|CAN|PNH|
PNH|ROB,|ROB|FNA|BRU|DEL|CAN|PNH|
PNH|GIG,|GIG|GRU|IST|CAN|PNH|
PNH|CNS,|CNS|GUM|HKG|CAN|PNH|
PNH|CTS,|CTS|GUM|HKG|CAN|PNH|
PNH|OKJ,|OKJ|GUM|HKG|CAN|PNH|
PNH|ROP,|ROP|GUM|HKG|CAN|PNH|
PNH|ROR,|ROR|MNL|CAN|PNH|
PNH|SDJ,|SDJ|GUM|HKG|CAN|PNH|
PNH|SPN,|SPN|GUM|HKG|CAN|PNH|
PNH|TKK,|TKK|GUM|HKG|CAN|PNH|
PNH|YAP,|YAP|ROR|MNL|CAN|PNH|
PNH|MAJ,|MAJ|KWA|PNI|TKK|GUM|HKG|CAN|PNH|
PNH|AOO,|AOO|IAD|PEK|CAN|PNH|
PNH|BGM,|BGM|IAD|PEK|CAN|PNH|
PNH|BKW,|BKW|IAD|PEK|CAN|PNH|
PNH|CAE,|CAE|ORD|PEK|CAN|PNH|
PNH|CHO,|CHO|IAD|PEK|CAN|PNH|
PNH|CRW,|CRW|ORD|PEK|CAN|PNH|
PNH|FAY,|FAY|IAD|PEK|CAN|PNH|
PNH|LWB,|LWB|IAD|PEK|CAN|PNH|
PNH|ROA,|ROA|IAD|PEK|CAN|PNH|
PNH|SCE,|SCE|IAD|PEK|CAN|PNH|
PNH|ACA,|ACA|IAH|YVR|CAN|PNH|
PNH|ACY,|ACY|ORD|PEK|CAN|PNH|
PNH|AEX,|AEX|IAH|YVR|CAN|PNH|
PNH|AGU,|AGU|IAH|YVR|CAN|PNH|
PNH|BJX,|BJX|LAX|CAN|PNH|
PNH|BRO,|BRO|IAH|YVR|CAN|PNH|
PNH|BTR,|BTR|IAH|YVR|CAN|PNH|
PNH|CCS,|CCS|IAH|YVR|CAN|PNH|
PNH|CLL,|CLL|IAH|YVR|CAN|PNH|
PNH|CME,|CME|IAH|YVR|CAN|PNH|
PNH|CRP,|CRP|IAH|YVR|CAN|PNH|
PNH|CUU,|CUU|IAH|YVR|CAN|PNH|
PNH|DAL,|DAL|OKC|DEN|YVR|CAN|PNH|
PNH|DGO,|DGO|LAX|CAN|PNH|
PNH|GDL,|GDL|LAX|CAN|PNH|
PNH|GPT,|GPT|IAH|YVR|CAN|PNH|
PNH|GRK,|GRK|IAH|YVR|CAN|PNH|
PNH|HOB,|HOB|IAH|YVR|CAN|PNH|
PNH|HRL,|HRL|SAT|DEN|YVR|CAN|PNH|
PNH|HUX,|HUX|IAH|YVR|CAN|PNH|
PNH|JAN,|JAN|ORD|PEK|CAN|PNH|
PNH|LCH,|LCH|IAH|YVR|CAN|PNH|
PNH|LEX,|LEX|ORD|PEK|CAN|PNH|
PNH|LFT,|LFT|IAH|YVR|CAN|PNH|
PNH|LRD,|LRD|IAH|YVR|CAN|PNH|
PNH|MFE,|MFE|IAH|YVR|CAN|PNH|
PNH|MGA,|MGA|IAH|YVR|CAN|PNH|
PNH|MID,|MID|IAH|YVR|CAN|PNH|
PNH|MLM,|MLM|IAH|YVR|CAN|PNH|
PNH|MLU,|MLU|IAH|YVR|CAN|PNH|
PNH|MOB,|MOB|ORD|PEK|CAN|PNH|
PNH|MTY,|MTY|IAH|YVR|CAN|PNH|
PNH|OAX,|OAX|IAH|YVR|CAN|PNH|
PNH|PBC,|PBC|IAH|YVR|CAN|PNH|
PNH|PNS,|PNS|ORD|PEK|CAN|PNH|
PNH|QRO,|QRO|IAH|YVR|CAN|PNH|
PNH|RTB,|RTB|IAH|YVR|CAN|PNH|
PNH|SLP,|SLP|IAH|YVR|CAN|PNH|
PNH|SLW,|SLW|IAH|YVR|CAN|PNH|
PNH|TAM,|TAM|IAH|YVR|CAN|PNH|
PNH|TGU,|TGU|IAH|YVR|CAN|PNH|
PNH|TRC,|TRC|IAH|YVR|CAN|PNH|
PNH|TYR,|TYR|IAH|YVR|CAN|PNH|
PNH|UIO,|UIO|IAH|YVR|CAN|PNH|
PNH|VER,|VER|IAH|YVR|CAN|PNH|
PNH|VPS,|VPS|IAH|YVR|CAN|PNH|
PNH|VSA,|VSA|IAH|YVR|CAN|PNH|
PNH|ZIH,|ZIH|IAH|YVR|CAN|PNH|
PNH|ZLO,|ZLO|IAH|YVR|CAN|PNH|
PNH|KWA,|KWA|PNI|TKK|GUM|HKG|CAN|PNH|
PNH|PNI,|PNI|TKK|GUM|HKG|CAN|PNH|
PNH|KSA,|KSA|PNI|TKK|GUM|HKG|CAN|PNH|
PNH|CLD,|CLD|LAX|CAN|PNH|
PNH|ITO,|ITO|LAX|CAN|PNH|
PNH|SBP,|SBP|SFO|PVG|CAN|PNH|
PNH|SMX,|SMX|LAX|CAN|PNH|
PNH|YUM,|YUM|LAX|CAN|PNH|
PNH|DDC,|PNH|
PNH|TMS,|TMS|LIS|IST|CAN|PNH|
PNH|PHC,|PHC|LOS|IST|CAN|PNH|
PNH|GNV,|GNV|MCO|ORD|PEK|CAN|PNH|
PNH|TLH,|TLH|TPA|ORD|PEK|CAN|PNH|
PNH|CKB,|CKB|MGW|IAD|PEK|CAN|PNH|
PNH|BAQ,|BAQ|MIA|ORD|PEK|CAN|PNH|
PNH|CLO,|CLO|MIA|ORD|PEK|CAN|PNH|
PNH|CTG,|CTG|MIA|ORD|PEK|CAN|PNH|
PNH|MDE,|MDE|MIA|ORD|PEK|CAN|PNH|
PNH|ABE,|ABE|ORD|PEK|CAN|PNH|
PNH|ATW,|ATW|ORD|PEK|CAN|PNH|
PNH|AVL,|AVL|ORD|PEK|CAN|PNH|
PNH|AVP,|AVP|ORD|PEK|CAN|PNH|
PNH|CAK,|CAK|ORD|PEK|CAN|PNH|
PNH|CMX,|CMX|ORD|PEK|CAN|PNH|
PNH|CWA,|CWA|ORD|PEK|CAN|PNH|
PNH|DLH,|DLH|ORD|PEK|CAN|PNH|
PNH|EAU,|EAU|ORD|PEK|CAN|PNH|
PNH|ELM,|ELM|ORD|PEK|CAN|PNH|
PNH|FOE,|FOE|ORD|PEK|CAN|PNH|
PNH|FWA,|FWA|ORD|PEK|CAN|PNH|
PNH|GRB,|GRB|ORD|PEK|CAN|PNH|
PNH|HPN,|HPN|ORD|PEK|CAN|PNH|
PNH|LAN,|LAN|ORD|PEK|CAN|PNH|
PNH|MBS,|MBS|ORD|PEK|CAN|PNH|
PNH|MKG,|MKG|ORD|PEK|CAN|PNH|
PNH|PAH,|PAH|ORD|PEK|CAN|PNH|
PNH|SBN,|SBN|ORD|PEK|CAN|PNH|
PNH|SPI,|SPI|ORD|PEK|CAN|PNH|
PNH|SRQ,|SRQ|ORD|PEK|CAN|PNH|
PNH|STC,|STC|ORD|PEK|CAN|PNH|
PNH|TVC,|TVC|ORD|PEK|CAN|PNH|
PNH|LMT,|LMT|PDX|SEA|ICN|CAN|PNH|
PNH|HON,|HON|PIR|DEN|YVR|CAN|PNH|
PNH|CIC,|CIC|SFO|PVG|CAN|PNH|
PNH|MOD,|MOD|SFO|PVG|CAN|PNH|
PNH|OTH,|OTH|SFO|PVG|CAN|PNH|
PNH|RDD,|RDD|SFO|PVG|CAN|PNH|
PNH|EIS,|EIS|SJU|EWR|PEK|CAN|PNH|
PNH|DME,|DME|VIE|IST|CAN|PNH|
PNH|EVN,|EVN|VIE|IST|CAN|PNH|
PNH|HOU,|HOU|DEN|YVR|CAN|PNH|
PNH|MDW,|MDW|DTW|PEK|CAN|PNH|
PNH|OAK,|OAK|SEA|ICN|CAN|PNH|
PNH|ECP,|ECP|BNA|ORD|PEK|CAN|PNH|
PNH|ISP,|ISP|BWI|YYZ|PEK|CAN|PNH|
PNH|YHM,|YHM|YYC|YVR|CAN|PNH|
PNH|YXX,|YXX|YYC|YVR|CAN|PNH|
PNH|YBR,|YBR|YYC|YVR|CAN|PNH|
PNH|YKF,|YKF|YYC|YVR|CAN|PNH|
PNH|GDN,|PNH|
PNH|TRD,|PNH|
PNH|NKC,|PNH|
PNH|PGA,|PNH|
