NAJ|BRU,|BRU|IST|KVD|NAJ|
NAJ|JRO,|JRO|IST|KVD|NAJ|
NAJ|KAN,|KAN|IST|KVD|NAJ|
NAJ|KBL,|KBL|IST|KVD|NAJ|
NAJ|KBP,|KBP|IST|KVD|NAJ|
NAJ|KFS,|KFS|IST|KVD|NAJ|
NAJ|KHI,|KHI|IST|KVD|NAJ|
NAJ|KIV,|KIV|IST|KVD|NAJ|
NAJ|KRT,|KRT|IST|KVD|NAJ|
NAJ|KSH,|KSH|IST|KVD|NAJ|
NAJ|KVD,|KVD|NAJ|
NAJ|KWI,|KWI|IST|KVD|NAJ|
NAJ|KYA,|KYA|IST|KVD|NAJ|
NAJ|KZN,|KZN|IST|KVD|NAJ|
NAJ|KZR,|KZR|IST|KVD|NAJ|
NAJ|LED,|LED|IST|KVD|NAJ|
NAJ|LEJ,|LEJ|IST|KVD|NAJ|
NAJ|LGW,|LGW|IST|KVD|NAJ|
NAJ|LHE,|LHE|IST|KVD|NAJ|
NAJ|LIS,|LIS|IST|KVD|NAJ|
NAJ|LJU,|LJU|IST|KVD|NAJ|
NAJ|LOS,|LOS|IST|KVD|NAJ|
NAJ|LUX,|LUX|IST|KVD|NAJ|
NAJ|LWO,|LWO|IST|KVD|NAJ|
NAJ|LYS,|LYS|IST|KVD|NAJ|
NAJ|MAD,|MAD|IST|KVD|NAJ|
NAJ|MAN,|MAN|IST|KVD|NAJ|
NAJ|MED,|MED|IST|KVD|NAJ|
NAJ|MHD,|MHD|IST|KVD|NAJ|
NAJ|MLA,|MLA|IST|KVD|NAJ|
NAJ|MRS,|MRS|IST|KVD|NAJ|
NAJ|MSQ,|MSQ|IST|KVD|NAJ|
NAJ|MXP,|MXP|IST|KVD|NAJ|
NAJ|MZH,|MZH|IST|KVD|NAJ|
NAJ|MZR,|MZR|IST|KVD|NAJ|
NAJ|NAV,|NAV|IST|KVD|NAJ|
NAJ|NCE,|NCE|IST|KVD|NAJ|
NAJ|NIM,|NIM|IST|KVD|NAJ|
NAJ|NJF,|NJF|IST|KVD|NAJ|
NAJ|NSI,|NSI|IST|KVD|NAJ|
NAJ|NUE,|NUE|IST|KVD|NAJ|
NAJ|ODS,|ODS|IST|KVD|NAJ|
NAJ|ORN,|ORN|IST|KVD|NAJ|
NAJ|OTP,|OTP|IST|KVD|NAJ|
NAJ|PRG,|PRG|IST|KVD|NAJ|
NAJ|PRN,|PRN|IST|KVD|NAJ|
NAJ|RIX,|RIX|IST|KVD|NAJ|
NAJ|ROV,|ROV|IST|KVD|NAJ|
NAJ|RTM,|RTM|IST|KVD|NAJ|
NAJ|RUH,|RUH|IST|KVD|NAJ|
NAJ|SAH,|SAH|IST|KVD|NAJ|
NAJ|SJJ,|SJJ|IST|KVD|NAJ|
NAJ|SKG,|SKG|IST|KVD|NAJ|
NAJ|SKP,|SKP|IST|KVD|NAJ|
NAJ|SSH,|SSH|IST|KVD|NAJ|
NAJ|STR,|STR|IST|KVD|NAJ|
NAJ|SVX,|SVX|IST|KVD|NAJ|
NAJ|SYZ,|SYZ|IST|KVD|NAJ|
NAJ|SZG,|SZG|IST|KVD|NAJ|
NAJ|TBZ,|TBZ|IST|KVD|NAJ|
NAJ|TGD,|TGD|IST|KVD|NAJ|
NAJ|TIA,|TIA|IST|KVD|NAJ|
NAJ|TIF,|TIF|IST|KVD|NAJ|
NAJ|TIP,|TIP|IST|KVD|NAJ|
NAJ|TLL,|TLL|IST|KVD|NAJ|
NAJ|TLS,|TLS|IST|KVD|NAJ|
NAJ|TRN,|TRN|IST|KVD|NAJ|
NAJ|TUN,|TUN|IST|KVD|NAJ|
NAJ|TXL,|TXL|IST|KVD|NAJ|
NAJ|UFA,|UFA|IST|KVD|NAJ|
NAJ|VAS,|VAS|IST|KVD|NAJ|
NAJ|VCE,|VCE|IST|KVD|NAJ|
NAJ|YNB,|YNB|IST|KVD|NAJ|
NAJ|ZAG,|ZAG|IST|KVD|NAJ|
NAJ|MGQ,|MGQ|JIB|IST|KVD|NAJ|
NAJ|CPT,|CPT|JNB|IST|KVD|NAJ|
NAJ|MBA,|MBA|JRO|IST|KVD|NAJ|
NAJ|NDJ,|NDJ|KAN|IST|KVD|NAJ|
NAJ|CMB,|CMB|MLE|IST|KVD|NAJ|
NAJ|ADE,|ADE|SAH|IST|KVD|NAJ|
NAJ|ASF,|ASF|SAW|ADB|IST|KVD|NAJ|
NAJ|STW,|STW|SAW|ADB|IST|KVD|NAJ|
NAJ|LFW,|LFW|ABJ|OUA|NIM|IST|KVD|NAJ|
NAJ|CEC,|CEC|ACV|SMF|SEA|FRA|IST|KVD|NAJ|
NAJ|SMF,|SMF|SEA|FRA|IST|KVD|NAJ|
NAJ|CDR,|CDR|AIA|DEN|FRA|IST|KVD|NAJ|
NAJ|FMN,|FMN|DEN|FRA|IST|KVD|NAJ|
NAJ|JST,|JST|IAD|IST|KVD|NAJ|
NAJ|JHW,|JHW|CLE|YYZ|IST|KVD|NAJ|
NAJ|SHD,|SHD|IAD|IST|KVD|NAJ|
NAJ|PTY,|PTY|MIA|ZRH|IST|KVD|NAJ|
NAJ|FNA,|FNA|BRU|IST|KVD|NAJ|
NAJ|SXB,|SXB|BRU|IST|KVD|NAJ|
NAJ|ACV,|ACV|SMF|SEA|FRA|IST|KVD|NAJ|
NAJ|MGW,|MGW|IAD|IST|KVD|NAJ|
NAJ|ALB,|ALB|EWR|BHX|IST|KVD|NAJ|
NAJ|AUS,|AUS|ORD|IST|KVD|NAJ|
NAJ|BFD,|BFD|CLE|YYZ|IST|KVD|NAJ|
NAJ|BUF,|BUF|EWR|BHX|IST|KVD|NAJ|
NAJ|CHS,|CHS|EWR|BHX|IST|KVD|NAJ|
NAJ|DAY,|DAY|CLE|YYZ|IST|KVD|NAJ|
NAJ|DUJ,|DUJ|CLE|YYZ|IST|KVD|NAJ|
NAJ|ERI,|ERI|CLE|YYZ|IST|KVD|NAJ|
NAJ|FKL,|FKL|CLE|YYZ|IST|KVD|NAJ|
NAJ|FNT,|FNT|CLE|YYZ|IST|KVD|NAJ|
NAJ|GRR,|GRR|CLE|YYZ|IST|KVD|NAJ|
NAJ|GSP,|GSP|EWR|BHX|IST|KVD|NAJ|
NAJ|PBI,|PBI|EWR|BHX|IST|KVD|NAJ|
NAJ|PKB,|PKB|CLE|YYZ|IST|KVD|NAJ|
NAJ|RIC,|RIC|EWR|BHX|IST|KVD|NAJ|
NAJ|SDF,|SDF|CLE|YYZ|IST|KVD|NAJ|
NAJ|GUM,|GUM|FUK|ICN|IST|KVD|NAJ|
NAJ|WRL,|WRL|CYS|DEN|FRA|IST|KVD|NAJ|
NAJ|LBL,|NAJ|
NAJ|ABQ,|ABQ|DEN|FRA|IST|KVD|NAJ|
NAJ|AIA,|AIA|DEN|FRA|IST|KVD|NAJ|
NAJ|ALS,|ALS|DEN|FRA|IST|KVD|NAJ|
NAJ|AMA,|AMA|DEN|FRA|IST|KVD|NAJ|
NAJ|ANC,|ANC|SEA|FRA|IST|KVD|NAJ|
NAJ|ASE,|ASE|DEN|FRA|IST|KVD|NAJ|
NAJ|BFL,|BFL|LAX|IST|KVD|NAJ|
NAJ|BHM,|BHM|BWI|EWR|BHX|IST|KVD|NAJ|
NAJ|BIL,|BIL|DEN|FRA|IST|KVD|NAJ|
NAJ|BIS,|BIS|DEN|FRA|IST|KVD|NAJ|
NAJ|BOI,|BOI|DEN|FRA|IST|KVD|NAJ|
NAJ|BUR,|BUR|DEN|FRA|IST|KVD|NAJ|
NAJ|BZN,|BZN|ORD|IST|KVD|NAJ|
NAJ|CID,|CID|ORD|IST|KVD|NAJ|
NAJ|COD,|COD|DEN|FRA|IST|KVD|NAJ|
NAJ|COS,|COS|DEN|FRA|IST|KVD|NAJ|
NAJ|CPR,|CPR|DEN|FRA|IST|KVD|NAJ|
NAJ|CYS,|CYS|DEN|FRA|IST|KVD|NAJ|
NAJ|DIK,|DIK|DEN|FRA|IST|KVD|NAJ|
NAJ|DRO,|DRO|DEN|FRA|IST|KVD|NAJ|
NAJ|DSM,|DSM|ORD|IST|KVD|NAJ|
NAJ|EGE,|EGE|DEN|FRA|IST|KVD|NAJ|
NAJ|ELP,|ELP|DEN|FRA|IST|KVD|NAJ|
NAJ|EUG,|EUG|PDX|SEA|FRA|IST|KVD|NAJ|
NAJ|FAR,|FAR|ORD|IST|KVD|NAJ|
NAJ|FAT,|FAT|SFO|MUC|IST|KVD|NAJ|
NAJ|FCA,|FCA|DEN|FRA|IST|KVD|NAJ|
NAJ|FSD,|FSD|ORD|IST|KVD|NAJ|
NAJ|GCC,|GCC|DEN|FRA|IST|KVD|NAJ|
NAJ|GEG,|GEG|DEN|FRA|IST|KVD|NAJ|
NAJ|GJT,|GJT|DEN|FRA|IST|KVD|NAJ|
NAJ|GTF,|GTF|DEN|FRA|IST|KVD|NAJ|
NAJ|GUC,|GUC|DEN|FRA|IST|KVD|NAJ|
NAJ|HDN,|HDN|DEN|FRA|IST|KVD|NAJ|
NAJ|HLN,|HLN|DEN|FRA|IST|KVD|NAJ|
NAJ|HSV,|HSV|IAD|IST|KVD|NAJ|
NAJ|ICT,|ICT|ORD|IST|KVD|NAJ|
NAJ|IDA,|IDA|DEN|FRA|IST|KVD|NAJ|
NAJ|ISN,|ISN|DEN|FRA|IST|KVD|NAJ|
NAJ|JAC,|JAC|DEN|FRA|IST|KVD|NAJ|
NAJ|KOA,|KOA|YVR|MUC|IST|KVD|NAJ|
NAJ|LAR,|LAR|DEN|FRA|IST|KVD|NAJ|
NAJ|LBB,|LBB|DAL|STL|ORD|IST|KVD|NAJ|
NAJ|LIH,|LIH|YVR|MUC|IST|KVD|NAJ|
NAJ|LIT,|LIT|ORD|IST|KVD|NAJ|
NAJ|LNK,|LNK|ORD|IST|KVD|NAJ|
NAJ|MAF,|MAF|DAL|STL|ORD|IST|KVD|NAJ|
NAJ|MEM,|MEM|EWR|BHX|IST|KVD|NAJ|
NAJ|MFR,|MFR|DEN|FRA|IST|KVD|NAJ|
NAJ|MLI,|MLI|ORD|IST|KVD|NAJ|
NAJ|MOT,|MOT|DEN|FRA|IST|KVD|NAJ|
NAJ|MRY,|MRY|SFO|MUC|IST|KVD|NAJ|
NAJ|MSN,|MSN|ORD|IST|KVD|NAJ|
NAJ|MSO,|MSO|DEN|FRA|IST|KVD|NAJ|
NAJ|MTJ,|MTJ|DEN|FRA|IST|KVD|NAJ|
NAJ|OKC,|OKC|ORD|IST|KVD|NAJ|
NAJ|OMA,|OMA|ORD|IST|KVD|NAJ|
NAJ|ONT,|ONT|DEN|FRA|IST|KVD|NAJ|
NAJ|PIA,|PIA|ORD|IST|KVD|NAJ|
NAJ|PIR,|PIR|DEN|FRA|IST|KVD|NAJ|
NAJ|PSC,|PSC|DEN|FRA|IST|KVD|NAJ|
NAJ|PSP,|PSP|DEN|FRA|IST|KVD|NAJ|
NAJ|PUB,|PUB|DEN|FRA|IST|KVD|NAJ|
NAJ|RAP,|RAP|ORD|IST|KVD|NAJ|
NAJ|RDM,|RDM|PDX|SEA|FRA|IST|KVD|NAJ|
NAJ|RKS,|RKS|DEN|FRA|IST|KVD|NAJ|
NAJ|RNO,|RNO|SEA|FRA|IST|KVD|NAJ|
NAJ|SAF,|SAF|DEN|FRA|IST|KVD|NAJ|
NAJ|SAT,|SAT|ORD|IST|KVD|NAJ|
NAJ|SBA,|SBA|LAX|IST|KVD|NAJ|
NAJ|SGF,|SGF|ORD|IST|KVD|NAJ|
NAJ|SGU,|SGU|DEN|FRA|IST|KVD|NAJ|
NAJ|SHV,|SHV|IAH|IST|KVD|NAJ|
NAJ|SJC,|SJC|SEA|FRA|IST|KVD|NAJ|
NAJ|SLC,|SLC|DEN|FRA|IST|KVD|NAJ|
NAJ|SNA,|SNA|DEN|FRA|IST|KVD|NAJ|
NAJ|TUL,|TUL|ORD|IST|KVD|NAJ|
NAJ|TUS,|TUS|DEN|FRA|IST|KVD|NAJ|
NAJ|TYS,|TYS|IAD|IST|KVD|NAJ|
NAJ|XNA,|XNA|ORD|IST|KVD|NAJ|
NAJ|SAL,|SAL|MIA|ZRH|IST|KVD|NAJ|
NAJ|BJL,|BJL|DKR|BRU|IST|KVD|NAJ|
NAJ|BFS,|BFS|EWR|BHX|IST|KVD|NAJ|
NAJ|BON,|BON|EWR|BHX|IST|KVD|NAJ|
NAJ|BQN,|BQN|EWR|BHX|IST|KVD|NAJ|
NAJ|BTV,|BTV|EWR|BHX|IST|KVD|NAJ|
NAJ|BZE,|BZE|EWR|BHX|IST|KVD|NAJ|
NAJ|GLA,|GLA|EWR|BHX|IST|KVD|NAJ|
NAJ|GSO,|GSO|EWR|BHX|IST|KVD|NAJ|
NAJ|ITH,|ITH|EWR|BHX|IST|KVD|NAJ|
NAJ|JAX,|JAX|EWR|BHX|IST|KVD|NAJ|
NAJ|MHT,|MHT|EWR|BHX|IST|KVD|NAJ|
NAJ|MYR,|MYR|EWR|BHX|IST|KVD|NAJ|
NAJ|ORF,|ORF|EWR|BHX|IST|KVD|NAJ|
NAJ|POS,|POS|EWR|BHX|IST|KVD|NAJ|
NAJ|PVD,|PVD|EWR|BHX|IST|KVD|NAJ|
NAJ|PWM,|PWM|EWR|BHX|IST|KVD|NAJ|
NAJ|SAP,|SAP|MIA|ZRH|IST|KVD|NAJ|
NAJ|SAV,|SAV|EWR|BHX|IST|KVD|NAJ|
NAJ|SDQ,|SDQ|EWR|BHX|IST|KVD|NAJ|
NAJ|SJU,|SJU|EWR|BHX|IST|KVD|NAJ|
NAJ|SNN,|SNN|EWR|BHX|IST|KVD|NAJ|
NAJ|STT,|STT|EWR|BHX|IST|KVD|NAJ|
NAJ|SXM,|SXM|EWR|BHX|IST|KVD|NAJ|
NAJ|BIM,|BIM|FLL|MCO|FRA|IST|KVD|NAJ|
NAJ|ELH,|ELH|PBI|EWR|BHX|IST|KVD|NAJ|
NAJ|EYW,|EYW|MCO|FRA|IST|KVD|NAJ|
NAJ|FPO,|FPO|FLL|MCO|FRA|IST|KVD|NAJ|
NAJ|GHB,|GHB|FLL|MCO|FRA|IST|KVD|NAJ|
NAJ|MHH,|MHH|MCO|FRA|IST|KVD|NAJ|
NAJ|TCB,|TCB|FLL|MCO|FRA|IST|KVD|NAJ|
NAJ|SOW,|SOW|FMN|DEN|FRA|IST|KVD|NAJ|
NAJ|ROB,|ROB|FNA|BRU|IST|KVD|NAJ|
NAJ|GIG,|GIG|GRU|IST|KVD|NAJ|
NAJ|CNS,|CNS|GUM|FUK|ICN|IST|KVD|NAJ|
NAJ|CTS,|CTS|GUM|FUK|ICN|IST|KVD|NAJ|
NAJ|OKJ,|OKJ|GUM|FUK|ICN|IST|KVD|NAJ|
NAJ|ROP,|ROP|GUM|FUK|ICN|IST|KVD|NAJ|
NAJ|ROR,|ROR|MNL|CAN|IST|KVD|NAJ|
NAJ|SDJ,|SDJ|GUM|FUK|ICN|IST|KVD|NAJ|
NAJ|SPN,|SPN|GUM|FUK|ICN|IST|KVD|NAJ|
NAJ|TKK,|TKK|GUM|FUK|ICN|IST|KVD|NAJ|
NAJ|YAP,|YAP|ROR|MNL|CAN|IST|KVD|NAJ|
NAJ|MAJ,|MAJ|KWA|PNI|TKK|GUM|FUK|ICN|IST|KVD|NAJ|
NAJ|AOO,|AOO|IAD|IST|KVD|NAJ|
NAJ|BGM,|BGM|IAD|IST|KVD|NAJ|
NAJ|BKW,|BKW|IAD|IST|KVD|NAJ|
NAJ|CAE,|CAE|IAD|IST|KVD|NAJ|
NAJ|CHO,|CHO|IAD|IST|KVD|NAJ|
NAJ|CRW,|CRW|IAD|IST|KVD|NAJ|
NAJ|FAY,|FAY|IAD|IST|KVD|NAJ|
NAJ|LWB,|LWB|IAD|IST|KVD|NAJ|
NAJ|ROA,|ROA|IAD|IST|KVD|NAJ|
NAJ|SCE,|SCE|IAD|IST|KVD|NAJ|
NAJ|ACA,|ACA|IAH|IST|KVD|NAJ|
NAJ|ACY,|ACY|ORD|IST|KVD|NAJ|
NAJ|AEX,|AEX|IAH|IST|KVD|NAJ|
NAJ|AGU,|AGU|IAH|IST|KVD|NAJ|
NAJ|BJX,|BJX|IAH|IST|KVD|NAJ|
NAJ|BRO,|BRO|IAH|IST|KVD|NAJ|
NAJ|BTR,|BTR|IAH|IST|KVD|NAJ|
NAJ|CCS,|CCS|IAH|IST|KVD|NAJ|
NAJ|CLL,|CLL|IAH|IST|KVD|NAJ|
NAJ|CME,|CME|IAH|IST|KVD|NAJ|
NAJ|CRP,|CRP|IAH|IST|KVD|NAJ|
NAJ|CUU,|CUU|IAH|IST|KVD|NAJ|
NAJ|DAL,|DAL|STL|ORD|IST|KVD|NAJ|
NAJ|DGO,|DGO|IAH|IST|KVD|NAJ|
NAJ|GDL,|GDL|IAH|IST|KVD|NAJ|
NAJ|GPT,|GPT|IAH|IST|KVD|NAJ|
NAJ|GRK,|GRK|IAH|IST|KVD|NAJ|
NAJ|HOB,|HOB|IAH|IST|KVD|NAJ|
NAJ|HRL,|HRL|IAH|IST|KVD|NAJ|
NAJ|HUX,|HUX|IAH|IST|KVD|NAJ|
NAJ|JAN,|JAN|ORD|IST|KVD|NAJ|
NAJ|LCH,|LCH|IAH|IST|KVD|NAJ|
NAJ|LEX,|LEX|ORD|IST|KVD|NAJ|
NAJ|LFT,|LFT|IAH|IST|KVD|NAJ|
NAJ|LRD,|LRD|IAH|IST|KVD|NAJ|
NAJ|MFE,|MFE|IAH|IST|KVD|NAJ|
NAJ|MGA,|MGA|IAH|IST|KVD|NAJ|
NAJ|MID,|MID|IAH|IST|KVD|NAJ|
NAJ|MLM,|MLM|IAH|IST|KVD|NAJ|
NAJ|MLU,|MLU|IAH|IST|KVD|NAJ|
NAJ|MOB,|MOB|ORD|IST|KVD|NAJ|
NAJ|MTY,|MTY|IAH|IST|KVD|NAJ|
NAJ|OAX,|OAX|IAH|IST|KVD|NAJ|
NAJ|PBC,|PBC|IAH|IST|KVD|NAJ|
NAJ|PNS,|PNS|BNA|YYZ|IST|KVD|NAJ|
NAJ|QRO,|QRO|IAH|IST|KVD|NAJ|
NAJ|RTB,|RTB|IAH|IST|KVD|NAJ|
NAJ|SLP,|SLP|IAH|IST|KVD|NAJ|
NAJ|SLW,|SLW|IAH|IST|KVD|NAJ|
NAJ|TAM,|TAM|IAH|IST|KVD|NAJ|
NAJ|TGU,|TGU|IAH|IST|KVD|NAJ|
NAJ|TRC,|TRC|IAH|IST|KVD|NAJ|
NAJ|TYR,|TYR|IAH|IST|KVD|NAJ|
NAJ|UIO,|UIO|IAH|IST|KVD|NAJ|
NAJ|VER,|VER|IAH|IST|KVD|NAJ|
NAJ|VPS,|VPS|IAH|IST|KVD|NAJ|
NAJ|VSA,|VSA|IAH|IST|KVD|NAJ|
NAJ|ZIH,|ZIH|IAH|IST|KVD|NAJ|
NAJ|ZLO,|ZLO|IAH|IST|KVD|NAJ|
NAJ|KWA,|KWA|PNI|TKK|GUM|FUK|ICN|IST|KVD|NAJ|
NAJ|PNI,|PNI|TKK|GUM|FUK|ICN|IST|KVD|NAJ|
NAJ|KSA,|KSA|PNI|TKK|GUM|FUK|ICN|IST|KVD|NAJ|
NAJ|CLD,|CLD|LAX|IST|KVD|NAJ|
NAJ|ITO,|ITO|LAX|IST|KVD|NAJ|
NAJ|SBP,|SBP|LAX|IST|KVD|NAJ|
NAJ|SMX,|SMX|LAX|IST|KVD|NAJ|
NAJ|YUM,|YUM|LAX|IST|KVD|NAJ|
NAJ|DDC,|NAJ|
NAJ|TMS,|TMS|LIS|IST|KVD|NAJ|
NAJ|PHC,|PHC|LOS|IST|KVD|NAJ|
NAJ|GNV,|GNV|MCO|FRA|IST|KVD|NAJ|
NAJ|TLH,|TLH|MCO|FRA|IST|KVD|NAJ|
NAJ|CKB,|CKB|MGW|IAD|IST|KVD|NAJ|
NAJ|BAQ,|BAQ|MIA|ZRH|IST|KVD|NAJ|
NAJ|CLO,|CLO|MIA|ZRH|IST|KVD|NAJ|
NAJ|CTG,|CTG|MIA|ZRH|IST|KVD|NAJ|
NAJ|MDE,|MDE|MIA|ZRH|IST|KVD|NAJ|
NAJ|ABE,|ABE|ORD|IST|KVD|NAJ|
NAJ|ATW,|ATW|ORD|IST|KVD|NAJ|
NAJ|AVL,|AVL|ORD|IST|KVD|NAJ|
NAJ|AVP,|AVP|ORD|IST|KVD|NAJ|
NAJ|CAK,|CAK|BOS|FRA|IST|KVD|NAJ|
NAJ|CMX,|CMX|ORD|IST|KVD|NAJ|
NAJ|CWA,|CWA|ORD|IST|KVD|NAJ|
NAJ|DLH,|DLH|ORD|IST|KVD|NAJ|
NAJ|EAU,|EAU|ORD|IST|KVD|NAJ|
NAJ|ELM,|ELM|ORD|IST|KVD|NAJ|
NAJ|FOE,|FOE|ORD|IST|KVD|NAJ|
NAJ|FWA,|FWA|ORD|IST|KVD|NAJ|
NAJ|GRB,|GRB|ORD|IST|KVD|NAJ|
NAJ|HPN,|HPN|ORD|IST|KVD|NAJ|
NAJ|LAN,|LAN|ORD|IST|KVD|NAJ|
NAJ|MBS,|MBS|ORD|IST|KVD|NAJ|
NAJ|MKG,|MKG|ORD|IST|KVD|NAJ|
NAJ|PAH,|PAH|ORD|IST|KVD|NAJ|
NAJ|SBN,|SBN|ORD|IST|KVD|NAJ|
NAJ|SPI,|SPI|ORD|IST|KVD|NAJ|
NAJ|SRQ,|SRQ|ORD|IST|KVD|NAJ|
NAJ|STC,|STC|ORD|IST|KVD|NAJ|
NAJ|TVC,|TVC|ORD|IST|KVD|NAJ|
NAJ|LMT,|LMT|PDX|SEA|FRA|IST|KVD|NAJ|
NAJ|HON,|HON|PIR|DEN|FRA|IST|KVD|NAJ|
NAJ|CIC,|CIC|SFO|MUC|IST|KVD|NAJ|
NAJ|MOD,|MOD|SFO|MUC|IST|KVD|NAJ|
NAJ|OTH,|OTH|SFO|MUC|IST|KVD|NAJ|
NAJ|RDD,|RDD|SFO|MUC|IST|KVD|NAJ|
NAJ|EIS,|EIS|SJU|EWR|BHX|IST|KVD|NAJ|
NAJ|DME,|DME|VIE|IST|KVD|NAJ|
NAJ|EVN,|EVN|VIE|IST|KVD|NAJ|
NAJ|HOU,|HOU|IND|YYZ|IST|KVD|NAJ|
NAJ|MDW,|MDW|DTW|FRA|IST|KVD|NAJ|
NAJ|OAK,|OAK|SEA|FRA|IST|KVD|NAJ|
NAJ|ECP,|ECP|BWI|EWR|BHX|IST|KVD|NAJ|
NAJ|ISP,|ISP|BWI|EWR|BHX|IST|KVD|NAJ|
NAJ|YHM,|YHM|YHZ|LHR|IST|KVD|NAJ|
NAJ|YXX,|YXX|YYC|FRA|IST|KVD|NAJ|
NAJ|YBR,|YBR|YYC|FRA|IST|KVD|NAJ|
NAJ|YKF,|YKF|YYC|FRA|IST|KVD|NAJ|
NAJ|GDN,|NAJ|
NAJ|TRD,|NAJ|
NAJ|NKC,|NAJ|
NAJ|PGA,|NAJ|
