AUH|BRU,|BRU|IST|AUH|
AUH|COS,|COS|DEN|FRA|AUH|
AUH|CPR,|CPR|DEN|FRA|AUH|
AUH|CYS,|CYS|DEN|FRA|AUH|
AUH|DIK,|DIK|DEN|FRA|AUH|
AUH|DRO,|DRO|DEN|FRA|AUH|
AUH|DSM,|DSM|ORD|YYZ|AUH|
AUH|EGE,|EGE|DEN|FRA|AUH|
AUH|ELP,|ELP|DEN|FRA|AUH|
AUH|EUG,|EUG|PDX|SEA|FRA|AUH|
AUH|FAR,|FAR|ORD|YYZ|AUH|
AUH|FAT,|FAT|SFO|FRA|AUH|
AUH|FCA,|FCA|DEN|FRA|AUH|
AUH|FSD,|FSD|ORD|YYZ|AUH|
AUH|GCC,|GCC|DEN|FRA|AUH|
AUH|GEG,|GEG|DEN|FRA|AUH|
AUH|GJT,|GJT|DEN|FRA|AUH|
AUH|GTF,|GTF|DEN|FRA|AUH|
AUH|GUC,|GUC|DEN|FRA|AUH|
AUH|HDN,|HDN|DEN|FRA|AUH|
AUH|HLN,|HLN|DEN|FRA|AUH|
AUH|HSV,|HSV|IAD|FRA|AUH|
AUH|ICT,|ICT|ORD|YYZ|AUH|
AUH|IDA,|IDA|DEN|FRA|AUH|
AUH|ISN,|ISN|DEN|FRA|AUH|
AUH|JAC,|JAC|DEN|FRA|AUH|
AUH|KOA,|KOA|YVR|FRA|AUH|
AUH|LAR,|LAR|DEN|FRA|AUH|
AUH|LBB,|LBB|DAL|STL|YYZ|AUH|
AUH|LIH,|LIH|YVR|FRA|AUH|
AUH|LIT,|LIT|MDW|DTW|YYZ|AUH|
AUH|LNK,|LNK|ORD|YYZ|AUH|
AUH|MAF,|MAF|DAL|STL|YYZ|AUH|
AUH|MEM,|MEM|EWR|FRA|AUH|
AUH|MFR,|MFR|DEN|FRA|AUH|
AUH|MLI,|MLI|ORD|YYZ|AUH|
AUH|MOT,|MOT|DEN|FRA|AUH|
AUH|MRY,|MRY|SFO|FRA|AUH|
AUH|MSN,|MSN|ORD|YYZ|AUH|
AUH|MSO,|MSO|DEN|FRA|AUH|
AUH|MTJ,|MTJ|DEN|FRA|AUH|
AUH|OKC,|OKC|STL|YYZ|AUH|
AUH|OMA,|OMA|ORD|YYZ|AUH|
AUH|ONT,|ONT|DEN|FRA|AUH|
AUH|PIA,|PIA|ORD|YYZ|AUH|
AUH|PIR,|PIR|DEN|FRA|AUH|
AUH|PSC,|PSC|DEN|FRA|AUH|
AUH|PSP,|PSP|DEN|FRA|AUH|
AUH|PUB,|PUB|DEN|FRA|AUH|
AUH|RAP,|RAP|ORD|YYZ|AUH|
AUH|RDM,|RDM|PDX|SEA|FRA|AUH|
AUH|RKS,|RKS|DEN|FRA|AUH|
AUH|RNO,|RNO|SEA|FRA|AUH|
AUH|SAF,|SAF|DEN|FRA|AUH|
AUH|SAT,|SAT|STL|YYZ|AUH|
AUH|SBA,|SBA|LAX|IST|AUH|
AUH|SGF,|SGF|ORD|YYZ|AUH|
AUH|SGU,|SGU|DEN|FRA|AUH|
AUH|SHV,|SHV|IAH|YYZ|AUH|
AUH|SJC,|SJC|SEA|FRA|AUH|
AUH|SLC,|SLC|DEN|FRA|AUH|
AUH|SNA,|SNA|DEN|FRA|AUH|
AUH|TUL,|TUL|STL|YYZ|AUH|
AUH|TUS,|TUS|DEN|FRA|AUH|
AUH|TYS,|TYS|IAD|FRA|AUH|
AUH|XNA,|XNA|ORD|YYZ|AUH|
AUH|SAL,|SAL|MIA|ZRH|IST|AUH|
AUH|BJL,|BJL|DKR|BRU|IST|AUH|
AUH|BFS,|BFS|EWR|FRA|AUH|
AUH|BON,|BON|EWR|FRA|AUH|
AUH|BQN,|BQN|EWR|FRA|AUH|
AUH|BTV,|BTV|EWR|FRA|AUH|
AUH|BZE,|BZE|EWR|FRA|AUH|
AUH|GLA,|GLA|EWR|FRA|AUH|
AUH|GSO,|GSO|EWR|FRA|AUH|
AUH|ITH,|ITH|EWR|FRA|AUH|
AUH|JAX,|JAX|EWR|FRA|AUH|
AUH|MHT,|MHT|EWR|FRA|AUH|
AUH|MYR,|MYR|EWR|FRA|AUH|
AUH|ORF,|ORF|EWR|FRA|AUH|
AUH|POS,|POS|EWR|FRA|AUH|
AUH|PVD,|PVD|EWR|FRA|AUH|
AUH|PWM,|PWM|EWR|FRA|AUH|
AUH|SAP,|SAP|MIA|ZRH|IST|AUH|
AUH|SAV,|SAV|EWR|FRA|AUH|
AUH|SDQ,|SDQ|EWR|FRA|AUH|
AUH|SJU,|SJU|EWR|FRA|AUH|
AUH|SNN,|SNN|EWR|FRA|AUH|
AUH|STT,|STT|EWR|FRA|AUH|
AUH|SXM,|SXM|EWR|FRA|AUH|
AUH|BIM,|BIM|FLL|MCO|FRA|AUH|
AUH|ELH,|ELH|PBI|EWR|FRA|AUH|
AUH|EYW,|EYW|MCO|FRA|AUH|
AUH|FPO,|FPO|FLL|MCO|FRA|AUH|
AUH|GHB,|GHB|FLL|MCO|FRA|AUH|
AUH|MHH,|MHH|MCO|FRA|AUH|
AUH|TCB,|TCB|FLL|MCO|FRA|AUH|
AUH|SOW,|SOW|FMN|DEN|FRA|AUH|
AUH|ROB,|ROB|FNA|BRU|IST|AUH|
AUH|GIG,|GIG|GRU|IST|AUH|
AUH|CNS,|CNS|GUM|FUK|ICN|IST|AUH|
AUH|CTS,|CTS|GUM|FUK|ICN|IST|AUH|
AUH|OKJ,|OKJ|GUM|FUK|ICN|IST|AUH|
AUH|ROP,|ROP|GUM|FUK|ICN|IST|AUH|
AUH|ROR,|ROR|MNL|CAN|IST|AUH|
AUH|SDJ,|SDJ|GUM|FUK|ICN|IST|AUH|
AUH|SPN,|SPN|GUM|FUK|ICN|IST|AUH|
AUH|TKK,|TKK|GUM|FUK|ICN|IST|AUH|
AUH|YAP,|YAP|ROR|MNL|CAN|IST|AUH|
AUH|MAJ,|MAJ|KWA|PNI|TKK|GUM|FUK|ICN|IST|AUH|
AUH|AOO,|AOO|IAD|FRA|AUH|
AUH|BGM,|BGM|IAD|FRA|AUH|
AUH|BKW,|BKW|IAD|FRA|AUH|
AUH|CAE,|CAE|IAD|FRA|AUH|
AUH|CHO,|CHO|IAD|FRA|AUH|
AUH|CRW,|CRW|IAD|FRA|AUH|
AUH|FAY,|FAY|IAD|FRA|AUH|
AUH|LWB,|LWB|IAD|FRA|AUH|
AUH|ROA,|ROA|IAD|FRA|AUH|
AUH|SCE,|SCE|IAD|FRA|AUH|
AUH|ACA,|ACA|IAH|YYZ|AUH|
AUH|ACY,|ACY|ORD|YYZ|AUH|
AUH|AEX,|AEX|IAH|YYZ|AUH|
AUH|AGU,|AGU|IAH|YYZ|AUH|
AUH|BJX,|BJX|IAH|YYZ|AUH|
AUH|BRO,|BRO|IAH|YYZ|AUH|
AUH|BTR,|BTR|IAH|YYZ|AUH|
AUH|CCS,|CCS|IAH|YYZ|AUH|
AUH|CLL,|CLL|IAH|YYZ|AUH|
AUH|CME,|CME|IAH|YYZ|AUH|
AUH|CRP,|CRP|IAH|YYZ|AUH|
AUH|CUU,|CUU|IAH|YYZ|AUH|
AUH|DAL,|DAL|STL|YYZ|AUH|
AUH|DGO,|DGO|IAH|YYZ|AUH|
AUH|GDL,|GDL|IAH|YYZ|AUH|
AUH|GPT,|GPT|IAH|YYZ|AUH|
AUH|GRK,|GRK|IAH|YYZ|AUH|
AUH|HOB,|HOB|IAH|YYZ|AUH|
AUH|HRL,|HRL|IAH|YYZ|AUH|
AUH|HUX,|HUX|IAH|YYZ|AUH|
AUH|JAN,|JAN|MDW|DTW|YYZ|AUH|
AUH|LCH,|LCH|IAH|YYZ|AUH|
AUH|LEX,|LEX|ORD|YYZ|AUH|
AUH|LFT,|LFT|IAH|YYZ|AUH|
AUH|LRD,|LRD|IAH|YYZ|AUH|
AUH|MFE,|MFE|IAH|YYZ|AUH|
AUH|MGA,|MGA|IAH|YYZ|AUH|
AUH|MID,|MID|IAH|YYZ|AUH|
AUH|MLM,|MLM|IAH|YYZ|AUH|
AUH|MLU,|MLU|IAH|YYZ|AUH|
AUH|MOB,|MOB|ORD|YYZ|AUH|
AUH|MTY,|MTY|IAH|YYZ|AUH|
AUH|OAX,|OAX|IAH|YYZ|AUH|
AUH|PBC,|PBC|IAH|YYZ|AUH|
AUH|PNS,|PNS|BNA|YYZ|AUH|
AUH|QRO,|QRO|IAH|YYZ|AUH|
AUH|RTB,|RTB|IAH|YYZ|AUH|
AUH|SLP,|SLP|IAH|YYZ|AUH|
AUH|SLW,|SLW|IAH|YYZ|AUH|
AUH|TAM,|TAM|IAH|YYZ|AUH|
AUH|TGU,|TGU|IAH|YYZ|AUH|
AUH|TRC,|TRC|IAH|YYZ|AUH|
AUH|TYR,|TYR|IAH|YYZ|AUH|
AUH|UIO,|UIO|IAH|YYZ|AUH|
AUH|VER,|VER|IAH|YYZ|AUH|
AUH|VPS,|VPS|IAH|YYZ|AUH|
AUH|VSA,|VSA|IAH|YYZ|AUH|
AUH|ZIH,|ZIH|IAH|YYZ|AUH|
AUH|ZLO,|ZLO|IAH|YYZ|AUH|
AUH|KWA,|KWA|PNI|TKK|GUM|FUK|ICN|IST|AUH|
AUH|PNI,|PNI|TKK|GUM|FUK|ICN|IST|AUH|
AUH|KSA,|KSA|PNI|TKK|GUM|FUK|ICN|IST|AUH|
AUH|CLD,|CLD|LAX|IST|AUH|
AUH|ITO,|ITO|LAX|IST|AUH|
AUH|SBP,|SBP|LAX|IST|AUH|
AUH|SMX,|SMX|LAX|IST|AUH|
AUH|YUM,|YUM|LAX|IST|AUH|
AUH|DDC,|AUH|
AUH|TMS,|TMS|LIS|IST|AUH|
AUH|PHC,|PHC|LOS|IST|AUH|
AUH|GNV,|GNV|MCO|FRA|AUH|
AUH|TLH,|TLH|MCO|FRA|AUH|
AUH|CKB,|CKB|MGW|IAD|FRA|AUH|
AUH|BAQ,|BAQ|MIA|ZRH|IST|AUH|
AUH|CLO,|CLO|MIA|ZRH|IST|AUH|
AUH|CTG,|CTG|MIA|ZRH|IST|AUH|
AUH|MDE,|MDE|MIA|ZRH|IST|AUH|
AUH|ABE,|ABE|ORD|YYZ|AUH|
AUH|ATW,|ATW|ORD|YYZ|AUH|
AUH|AVL,|AVL|ORD|YYZ|AUH|
AUH|AVP,|AVP|ORD|YYZ|AUH|
AUH|CAK,|CAK|BOS|FRA|AUH|
AUH|CMX,|CMX|ORD|YYZ|AUH|
AUH|CWA,|CWA|ORD|YYZ|AUH|
AUH|DLH,|DLH|ORD|YYZ|AUH|
AUH|EAU,|EAU|ORD|YYZ|AUH|
AUH|ELM,|ELM|ORD|YYZ|AUH|
AUH|FOE,|FOE|ORD|YYZ|AUH|
AUH|FWA,|FWA|ORD|YYZ|AUH|
AUH|GRB,|GRB|ORD|YYZ|AUH|
AUH|HPN,|HPN|ORD|YYZ|AUH|
AUH|LAN,|LAN|ORD|YYZ|AUH|
AUH|MBS,|MBS|ORD|YYZ|AUH|
AUH|MKG,|MKG|ORD|YYZ|AUH|
AUH|PAH,|PAH|ORD|YYZ|AUH|
AUH|SBN,|SBN|ORD|YYZ|AUH|
AUH|SPI,|SPI|ORD|YYZ|AUH|
AUH|SRQ,|SRQ|ORD|YYZ|AUH|
AUH|STC,|STC|ORD|YYZ|AUH|
AUH|TVC,|TVC|ORD|YYZ|AUH|
AUH|LMT,|LMT|PDX|SEA|FRA|AUH|
AUH|HON,|HON|PIR|DEN|FRA|AUH|
AUH|CIC,|CIC|SFO|FRA|AUH|
AUH|MOD,|MOD|SFO|FRA|AUH|
AUH|OTH,|OTH|SFO|FRA|AUH|
AUH|RDD,|RDD|SFO|FRA|AUH|
AUH|EIS,|EIS|SJU|EWR|FRA|AUH|
AUH|DME,|DME|VIE|IST|AUH|
AUH|EVN,|EVN|VIE|IST|AUH|
AUH|HOU,|HOU|IND|YYZ|AUH|
AUH|MDW,|MDW|DTW|YYZ|AUH|
AUH|OAK,|OAK|SEA|FRA|AUH|
AUH|ECP,|ECP|BWI|EWR|FRA|AUH|
AUH|ISP,|ISP|BWI|EWR|FRA|AUH|
AUH|YHM,|YHM|YHZ|LHR|IST|AUH|
AUH|YXX,|YXX|YYC|FRA|AUH|
AUH|YBR,|YBR|YYC|FRA|AUH|
AUH|YKF,|YKF|YYC|FRA|AUH|
AUH|GDN,|AUH|
AUH|TRD,|AUH|
AUH|NKC,|AUH|
AUH|PGA,|AUH|
