YPR|BRU,|BRU|YUL|YVR|YPR|
YPR|TIF,|TIF|IST|MUC|YVR|YPR|
YPR|TIP,|TIP|IST|MUC|YVR|YPR|
YPR|TLL,|TLL|VNO|FRA|YVR|YPR|
YPR|TLS,|TLS|IST|MUC|YVR|YPR|
YPR|TRN,|TRN|IST|MUC|YVR|YPR|
YPR|TUN,|TUN|IST|MUC|YVR|YPR|
YPR|TXL,|TXL|EWR|YVR|YPR|
YPR|UFA,|UFA|IST|MUC|YVR|YPR|
YPR|VAS,|VAS|SAW|MUC|YVR|YPR|
YPR|VCE,|VCE|IST|MUC|YVR|YPR|
YPR|YNB,|YNB|IST|MUC|YVR|YPR|
YPR|ZAG,|ZAG|IST|MUC|YVR|YPR|
YPR|MGQ,|MGQ|JIB|IST|MUC|YVR|YPR|
YPR|CPT,|CPT|JNB|JFK|YYZ|YVR|YPR|
YPR|MBA,|MBA|JRO|IST|MUC|YVR|YPR|
YPR|NDJ,|NDJ|KAN|IST|MUC|YVR|YPR|
YPR|CMB,|CMB|MLE|CAN|YVR|YPR|
YPR|ADE,|ADE|SAH|IST|MUC|YVR|YPR|
YPR|ASF,|ASF|SAW|MUC|YVR|YPR|
YPR|STW,|STW|SAW|MUC|YVR|YPR|
YPR|LFW,|LFW|ABJ|BRU|YUL|YVR|YPR|
YPR|CEC,|CEC|ACV|SMF|PDX|YVR|YPR|
YPR|SMF,|SMF|PDX|YVR|YPR|
YPR|CDR,|CDR|AIA|DEN|YVR|YPR|
YPR|FMN,|FMN|DEN|YVR|YPR|
YPR|JST,|JST|IAD|ORD|YVR|YPR|
YPR|JHW,|JHW|CLE|ORD|YVR|YPR|
YPR|SHD,|SHD|IAD|ORD|YVR|YPR|
YPR|PTY,|PTY|IAH|YVR|YPR|
YPR|FNA,|FNA|BRU|YUL|YVR|YPR|
YPR|SXB,|SXB|BRU|YUL|YVR|YPR|
YPR|ACV,|ACV|SMF|PDX|YVR|YPR|
YPR|MGW,|MGW|IAD|ORD|YVR|YPR|
YPR|ALB,|ALB|ORD|YVR|YPR|
YPR|AUS,|AUS|DEN|YVR|YPR|
YPR|BFD,|BFD|CLE|ORD|YVR|YPR|
YPR|BUF,|BUF|ORD|YVR|YPR|
YPR|CHS,|CHS|ORD|YVR|YPR|
YPR|DAY,|DAY|ORD|YVR|YPR|
YPR|DUJ,|DUJ|CLE|ORD|YVR|YPR|
YPR|ERI,|ERI|CLE|ORD|YVR|YPR|
YPR|FKL,|FKL|CLE|ORD|YVR|YPR|
YPR|FNT,|FNT|CLE|ORD|YVR|YPR|
YPR|GRR,|GRR|ORD|YVR|YPR|
YPR|GSP,|GSP|ORD|YVR|YPR|
YPR|PBI,|PBI|TPA|DEN|YVR|YPR|
YPR|PKB,|PKB|CLE|ORD|YVR|YPR|
YPR|RIC,|RIC|ORD|YVR|YPR|
YPR|SDF,|SDF|ORD|YVR|YPR|
YPR|GUM,|GUM|NRT|YVR|YPR|
YPR|WRL,|WRL|CYS|DEN|YVR|YPR|
YPR|LBL,|YPR|
YPR|ABQ,|ABQ|SEA|YVR|YPR|
YPR|AIA,|AIA|DEN|YVR|YPR|
YPR|ALS,|ALS|DEN|YVR|YPR|
YPR|AMA,|AMA|DEN|YVR|YPR|
YPR|ANC,|ANC|SEA|YVR|YPR|
YPR|ASE,|ASE|DEN|YVR|YPR|
YPR|BFL,|BFL|SFO|YVR|YPR|
YPR|BHM,|BHM|DEN|YVR|YPR|
YPR|BIL,|BIL|DEN|YVR|YPR|
YPR|BIS,|BIS|DEN|YVR|YPR|
YPR|BOI,|BOI|OAK|PDX|YVR|YPR|
YPR|BUR,|BUR|SMF|PDX|YVR|YPR|
YPR|BZN,|BZN|DEN|YVR|YPR|
YPR|CID,|CID|DEN|YVR|YPR|
YPR|COD,|COD|DEN|YVR|YPR|
YPR|COS,|COS|DEN|YVR|YPR|
YPR|CPR,|CPR|DEN|YVR|YPR|
YPR|CYS,|CYS|DEN|YVR|YPR|
YPR|DIK,|DIK|DEN|YVR|YPR|
YPR|DRO,|DRO|DEN|YVR|YPR|
YPR|DSM,|DSM|DEN|YVR|YPR|
YPR|EGE,|EGE|DEN|YVR|YPR|
YPR|ELP,|ELP|LAS|YVR|YPR|
YPR|EUG,|EUG|PDX|YVR|YPR|
YPR|FAR,|FAR|DEN|YVR|YPR|
YPR|FAT,|FAT|SFO|YVR|YPR|
YPR|FCA,|FCA|DEN|YVR|YPR|
YPR|FSD,|FSD|DEN|YVR|YPR|
YPR|GCC,|GCC|DEN|YVR|YPR|
YPR|GEG,|GEG|OAK|PDX|YVR|YPR|
YPR|GJT,|GJT|DEN|YVR|YPR|
YPR|GTF,|GTF|DEN|YVR|YPR|
YPR|GUC,|GUC|DEN|YVR|YPR|
YPR|HDN,|HDN|DEN|YVR|YPR|
YPR|HLN,|HLN|DEN|YVR|YPR|
YPR|HSV,|HSV|DEN|YVR|YPR|
YPR|ICT,|ICT|DEN|YVR|YPR|
YPR|IDA,|IDA|DEN|YVR|YPR|
YPR|ISN,|ISN|DEN|YVR|YPR|
YPR|JAC,|JAC|DEN|YVR|YPR|
YPR|KOA,|KOA|YVR|YPR|
YPR|LAR,|LAR|DEN|YVR|YPR|
YPR|LBB,|LBB|DEN|YVR|YPR|
YPR|LIH,|LIH|YVR|YPR|
YPR|LIT,|LIT|DEN|YVR|YPR|
YPR|LNK,|LNK|DEN|YVR|YPR|
YPR|MAF,|MAF|DEN|YVR|YPR|
YPR|MEM,|MEM|DEN|YVR|YPR|
YPR|MFR,|MFR|SFO|YVR|YPR|
YPR|MLI,|MLI|DEN|YVR|YPR|
YPR|MOT,|MOT|DEN|YVR|YPR|
YPR|MRY,|MRY|SFO|YVR|YPR|
YPR|MSN,|MSN|ORD|YVR|YPR|
YPR|MSO,|MSO|DEN|YVR|YPR|
YPR|MTJ,|MTJ|DEN|YVR|YPR|
YPR|OKC,|OKC|DEN|YVR|YPR|
YPR|OMA,|OMA|DEN|YVR|YPR|
YPR|ONT,|ONT|SMF|PDX|YVR|YPR|
YPR|PIA,|PIA|ORD|YVR|YPR|
YPR|PIR,|PIR|DEN|YVR|YPR|
YPR|PSC,|PSC|SFO|YVR|YPR|
YPR|PSP,|PSP|YVR|YPR|
YPR|PUB,|PUB|DEN|YVR|YPR|
YPR|RAP,|RAP|DEN|YVR|YPR|
YPR|RDM,|RDM|PDX|YVR|YPR|
YPR|RKS,|RKS|DEN|YVR|YPR|
YPR|RNO,|RNO|SEA|YVR|YPR|
YPR|SAF,|SAF|DEN|YVR|YPR|
YPR|SAT,|SAT|DEN|YVR|YPR|
YPR|SBA,|SBA|SFO|YVR|YPR|
YPR|SGF,|SGF|DEN|YVR|YPR|
YPR|SGU,|SGU|DEN|YVR|YPR|
YPR|SHV,|SHV|DEN|YVR|YPR|
YPR|SJC,|SJC|PDX|YVR|YPR|
YPR|SLC,|SLC|SEA|YVR|YPR|
YPR|SNA,|SNA|YVR|YPR|
YPR|TUL,|TUL|DEN|YVR|YPR|
YPR|TUS,|TUS|LAS|YVR|YPR|
YPR|TYS,|TYS|ORD|YVR|YPR|
YPR|XNA,|XNA|DEN|YVR|YPR|
YPR|SAL,|SAL|IAH|YVR|YPR|
YPR|BJL,|BJL|DKR|IAD|ORD|YVR|YPR|
YPR|BFS,|BFS|EWR|YVR|YPR|
YPR|BON,|BON|IAH|YVR|YPR|
YPR|BQN,|BQN|EWR|YVR|YPR|
YPR|BTV,|BTV|ORD|YVR|YPR|
YPR|BZE,|BZE|IAH|YVR|YPR|
YPR|GLA,|GLA|EWR|YVR|YPR|
YPR|GSO,|GSO|ORD|YVR|YPR|
YPR|ITH,|ITH|EWR|YVR|YPR|
YPR|JAX,|JAX|DEN|YVR|YPR|
YPR|MHT,|MHT|ORD|YVR|YPR|
YPR|MYR,|MYR|ORD|YVR|YPR|
YPR|ORF,|ORF|ORD|YVR|YPR|
YPR|POS,|POS|IAH|YVR|YPR|
YPR|PVD,|PVD|EWR|YVR|YPR|
YPR|PWM,|PWM|ORD|YVR|YPR|
YPR|SAP,|SAP|IAH|YVR|YPR|
YPR|SAV,|SAV|ORD|YVR|YPR|
YPR|SDQ,|SDQ|EWR|YVR|YPR|
YPR|SJU,|SJU|ORD|YVR|YPR|
YPR|SNN,|SNN|EWR|YVR|YPR|
YPR|STT,|STT|ORD|YVR|YPR|
YPR|SXM,|SXM|ORD|YVR|YPR|
YPR|BIM,|BIM|FLL|DEN|YVR|YPR|
YPR|ELH,|ELH|PBI|TPA|DEN|YVR|YPR|
YPR|EYW,|EYW|MSY|DEN|YVR|YPR|
YPR|FPO,|FPO|FLL|DEN|YVR|YPR|
YPR|GHB,|GHB|FLL|DEN|YVR|YPR|
YPR|MHH,|MHH|MCO|DEN|YVR|YPR|
YPR|TCB,|TCB|FLL|DEN|YVR|YPR|
YPR|SOW,|SOW|PHX|SEA|YVR|YPR|
YPR|ROB,|ROB|FNA|BRU|YUL|YVR|YPR|
YPR|GIG,|GIG|IAH|YVR|YPR|
YPR|CNS,|CNS|GUM|NRT|YVR|YPR|
YPR|CTS,|CTS|GUM|NRT|YVR|YPR|
YPR|OKJ,|OKJ|GUM|NRT|YVR|YPR|
YPR|ROP,|ROP|GUM|NRT|YVR|YPR|
YPR|ROR,|ROR|GUM|NRT|YVR|YPR|
YPR|SDJ,|SDJ|GUM|NRT|YVR|YPR|
YPR|SPN,|SPN|GUM|NRT|YVR|YPR|
YPR|TKK,|TKK|PNI|KWA|MAJ|HNL|YVR|YPR|
YPR|YAP,|YAP|GUM|NRT|YVR|YPR|
YPR|MAJ,|MAJ|HNL|YVR|YPR|
YPR|AOO,|AOO|IAD|ORD|YVR|YPR|
YPR|BGM,|BGM|IAD|ORD|YVR|YPR|
YPR|BKW,|BKW|IAD|ORD|YVR|YPR|
YPR|CAE,|CAE|ORD|YVR|YPR|
YPR|CHO,|CHO|IAD|ORD|YVR|YPR|
YPR|CRW,|CRW|ORD|YVR|YPR|
YPR|FAY,|FAY|IAD|ORD|YVR|YPR|
YPR|LWB,|LWB|IAD|ORD|YVR|YPR|
YPR|ROA,|ROA|ORD|YVR|YPR|
YPR|SCE,|SCE|ORD|YVR|YPR|
YPR|ACA,|ACA|IAH|YVR|YPR|
YPR|ACY,|ACY|ORD|YVR|YPR|
YPR|AEX,|AEX|IAH|YVR|YPR|
YPR|AGU,|AGU|IAH|YVR|YPR|
YPR|BJX,|BJX|LAX|YVR|YPR|
YPR|BRO,|BRO|IAH|YVR|YPR|
YPR|BTR,|BTR|IAH|YVR|YPR|
YPR|CCS,|CCS|IAH|YVR|YPR|
YPR|CLL,|CLL|IAH|YVR|YPR|
YPR|CME,|CME|IAH|YVR|YPR|
YPR|CRP,|CRP|IAH|YVR|YPR|
YPR|CUU,|CUU|IAH|YVR|YPR|
YPR|DAL,|DAL|OKC|DEN|YVR|YPR|
YPR|DGO,|DGO|LAX|YVR|YPR|
YPR|GDL,|GDL|LAX|YVR|YPR|
YPR|GPT,|GPT|IAH|YVR|YPR|
YPR|GRK,|GRK|IAH|YVR|YPR|
YPR|HOB,|HOB|IAH|YVR|YPR|
YPR|HRL,|HRL|SAT|DEN|YVR|YPR|
YPR|HUX,|HUX|IAH|YVR|YPR|
YPR|JAN,|JAN|IAH|YVR|YPR|
YPR|LCH,|LCH|IAH|YVR|YPR|
YPR|LEX,|LEX|ORD|YVR|YPR|
YPR|LFT,|LFT|IAH|YVR|YPR|
YPR|LRD,|LRD|IAH|YVR|YPR|
YPR|MFE,|MFE|IAH|YVR|YPR|
YPR|MGA,|MGA|IAH|YVR|YPR|
YPR|MID,|MID|IAH|YVR|YPR|
YPR|MLM,|MLM|IAH|YVR|YPR|
YPR|MLU,|MLU|IAH|YVR|YPR|
YPR|MOB,|MOB|IAH|YVR|YPR|
YPR|MTY,|MTY|IAH|YVR|YPR|
YPR|OAX,|OAX|IAH|YVR|YPR|
YPR|PBC,|PBC|IAH|YVR|YPR|
YPR|PNS,|PNS|IAH|YVR|YPR|
YPR|QRO,|QRO|IAH|YVR|YPR|
YPR|RTB,|RTB|IAH|YVR|YPR|
YPR|SLP,|SLP|IAH|YVR|YPR|
YPR|SLW,|SLW|IAH|YVR|YPR|
YPR|TAM,|TAM|IAH|YVR|YPR|
YPR|TGU,|TGU|IAH|YVR|YPR|
YPR|TRC,|TRC|IAH|YVR|YPR|
YPR|TYR,|TYR|IAH|YVR|YPR|
YPR|UIO,|UIO|IAH|YVR|YPR|
YPR|VER,|VER|IAH|YVR|YPR|
YPR|VPS,|VPS|IAH|YVR|YPR|
YPR|VSA,|VSA|IAH|YVR|YPR|
YPR|ZIH,|ZIH|IAH|YVR|YPR|
YPR|ZLO,|ZLO|IAH|YVR|YPR|
YPR|KWA,|KWA|MAJ|HNL|YVR|YPR|
YPR|PNI,|PNI|KWA|MAJ|HNL|YVR|YPR|
YPR|KSA,|KSA|KWA|MAJ|HNL|YVR|YPR|
YPR|CLD,|CLD|LAX|YVR|YPR|
YPR|ITO,|ITO|LAX|YVR|YPR|
YPR|SBP,|SBP|SFO|YVR|YPR|
YPR|SMX,|SMX|LAX|YVR|YPR|
YPR|YUM,|YUM|LAX|YVR|YPR|
YPR|DDC,|YPR|
YPR|TMS,|TMS|LIS|EWR|YVR|YPR|
YPR|PHC,|PHC|LOS|FRA|YVR|YPR|
YPR|GNV,|GNV|TPA|DEN|YVR|YPR|
YPR|TLH,|TLH|TPA|DEN|YVR|YPR|
YPR|CKB,|CKB|MGW|IAD|ORD|YVR|YPR|
YPR|BAQ,|BAQ|MIA|DEN|YVR|YPR|
YPR|CLO,|CLO|MIA|DEN|YVR|YPR|
YPR|CTG,|CTG|MIA|DEN|YVR|YPR|
YPR|MDE,|MDE|MIA|DEN|YVR|YPR|
YPR|ABE,|ABE|ORD|YVR|YPR|
YPR|ATW,|ATW|ORD|YVR|YPR|
YPR|AVL,|AVL|ORD|YVR|YPR|
YPR|AVP,|AVP|ORD|YVR|YPR|
YPR|CAK,|CAK|ORD|YVR|YPR|
YPR|CMX,|CMX|ORD|YVR|YPR|
YPR|CWA,|CWA|ORD|YVR|YPR|
YPR|DLH,|DLH|ORD|YVR|YPR|
YPR|EAU,|EAU|ORD|YVR|YPR|
YPR|ELM,|ELM|ORD|YVR|YPR|
YPR|FOE,|FOE|ORD|YVR|YPR|
YPR|FWA,|FWA|ORD|YVR|YPR|
YPR|GRB,|GRB|ORD|YVR|YPR|
YPR|HPN,|HPN|ORD|YVR|YPR|
YPR|LAN,|LAN|ORD|YVR|YPR|
YPR|MBS,|MBS|ORD|YVR|YPR|
YPR|MKG,|MKG|ORD|YVR|YPR|
YPR|PAH,|PAH|ORD|YVR|YPR|
YPR|SBN,|SBN|ORD|YVR|YPR|
YPR|SPI,|SPI|ORD|YVR|YPR|
YPR|SRQ,|SRQ|ORD|YVR|YPR|
YPR|STC,|STC|ORD|YVR|YPR|
YPR|TVC,|TVC|ORD|YVR|YPR|
YPR|LMT,|LMT|PDX|YVR|YPR|
YPR|HON,|HON|PIR|DEN|YVR|YPR|
YPR|CIC,|CIC|SFO|YVR|YPR|
YPR|MOD,|MOD|SFO|YVR|YPR|
YPR|OTH,|OTH|SFO|YVR|YPR|
YPR|RDD,|RDD|SFO|YVR|YPR|
YPR|EIS,|EIS|SJU|ORD|YVR|YPR|
YPR|DME,|DME|VIE|YYZ|YVR|YPR|
YPR|EVN,|EVN|VIE|YYZ|YVR|YPR|
YPR|HOU,|HOU|DEN|YVR|YPR|
YPR|MDW,|MDW|SEA|YVR|YPR|
YPR|OAK,|OAK|PDX|YVR|YPR|
YPR|ECP,|ECP|STL|DEN|YVR|YPR|
YPR|ISP,|ISP|BWI|ORD|YVR|YPR|
YPR|YHM,|YHM|YYC|YVR|YPR|
YPR|YXX,|YXX|YYC|YVR|YPR|
YPR|YBR,|YBR|YYC|YVR|YPR|
YPR|YKF,|YKF|YYC|YVR|YPR|
YPR|GDN,|YPR|
YPR|TRD,|YPR|
YPR|NKC,|YPR|
YPR|PGA,|YPR|
