DIK|BRU,|BRU|ORD|DEN|DIK|
DIK|NUE,|NUE|IST|FRA|DEN|DIK|
DIK|ODS,|ODS|IST|FRA|DEN|DIK|
DIK|ORN,|ORN|IST|FRA|DEN|DIK|
DIK|OTP,|OTP|IST|FRA|DEN|DIK|
DIK|PRG,|PRG|BRU|ORD|DEN|DIK|
DIK|PRN,|PRN|IST|FRA|DEN|DIK|
DIK|RIX,|RIX|IST|FRA|DEN|DIK|
DIK|ROV,|ROV|IST|FRA|DEN|DIK|
DIK|RTM,|RTM|IST|FRA|DEN|DIK|
DIK|RUH,|RUH|IST|FRA|DEN|DIK|
DIK|SAH,|SAH|IST|FRA|DEN|DIK|
DIK|SJJ,|SJJ|IST|FRA|DEN|DIK|
DIK|SKG,|SKG|IST|FRA|DEN|DIK|
DIK|SKP,|SKP|IST|FRA|DEN|DIK|
DIK|SSH,|SSH|IST|FRA|DEN|DIK|
DIK|STR,|STR|EWR|DEN|DIK|
DIK|SVX,|SVX|IST|FRA|DEN|DIK|
DIK|SYZ,|SYZ|IST|FRA|DEN|DIK|
DIK|SZG,|SZG|IST|FRA|DEN|DIK|
DIK|TBZ,|TBZ|IST|FRA|DEN|DIK|
DIK|TGD,|TGD|IST|FRA|DEN|DIK|
DIK|TIA,|TIA|IST|FRA|DEN|DIK|
DIK|TIF,|TIF|IST|FRA|DEN|DIK|
DIK|TIP,|TIP|IST|FRA|DEN|DIK|
DIK|TLL,|TLL|VNO|CPH|YYZ|DEN|DIK|
DIK|TLS,|TLS|IST|FRA|DEN|DIK|
DIK|TRN,|TRN|IST|FRA|DEN|DIK|
DIK|TUN,|TUN|IST|FRA|DEN|DIK|
DIK|TXL,|TXL|EWR|DEN|DIK|
DIK|UFA,|UFA|IST|FRA|DEN|DIK|
DIK|VAS,|VAS|SAW|FRA|DEN|DIK|
DIK|VCE,|VCE|IST|FRA|DEN|DIK|
DIK|YNB,|YNB|IST|FRA|DEN|DIK|
DIK|ZAG,|ZAG|IST|FRA|DEN|DIK|
DIK|MGQ,|MGQ|JIB|IST|FRA|DEN|DIK|
DIK|CPT,|CPT|JNB|DKR|IAD|DEN|DIK|
DIK|MBA,|MBA|JRO|IST|FRA|DEN|DIK|
DIK|NDJ,|NDJ|KAN|IST|FRA|DEN|DIK|
DIK|CMB,|CMB|MLE|IST|FRA|DEN|DIK|
DIK|ADE,|ADE|SAH|IST|FRA|DEN|DIK|
DIK|ASF,|ASF|SAW|FRA|DEN|DIK|
DIK|STW,|STW|SAW|FRA|DEN|DIK|
DIK|LFW,|LFW|ABJ|BRU|ORD|DEN|DIK|
DIK|CEC,|CEC|ACV|SMF|DEN|DIK|
DIK|SMF,|SMF|DEN|DIK|
DIK|CDR,|CDR|AIA|DEN|DIK|
DIK|FMN,|FMN|DEN|DIK|
DIK|JST,|JST|IAD|DEN|DIK|
DIK|JHW,|JHW|CLE|DEN|DIK|
DIK|SHD,|SHD|IAD|DEN|DIK|
DIK|PTY,|PTY|IAH|DEN|DIK|
DIK|FNA,|FNA|BRU|ORD|DEN|DIK|
DIK|SXB,|SXB|BRU|ORD|DEN|DIK|
DIK|ACV,|ACV|SMF|DEN|DIK|
DIK|MGW,|MGW|IAD|DEN|DIK|
DIK|ALB,|ALB|ORD|DEN|DIK|
DIK|AUS,|AUS|DEN|DIK|
DIK|BFD,|BFD|CLE|DEN|DIK|
DIK|BUF,|BUF|ORD|DEN|DIK|
DIK|CHS,|CHS|BNA|DEN|DIK|
DIK|DAY,|DAY|DEN|DIK|
DIK|DUJ,|DUJ|CLE|DEN|DIK|
DIK|ERI,|ERI|CLE|DEN|DIK|
DIK|FKL,|FKL|CLE|DEN|DIK|
DIK|FNT,|FNT|CLE|DEN|DIK|
DIK|GRR,|GRR|DEN|DIK|
DIK|GSP,|GSP|BNA|DEN|DIK|
DIK|PBI,|PBI|TPA|DEN|DIK|
DIK|PKB,|PKB|CLE|DEN|DIK|
DIK|RIC,|RIC|ORD|DEN|DIK|
DIK|SDF,|SDF|DEN|DIK|
DIK|GUM,|GUM|HNL|DEN|DIK|
DIK|WRL,|WRL|CYS|DEN|DIK|
DIK|LBL,|DIK|
DIK|ABQ,|ABQ|DEN|DIK|
DIK|AIA,|AIA|DEN|DIK|
DIK|ALS,|ALS|DEN|DIK|
DIK|AMA,|AMA|DEN|DIK|
DIK|ANC,|ANC|DEN|DIK|
DIK|ASE,|ASE|DEN|DIK|
DIK|BFL,|BFL|DEN|DIK|
DIK|BHM,|BHM|DEN|DIK|
DIK|BIL,|BIL|DEN|DIK|
DIK|BIS,|BIS|DEN|DIK|
DIK|BOI,|BOI|DEN|DIK|
DIK|BUR,|BUR|DEN|DIK|
DIK|BZN,|BZN|DEN|DIK|
DIK|CID,|CID|DEN|DIK|
DIK|COD,|COD|DEN|DIK|
DIK|COS,|COS|DEN|DIK|
DIK|CPR,|CPR|DEN|DIK|
DIK|CYS,|CYS|DEN|DIK|
DIK|DRO,|DRO|DEN|DIK|
DIK|DSM,|DSM|DEN|DIK|
DIK|EGE,|EGE|DEN|DIK|
DIK|ELP,|ELP|DEN|DIK|
DIK|EUG,|EUG|DEN|DIK|
DIK|FAR,|FAR|DEN|DIK|
DIK|FAT,|FAT|DEN|DIK|
DIK|FCA,|FCA|DEN|DIK|
DIK|FSD,|FSD|DEN|DIK|
DIK|GCC,|GCC|DEN|DIK|
DIK|GEG,|GEG|DEN|DIK|
DIK|GJT,|GJT|DEN|DIK|
DIK|GTF,|GTF|DEN|DIK|
DIK|GUC,|GUC|DEN|DIK|
DIK|HDN,|HDN|DEN|DIK|
DIK|HLN,|HLN|DEN|DIK|
DIK|HSV,|HSV|DEN|DIK|
DIK|ICT,|ICT|DEN|DIK|
DIK|IDA,|IDA|DEN|DIK|
DIK|ISN,|ISN|DEN|DIK|
DIK|JAC,|JAC|DEN|DIK|
DIK|KOA,|KOA|DEN|DIK|
DIK|LAR,|LAR|DEN|DIK|
DIK|LBB,|LBB|DEN|DIK|
DIK|LIH,|LIH|DEN|DIK|
DIK|LIT,|LIT|DEN|DIK|
DIK|LNK,|LNK|DEN|DIK|
DIK|MAF,|MAF|DEN|DIK|
DIK|MEM,|MEM|DEN|DIK|
DIK|MFR,|MFR|DEN|DIK|
DIK|MLI,|MLI|DEN|DIK|
DIK|MOT,|MOT|DEN|DIK|
DIK|MRY,|MRY|DEN|DIK|
DIK|MSN,|MSN|DEN|DIK|
DIK|MSO,|MSO|DEN|DIK|
DIK|MTJ,|MTJ|DEN|DIK|
DIK|OKC,|OKC|DEN|DIK|
DIK|OMA,|OMA|DEN|DIK|
DIK|ONT,|ONT|DEN|DIK|
DIK|PIA,|PIA|DEN|DIK|
DIK|PIR,|PIR|DEN|DIK|
DIK|PSC,|PSC|DEN|DIK|
DIK|PSP,|PSP|DEN|DIK|
DIK|PUB,|PUB|DEN|DIK|
DIK|RAP,|RAP|DEN|DIK|
DIK|RDM,|RDM|DEN|DIK|
DIK|RKS,|RKS|DEN|DIK|
DIK|RNO,|RNO|DEN|DIK|
DIK|SAF,|SAF|DEN|DIK|
DIK|SAT,|SAT|DEN|DIK|
DIK|SBA,|SBA|DEN|DIK|
DIK|SGF,|SGF|DEN|DIK|
DIK|SGU,|SGU|DEN|DIK|
DIK|SHV,|SHV|DEN|DIK|
DIK|SJC,|SJC|DEN|DIK|
DIK|SLC,|SLC|DEN|DIK|
DIK|SNA,|SNA|DEN|DIK|
DIK|TUL,|TUL|DEN|DIK|
DIK|TUS,|TUS|DEN|DIK|
DIK|TYS,|TYS|DEN|DIK|
DIK|XNA,|XNA|DEN|DIK|
DIK|SAL,|SAL|IAH|DEN|DIK|
DIK|BJL,|BJL|DKR|IAD|DEN|DIK|
DIK|BFS,|BFS|EWR|DEN|DIK|
DIK|BON,|BON|IAH|DEN|DIK|
DIK|BQN,|BQN|EWR|DEN|DIK|
DIK|BTV,|BTV|ORD|DEN|DIK|
DIK|BZE,|BZE|IAH|DEN|DIK|
DIK|GLA,|GLA|EWR|DEN|DIK|
DIK|GSO,|GSO|ORD|DEN|DIK|
DIK|ITH,|ITH|EWR|DEN|DIK|
DIK|JAX,|JAX|DEN|DIK|
DIK|MHT,|MHT|ORD|DEN|DIK|
DIK|MYR,|MYR|ORD|DEN|DIK|
DIK|ORF,|ORF|MDW|DEN|DIK|
DIK|POS,|POS|IAH|DEN|DIK|
DIK|PVD,|PVD|ORD|DEN|DIK|
DIK|PWM,|PWM|ORD|DEN|DIK|
DIK|SAP,|SAP|IAH|DEN|DIK|
DIK|SAV,|SAV|ORD|DEN|DIK|
DIK|SDQ,|SDQ|EWR|DEN|DIK|
DIK|SJU,|SJU|MCO|DEN|DIK|
DIK|SNN,|SNN|EWR|DEN|DIK|
DIK|STT,|STT|ORD|DEN|DIK|
DIK|SXM,|SXM|ORD|DEN|DIK|
DIK|BIM,|BIM|FLL|DEN|DIK|
DIK|ELH,|ELH|PBI|TPA|DEN|DIK|
DIK|EYW,|EYW|MSY|DEN|DIK|
DIK|FPO,|FPO|FLL|DEN|DIK|
DIK|GHB,|GHB|FLL|DEN|DIK|
DIK|MHH,|MHH|MCO|DEN|DIK|
DIK|TCB,|TCB|FLL|DEN|DIK|
DIK|SOW,|SOW|FMN|DEN|DIK|
DIK|ROB,|ROB|FNA|BRU|ORD|DEN|DIK|
DIK|GIG,|GIG|IAH|DEN|DIK|
DIK|CNS,|CNS|GUM|HNL|DEN|DIK|
DIK|CTS,|CTS|GUM|HNL|DEN|DIK|
DIK|OKJ,|OKJ|GUM|HNL|DEN|DIK|
DIK|ROP,|ROP|GUM|HNL|DEN|DIK|
DIK|ROR,|ROR|GUM|HNL|DEN|DIK|
DIK|SDJ,|SDJ|GUM|HNL|DEN|DIK|
DIK|SPN,|SPN|GUM|HNL|DEN|DIK|
DIK|TKK,|TKK|PNI|KWA|MAJ|HNL|DEN|DIK|
DIK|YAP,|YAP|GUM|HNL|DEN|DIK|
DIK|MAJ,|MAJ|HNL|DEN|DIK|
DIK|AOO,|AOO|IAD|DEN|DIK|
DIK|BGM,|BGM|IAD|DEN|DIK|
DIK|BKW,|BKW|IAD|DEN|DIK|
DIK|CAE,|CAE|ORD|DEN|DIK|
DIK|CHO,|CHO|IAD|DEN|DIK|
DIK|CRW,|CRW|ORD|DEN|DIK|
DIK|FAY,|FAY|IAD|DEN|DIK|
DIK|LWB,|LWB|IAD|DEN|DIK|
DIK|ROA,|ROA|ORD|DEN|DIK|
DIK|SCE,|SCE|ORD|DEN|DIK|
DIK|ACA,|ACA|IAH|DEN|DIK|
DIK|ACY,|ACY|ORD|DEN|DIK|
DIK|AEX,|AEX|IAH|DEN|DIK|
DIK|AGU,|AGU|IAH|DEN|DIK|
DIK|BJX,|BJX|IAH|DEN|DIK|
DIK|BRO,|BRO|IAH|DEN|DIK|
DIK|BTR,|BTR|IAH|DEN|DIK|
DIK|CCS,|CCS|IAH|DEN|DIK|
DIK|CLL,|CLL|IAH|DEN|DIK|
DIK|CME,|CME|IAH|DEN|DIK|
DIK|CRP,|CRP|IAH|DEN|DIK|
DIK|CUU,|CUU|IAH|DEN|DIK|
DIK|DAL,|DAL|OKC|DEN|DIK|
DIK|DGO,|DGO|IAH|DEN|DIK|
DIK|GDL,|GDL|IAH|DEN|DIK|
DIK|GPT,|GPT|IAH|DEN|DIK|
DIK|GRK,|GRK|IAH|DEN|DIK|
DIK|HOB,|HOB|IAH|DEN|DIK|
DIK|HRL,|HRL|SAT|DEN|DIK|
DIK|HUX,|HUX|IAH|DEN|DIK|
DIK|JAN,|JAN|IAH|DEN|DIK|
DIK|LCH,|LCH|IAH|DEN|DIK|
DIK|LEX,|LEX|ORD|DEN|DIK|
DIK|LFT,|LFT|IAH|DEN|DIK|
DIK|LRD,|LRD|IAH|DEN|DIK|
DIK|MFE,|MFE|IAH|DEN|DIK|
DIK|MGA,|MGA|IAH|DEN|DIK|
DIK|MID,|MID|IAH|DEN|DIK|
DIK|MLM,|MLM|IAH|DEN|DIK|
DIK|MLU,|MLU|IAH|DEN|DIK|
DIK|MOB,|MOB|IAH|DEN|DIK|
DIK|MTY,|MTY|IAH|DEN|DIK|
DIK|OAX,|OAX|IAH|DEN|DIK|
DIK|PBC,|PBC|IAH|DEN|DIK|
DIK|PNS,|PNS|IAH|DEN|DIK|
DIK|QRO,|QRO|IAH|DEN|DIK|
DIK|RTB,|RTB|IAH|DEN|DIK|
DIK|SLP,|SLP|IAH|DEN|DIK|
DIK|SLW,|SLW|IAH|DEN|DIK|
DIK|TAM,|TAM|IAH|DEN|DIK|
DIK|TGU,|TGU|IAH|DEN|DIK|
DIK|TRC,|TRC|IAH|DEN|DIK|
DIK|TYR,|TYR|IAH|DEN|DIK|
DIK|UIO,|UIO|IAH|DEN|DIK|
DIK|VER,|VER|IAH|DEN|DIK|
DIK|VPS,|VPS|IAH|DEN|DIK|
DIK|VSA,|VSA|IAH|DEN|DIK|
DIK|ZIH,|ZIH|IAH|DEN|DIK|
DIK|ZLO,|ZLO|IAH|DEN|DIK|
DIK|KWA,|KWA|MAJ|HNL|DEN|DIK|
DIK|PNI,|PNI|KWA|MAJ|HNL|DEN|DIK|
DIK|KSA,|KSA|KWA|MAJ|HNL|DEN|DIK|
DIK|CLD,|CLD|LAX|DEN|DIK|
DIK|ITO,|ITO|LAX|DEN|DIK|
DIK|SBP,|SBP|LAX|DEN|DIK|
DIK|SMX,|SMX|LAX|DEN|DIK|
DIK|YUM,|YUM|LAX|DEN|DIK|
DIK|DDC,|DIK|
DIK|TMS,|TMS|LIS|EWR|DEN|DIK|
DIK|PHC,|PHC|LOS|IAH|DEN|DIK|
DIK|GNV,|GNV|TPA|DEN|DIK|
DIK|TLH,|TLH|TPA|DEN|DIK|
DIK|CKB,|CKB|MGW|IAD|DEN|DIK|
DIK|BAQ,|BAQ|MIA|DEN|DIK|
DIK|CLO,|CLO|MIA|DEN|DIK|
DIK|CTG,|CTG|MIA|DEN|DIK|
DIK|MDE,|MDE|MIA|DEN|DIK|
DIK|ABE,|ABE|ORD|DEN|DIK|
DIK|ATW,|ATW|ORD|DEN|DIK|
DIK|AVL,|AVL|ORD|DEN|DIK|
DIK|AVP,|AVP|ORD|DEN|DIK|
DIK|CAK,|CAK|DEN|DIK|
DIK|CMX,|CMX|ORD|DEN|DIK|
DIK|CWA,|CWA|ORD|DEN|DIK|
DIK|DLH,|DLH|ORD|DEN|DIK|
DIK|EAU,|EAU|ORD|DEN|DIK|
DIK|ELM,|ELM|ORD|DEN|DIK|
DIK|FOE,|FOE|ORD|DEN|DIK|
DIK|FWA,|FWA|ORD|DEN|DIK|
DIK|GRB,|GRB|ORD|DEN|DIK|
DIK|HPN,|HPN|ORD|DEN|DIK|
DIK|LAN,|LAN|ORD|DEN|DIK|
DIK|MBS,|MBS|ORD|DEN|DIK|
DIK|MKG,|MKG|ORD|DEN|DIK|
DIK|PAH,|PAH|ORD|DEN|DIK|
DIK|SBN,|SBN|ORD|DEN|DIK|
DIK|SPI,|SPI|ORD|DEN|DIK|
DIK|SRQ,|SRQ|ORD|DEN|DIK|
DIK|STC,|STC|ORD|DEN|DIK|
DIK|TVC,|TVC|ORD|DEN|DIK|
DIK|LMT,|LMT|PDX|DEN|DIK|
DIK|HON,|HON|PIR|DEN|DIK|
DIK|CIC,|CIC|SFO|DEN|DIK|
DIK|MOD,|MOD|SFO|DEN|DIK|
DIK|OTH,|OTH|SFO|DEN|DIK|
DIK|RDD,|RDD|SFO|DEN|DIK|
DIK|EIS,|EIS|SJU|MCO|DEN|DIK|
DIK|DME,|DME|VIE|ORD|DEN|DIK|
DIK|EVN,|EVN|VIE|ORD|DEN|DIK|
DIK|HOU,|HOU|DEN|DIK|
DIK|MDW,|MDW|DEN|DIK|
DIK|OAK,|OAK|DEN|DIK|
DIK|ECP,|ECP|STL|DEN|DIK|
DIK|ISP,|ISP|BWI|DEN|DIK|
DIK|YHM,|YHM|YYC|DEN|DIK|
DIK|YXX,|YXX|YYC|DEN|DIK|
DIK|YBR,|YBR|YYC|DEN|DIK|
DIK|YKF,|YKF|YYC|DEN|DIK|
DIK|GDN,|DIK|
DIK|TRD,|DIK|
DIK|NKC,|DIK|
DIK|PGA,|DIK|
