DYG|BRU,|BRU|IST|URC|CSX|DYG|
DYG|MBA,|MBA|JRO|IST|URC|CSX|DYG|
DYG|NDJ,|NDJ|KAN|IST|URC|CSX|DYG|
DYG|CMB,|CMB|MLE|CAN|DYG|
DYG|ADE,|ADE|SAH|IST|URC|CSX|DYG|
DYG|ASF,|ASF|SAW|TBS|URC|CSX|DYG|
DYG|STW,|STW|SAW|TBS|URC|CSX|DYG|
DYG|LFW,|LFW|ABJ|OUA|NIM|IST|URC|CSX|DYG|
DYG|CEC,|CEC|SFO|PEK|DYG|
DYG|SMF,|SMF|SFO|PEK|DYG|
DYG|CDR,|CDR|AIA|DEN|YVR|PEK|DYG|
DYG|FMN,|FMN|DEN|YVR|PEK|DYG|
DYG|JST,|JST|IAD|PEK|DYG|
DYG|JHW,|JHW|CLE|YYZ|PEK|DYG|
DYG|SHD,|SHD|IAD|PEK|DYG|
DYG|PTY,|PTY|ORD|PEK|DYG|
DYG|FNA,|FNA|BRU|IST|URC|CSX|DYG|
DYG|SXB,|SXB|BRU|IST|URC|CSX|DYG|
DYG|ACV,|ACV|SFO|PEK|DYG|
DYG|MGW,|MGW|IAD|PEK|DYG|
DYG|ALB,|ALB|EWR|PEK|DYG|
DYG|AUS,|AUS|DEN|YVR|PEK|DYG|
DYG|BFD,|BFD|CLE|YYZ|PEK|DYG|
DYG|BUF,|BUF|CLE|YYZ|PEK|DYG|
DYG|CHS,|CHS|ORD|PEK|DYG|
DYG|DAY,|DAY|ORD|PEK|DYG|
DYG|DUJ,|DUJ|CLE|YYZ|PEK|DYG|
DYG|ERI,|ERI|CLE|YYZ|PEK|DYG|
DYG|FKL,|FKL|CLE|YYZ|PEK|DYG|
DYG|FNT,|FNT|CLE|YYZ|PEK|DYG|
DYG|GRR,|GRR|ORD|PEK|DYG|
DYG|GSP,|GSP|ORD|PEK|DYG|
DYG|PBI,|PBI|ATL|ORD|PEK|DYG|
DYG|PKB,|PKB|CLE|YYZ|PEK|DYG|
DYG|RIC,|RIC|IAD|PEK|DYG|
DYG|SDF,|SDF|ORD|PEK|DYG|
DYG|GUM,|GUM|HKG|CAN|DYG|
DYG|WRL,|WRL|CYS|DEN|YVR|PEK|DYG|
DYG|LBL,|DYG|
DYG|ABQ,|ABQ|SEA|PEK|DYG|
DYG|AIA,|AIA|DEN|YVR|PEK|DYG|
DYG|ALS,|ALS|DEN|YVR|PEK|DYG|
DYG|AMA,|AMA|DEN|YVR|PEK|DYG|
DYG|ANC,|ANC|SEA|PEK|DYG|
DYG|ASE,|ASE|DEN|YVR|PEK|DYG|
DYG|BFL,|BFL|SFO|PEK|DYG|
DYG|BHM,|BHM|ORD|PEK|DYG|
DYG|BIL,|BIL|DEN|YVR|PEK|DYG|
DYG|BIS,|BIS|DEN|YVR|PEK|DYG|
DYG|BOI,|BOI|SFO|PEK|DYG|
DYG|BUR,|BUR|SFO|PEK|DYG|
DYG|BZN,|BZN|DEN|YVR|PEK|DYG|
DYG|CID,|CID|ORD|PEK|DYG|
DYG|COD,|COD|DEN|YVR|PEK|DYG|
DYG|COS,|COS|DEN|YVR|PEK|DYG|
DYG|CPR,|CPR|DEN|YVR|PEK|DYG|
DYG|CYS,|CYS|DEN|YVR|PEK|DYG|
DYG|DIK,|DIK|DEN|YVR|PEK|DYG|
DYG|DRO,|DRO|DEN|YVR|PEK|DYG|
DYG|DSM,|DSM|ORD|PEK|DYG|
DYG|EGE,|EGE|DEN|YVR|PEK|DYG|
DYG|ELP,|ELP|LAS|SEA|PEK|DYG|
DYG|EUG,|EUG|PDX|SEA|PEK|DYG|
DYG|FAR,|FAR|DEN|YVR|PEK|DYG|
DYG|FAT,|FAT|SFO|PEK|DYG|
DYG|FCA,|FCA|DEN|YVR|PEK|DYG|
DYG|FSD,|FSD|DEN|YVR|PEK|DYG|
DYG|GCC,|GCC|DEN|YVR|PEK|DYG|
DYG|GEG,|GEG|BOI|SFO|PEK|DYG|
DYG|GJT,|GJT|DEN|YVR|PEK|DYG|
DYG|GTF,|GTF|DEN|YVR|PEK|DYG|
DYG|GUC,|GUC|DEN|YVR|PEK|DYG|
DYG|HDN,|HDN|DEN|YVR|PEK|DYG|
DYG|HLN,|HLN|DEN|YVR|PEK|DYG|
DYG|HSV,|HSV|ORD|PEK|DYG|
DYG|ICT,|ICT|DEN|YVR|PEK|DYG|
DYG|IDA,|IDA|DEN|YVR|PEK|DYG|
DYG|ISN,|ISN|DEN|YVR|PEK|DYG|
DYG|JAC,|JAC|DEN|YVR|PEK|DYG|
DYG|KOA,|KOA|YVR|PEK|DYG|
DYG|LAR,|LAR|DEN|YVR|PEK|DYG|
DYG|LBB,|LBB|DEN|YVR|PEK|DYG|
DYG|LIH,|LIH|HNL|NRT|ICN|CSX|DYG|
DYG|LIT,|LIT|ORD|PEK|DYG|
DYG|LNK,|LNK|DEN|YVR|PEK|DYG|
DYG|MAF,|MAF|DEN|YVR|PEK|DYG|
DYG|MEM,|MEM|ORD|PEK|DYG|
DYG|MFR,|MFR|SFO|PEK|DYG|
DYG|MLI,|MLI|ORD|PEK|DYG|
DYG|MOT,|MOT|DEN|YVR|PEK|DYG|
DYG|MRY,|MRY|SFO|PEK|DYG|
DYG|MSN,|MSN|ORD|PEK|DYG|
DYG|MSO,|MSO|DEN|YVR|PEK|DYG|
DYG|MTJ,|MTJ|DEN|YVR|PEK|DYG|
DYG|OKC,|OKC|DEN|YVR|PEK|DYG|
DYG|OMA,|OMA|DEN|YVR|PEK|DYG|
DYG|ONT,|ONT|SFO|PEK|DYG|
DYG|PIA,|PIA|ORD|PEK|DYG|
DYG|PIR,|PIR|DEN|YVR|PEK|DYG|
DYG|PSC,|PSC|SFO|PEK|DYG|
DYG|PSP,|PSP|SFO|PEK|DYG|
DYG|PUB,|PUB|DEN|YVR|PEK|DYG|
DYG|RAP,|RAP|DEN|YVR|PEK|DYG|
DYG|RDM,|RDM|PDX|SEA|PEK|DYG|
DYG|RKS,|RKS|DEN|YVR|PEK|DYG|
DYG|RNO,|RNO|SEA|PEK|DYG|
DYG|SAF,|SAF|DEN|YVR|PEK|DYG|
DYG|SAT,|SAT|DEN|YVR|PEK|DYG|
DYG|SBA,|SBA|SFO|PEK|DYG|
DYG|SGF,|SGF|ORD|PEK|DYG|
DYG|SGU,|SGU|DEN|YVR|PEK|DYG|
DYG|SHV,|SHV|DEN|YVR|PEK|DYG|
DYG|SJC,|SJC|SEA|PEK|DYG|
DYG|SLC,|SLC|SEA|PEK|DYG|
DYG|SNA,|SNA|SFO|PEK|DYG|
DYG|TUL,|TUL|DEN|YVR|PEK|DYG|
DYG|TUS,|TUS|LAS|SEA|PEK|DYG|
DYG|TYS,|TYS|ORD|PEK|DYG|
DYG|XNA,|XNA|DEN|YVR|PEK|DYG|
DYG|SAL,|SAL|IAH|PEK|DYG|
DYG|BJL,|BJL|DKR|BRU|IST|URC|CSX|DYG|
DYG|BFS,|BFS|EWR|PEK|DYG|
DYG|BON,|BON|EWR|PEK|DYG|
DYG|BQN,|BQN|EWR|PEK|DYG|
DYG|BTV,|BTV|EWR|PEK|DYG|
DYG|BZE,|BZE|IAH|PEK|DYG|
DYG|GLA,|GLA|EWR|PEK|DYG|
DYG|GSO,|GSO|IAD|PEK|DYG|
DYG|ITH,|ITH|EWR|PEK|DYG|
DYG|JAX,|JAX|ORD|PEK|DYG|
DYG|MHT,|MHT|EWR|PEK|DYG|
DYG|MYR,|MYR|YYZ|PEK|DYG|
DYG|ORF,|ORF|IAD|PEK|DYG|
DYG|POS,|POS|EWR|PEK|DYG|
DYG|PVD,|PVD|EWR|PEK|DYG|
DYG|PWM,|PWM|EWR|PEK|DYG|
DYG|SAP,|SAP|IAH|PEK|DYG|
DYG|SAV,|SAV|ORD|PEK|DYG|
DYG|SDQ,|SDQ|EWR|PEK|DYG|
DYG|SJU,|SJU|EWR|PEK|DYG|
DYG|SNN,|SNN|EWR|PEK|DYG|
DYG|STT,|STT|EWR|PEK|DYG|
DYG|SXM,|SXM|EWR|PEK|DYG|
DYG|BIM,|BIM|FLL|ORD|PEK|DYG|
DYG|ELH,|ELH|PBI|ATL|ORD|PEK|DYG|
DYG|EYW,|EYW|TPA|ORD|PEK|DYG|
DYG|FPO,|FPO|FLL|ORD|PEK|DYG|
DYG|GHB,|GHB|FLL|ORD|PEK|DYG|
DYG|MHH,|MHH|JAX|ORD|PEK|DYG|
DYG|TCB,|TCB|FLL|ORD|PEK|DYG|
DYG|SOW,|SOW|PHX|SEA|PEK|DYG|
DYG|ROB,|ROB|FNA|BRU|IST|URC|CSX|DYG|
DYG|GIG,|GIG|GRU|IST|URC|CSX|DYG|
DYG|CNS,|CNS|GUM|HKG|CAN|DYG|
DYG|CTS,|CTS|GUM|HKG|CAN|DYG|
DYG|OKJ,|OKJ|GUM|HKG|CAN|DYG|
DYG|ROP,|ROP|GUM|HKG|CAN|DYG|
DYG|ROR,|ROR|MNL|CAN|DYG|
DYG|SDJ,|SDJ|GUM|HKG|CAN|DYG|
DYG|SPN,|SPN|GUM|HKG|CAN|DYG|
DYG|TKK,|TKK|GUM|HKG|CAN|DYG|
DYG|YAP,|YAP|ROR|MNL|CAN|DYG|
DYG|MAJ,|MAJ|KWA|PNI|TKK|GUM|HKG|CAN|DYG|
DYG|AOO,|AOO|IAD|PEK|DYG|
DYG|BGM,|BGM|IAD|PEK|DYG|
DYG|BKW,|BKW|IAD|PEK|DYG|
DYG|CAE,|CAE|ORD|PEK|DYG|
DYG|CHO,|CHO|IAD|PEK|DYG|
DYG|CRW,|CRW|ORD|PEK|DYG|
DYG|FAY,|FAY|IAD|PEK|DYG|
DYG|LWB,|LWB|IAD|PEK|DYG|
DYG|ROA,|ROA|IAD|PEK|DYG|
DYG|SCE,|SCE|IAD|PEK|DYG|
DYG|ACA,|ACA|IAH|PEK|DYG|
DYG|ACY,|ACY|ORD|PEK|DYG|
DYG|AEX,|AEX|IAH|PEK|DYG|
DYG|AGU,|AGU|IAH|PEK|DYG|
DYG|BJX,|BJX|LAX|PEK|DYG|
DYG|BRO,|BRO|IAH|PEK|DYG|
DYG|BTR,|BTR|IAH|PEK|DYG|
DYG|CCS,|CCS|IAH|PEK|DYG|
DYG|CLL,|CLL|IAH|PEK|DYG|
DYG|CME,|CME|IAH|PEK|DYG|
DYG|CRP,|CRP|IAH|PEK|DYG|
DYG|CUU,|CUU|IAH|PEK|DYG|
DYG|DAL,|DAL|OKC|DEN|YVR|PEK|DYG|
DYG|DGO,|DGO|LAX|PEK|DYG|
DYG|GDL,|GDL|SFO|PEK|DYG|
DYG|GPT,|GPT|IAH|PEK|DYG|
DYG|GRK,|GRK|IAH|PEK|DYG|
DYG|HOB,|HOB|IAH|PEK|DYG|
DYG|HRL,|HRL|SAT|DEN|YVR|PEK|DYG|
DYG|HUX,|HUX|IAH|PEK|DYG|
DYG|JAN,|JAN|ORD|PEK|DYG|
DYG|LCH,|LCH|IAH|PEK|DYG|
DYG|LEX,|LEX|ORD|PEK|DYG|
DYG|LFT,|LFT|IAH|PEK|DYG|
DYG|LRD,|LRD|IAH|PEK|DYG|
DYG|MFE,|MFE|IAH|PEK|DYG|
DYG|MGA,|MGA|IAH|PEK|DYG|
DYG|MID,|MID|IAH|PEK|DYG|
DYG|MLM,|MLM|IAH|PEK|DYG|
DYG|MLU,|MLU|IAH|PEK|DYG|
DYG|MOB,|MOB|ORD|PEK|DYG|
DYG|MTY,|MTY|IAH|PEK|DYG|
DYG|OAX,|OAX|IAH|PEK|DYG|
DYG|PBC,|PBC|IAH|PEK|DYG|
DYG|PNS,|PNS|ORD|PEK|DYG|
DYG|QRO,|QRO|IAH|PEK|DYG|
DYG|RTB,|RTB|IAH|PEK|DYG|
DYG|SLP,|SLP|IAH|PEK|DYG|
DYG|SLW,|SLW|IAH|PEK|DYG|
DYG|TAM,|TAM|IAH|PEK|DYG|
DYG|TGU,|TGU|IAH|PEK|DYG|
DYG|TRC,|TRC|IAH|PEK|DYG|
DYG|TYR,|TYR|IAH|PEK|DYG|
DYG|UIO,|UIO|IAH|PEK|DYG|
DYG|VER,|VER|IAH|PEK|DYG|
DYG|VPS,|VPS|IAH|PEK|DYG|
DYG|VSA,|VSA|IAH|PEK|DYG|
DYG|ZIH,|ZIH|IAH|PEK|DYG|
DYG|ZLO,|ZLO|IAH|PEK|DYG|
DYG|KWA,|KWA|PNI|TKK|GUM|HKG|CAN|DYG|
DYG|PNI,|PNI|TKK|GUM|HKG|CAN|DYG|
DYG|KSA,|KSA|PNI|TKK|GUM|HKG|CAN|DYG|
DYG|CLD,|CLD|LAX|PEK|DYG|
DYG|ITO,|ITO|LAX|PEK|DYG|
DYG|SBP,|SBP|SFO|PEK|DYG|
DYG|SMX,|SMX|LAX|PEK|DYG|
DYG|YUM,|YUM|LAX|PEK|DYG|
DYG|DDC,|DYG|
DYG|TMS,|TMS|LIS|IST|URC|CSX|DYG|
DYG|PHC,|PHC|LOS|IST|URC|CSX|DYG|
DYG|GNV,|GNV|MCO|ORD|PEK|DYG|
DYG|TLH,|TLH|TPA|ORD|PEK|DYG|
DYG|CKB,|CKB|MGW|IAD|PEK|DYG|
DYG|BAQ,|BAQ|MIA|ORD|PEK|DYG|
DYG|CLO,|CLO|MIA|ORD|PEK|DYG|
DYG|CTG,|CTG|MIA|ORD|PEK|DYG|
DYG|MDE,|MDE|MIA|ORD|PEK|DYG|
DYG|ABE,|ABE|ORD|PEK|DYG|
DYG|ATW,|ATW|ORD|PEK|DYG|
DYG|AVL,|AVL|ORD|PEK|DYG|
DYG|AVP,|AVP|ORD|PEK|DYG|
DYG|CAK,|CAK|ORD|PEK|DYG|
DYG|CMX,|CMX|ORD|PEK|DYG|
DYG|CWA,|CWA|ORD|PEK|DYG|
DYG|DLH,|DLH|ORD|PEK|DYG|
DYG|EAU,|EAU|ORD|PEK|DYG|
DYG|ELM,|ELM|ORD|PEK|DYG|
DYG|FOE,|FOE|ORD|PEK|DYG|
DYG|FWA,|FWA|ORD|PEK|DYG|
DYG|GRB,|GRB|ORD|PEK|DYG|
DYG|HPN,|HPN|ORD|PEK|DYG|
DYG|LAN,|LAN|ORD|PEK|DYG|
DYG|MBS,|MBS|ORD|PEK|DYG|
DYG|MKG,|MKG|ORD|PEK|DYG|
DYG|PAH,|PAH|ORD|PEK|DYG|
DYG|SBN,|SBN|ORD|PEK|DYG|
DYG|SPI,|SPI|ORD|PEK|DYG|
DYG|SRQ,|SRQ|ORD|PEK|DYG|
DYG|STC,|STC|ORD|PEK|DYG|
DYG|TVC,|TVC|ORD|PEK|DYG|
DYG|LMT,|LMT|PDX|SEA|PEK|DYG|
DYG|HON,|HON|PIR|DEN|YVR|PEK|DYG|
DYG|CIC,|CIC|SFO|PEK|DYG|
DYG|MOD,|MOD|SFO|PEK|DYG|
DYG|OTH,|OTH|SFO|PEK|DYG|
DYG|RDD,|RDD|SFO|PEK|DYG|
DYG|EIS,|EIS|SJU|EWR|PEK|DYG|
DYG|DME,|DME|VIE|IST|URC|CSX|DYG|
DYG|EVN,|EVN|VIE|IST|URC|CSX|DYG|
DYG|HOU,|HOU|DEN|YVR|PEK|DYG|
DYG|MDW,|MDW|DTW|PEK|DYG|
DYG|OAK,|OAK|SEA|PEK|DYG|
DYG|ECP,|ECP|BNA|ORD|PEK|DYG|
DYG|ISP,|ISP|BWI|YYZ|PEK|DYG|
DYG|YHM,|YHM|YYC|YVR|PEK|DYG|
DYG|YXX,|YXX|YYC|YVR|PEK|DYG|
DYG|YBR,|YBR|YYC|YVR|PEK|DYG|
DYG|YKF,|YKF|YYC|YVR|PEK|DYG|
DYG|GDN,|DYG|
DYG|TRD,|DYG|
DYG|NKC,|DYG|
DYG|PGA,|DYG|
