HZH|BRU,|BRU|DEL|CAN|HZH|
HZH|JST,|JST|IAD|PEK|CAN|HZH|
HZH|JHW,|JHW|CLE|YYZ|PEK|CAN|HZH|
HZH|SHD,|SHD|IAD|PEK|CAN|HZH|
HZH|PTY,|PTY|ORD|PEK|CAN|HZH|
HZH|FNA,|FNA|BRU|DEL|CAN|HZH|
HZH|SXB,|SXB|BRU|DEL|CAN|HZH|
HZH|ACV,|ACV|SFO|PVG|CAN|HZH|
HZH|MGW,|MGW|IAD|PEK|CAN|HZH|
HZH|ALB,|ALB|EWR|PEK|CAN|HZH|
HZH|AUS,|AUS|DEN|YVR|CAN|HZH|
HZH|BFD,|BFD|CLE|YYZ|PEK|CAN|HZH|
HZH|BUF,|BUF|CLE|YYZ|PEK|CAN|HZH|
HZH|CHS,|CHS|ORD|PEK|CAN|HZH|
HZH|DAY,|DAY|ORD|PEK|CAN|HZH|
HZH|DUJ,|DUJ|CLE|YYZ|PEK|CAN|HZH|
HZH|ERI,|ERI|CLE|YYZ|PEK|CAN|HZH|
HZH|FKL,|FKL|CLE|YYZ|PEK|CAN|HZH|
HZH|FNT,|FNT|CLE|YYZ|PEK|CAN|HZH|
HZH|GRR,|GRR|ORD|PEK|CAN|HZH|
HZH|GSP,|GSP|ORD|PEK|CAN|HZH|
HZH|PBI,|PBI|ATL|ORD|PEK|CAN|HZH|
HZH|PKB,|PKB|CLE|YYZ|PEK|CAN|HZH|
HZH|RIC,|RIC|IAD|PEK|CAN|HZH|
HZH|SDF,|SDF|ORD|PEK|CAN|HZH|
HZH|GUM,|GUM|HKG|CAN|HZH|
HZH|WRL,|WRL|CYS|DEN|YVR|CAN|HZH|
HZH|LBL,|HZH|
HZH|ABQ,|ABQ|SEA|ICN|CAN|HZH|
HZH|AIA,|AIA|DEN|YVR|CAN|HZH|
HZH|ALS,|ALS|DEN|YVR|CAN|HZH|
HZH|AMA,|AMA|DEN|YVR|CAN|HZH|
HZH|ANC,|ANC|SEA|ICN|CAN|HZH|
HZH|ASE,|ASE|DEN|YVR|CAN|HZH|
HZH|BFL,|BFL|SFO|PVG|CAN|HZH|
HZH|BHM,|BHM|ORD|PEK|CAN|HZH|
HZH|BIL,|BIL|DEN|YVR|CAN|HZH|
HZH|BIS,|BIS|DEN|YVR|CAN|HZH|
HZH|BOI,|BOI|SFO|PVG|CAN|HZH|
HZH|BUR,|BUR|SFO|PVG|CAN|HZH|
HZH|BZN,|BZN|DEN|YVR|CAN|HZH|
HZH|CID,|CID|ORD|PEK|CAN|HZH|
HZH|COD,|COD|DEN|YVR|CAN|HZH|
HZH|COS,|COS|DEN|YVR|CAN|HZH|
HZH|CPR,|CPR|DEN|YVR|CAN|HZH|
HZH|CYS,|CYS|DEN|YVR|CAN|HZH|
HZH|DIK,|DIK|DEN|YVR|CAN|HZH|
HZH|DRO,|DRO|DEN|YVR|CAN|HZH|
HZH|DSM,|DSM|ORD|PEK|CAN|HZH|
HZH|EGE,|EGE|DEN|YVR|CAN|HZH|
HZH|ELP,|ELP|LAS|SFO|PVG|CAN|HZH|
HZH|EUG,|EUG|PDX|SEA|ICN|CAN|HZH|
HZH|FAR,|FAR|DEN|YVR|CAN|HZH|
HZH|FAT,|FAT|SFO|PVG|CAN|HZH|
HZH|FCA,|FCA|DEN|YVR|CAN|HZH|
HZH|FSD,|FSD|DEN|YVR|CAN|HZH|
HZH|GCC,|GCC|DEN|YVR|CAN|HZH|
HZH|GEG,|GEG|BOI|SFO|PVG|CAN|HZH|
HZH|GJT,|GJT|DEN|YVR|CAN|HZH|
HZH|GTF,|GTF|DEN|YVR|CAN|HZH|
HZH|GUC,|GUC|DEN|YVR|CAN|HZH|
HZH|HDN,|HDN|DEN|YVR|CAN|HZH|
HZH|HLN,|HLN|DEN|YVR|CAN|HZH|
HZH|HSV,|HSV|ORD|PEK|CAN|HZH|
HZH|ICT,|ICT|DEN|YVR|CAN|HZH|
HZH|IDA,|IDA|DEN|YVR|CAN|HZH|
HZH|ISN,|ISN|DEN|YVR|CAN|HZH|
HZH|JAC,|JAC|DEN|YVR|CAN|HZH|
HZH|KOA,|KOA|YVR|CAN|HZH|
HZH|LAR,|LAR|DEN|YVR|CAN|HZH|
HZH|LBB,|LBB|DEN|YVR|CAN|HZH|
HZH|LIH,|LIH|HNL|NRT|CAN|HZH|
HZH|LIT,|LIT|DEN|YVR|CAN|HZH|
HZH|LNK,|LNK|DEN|YVR|CAN|HZH|
HZH|MAF,|MAF|DEN|YVR|CAN|HZH|
HZH|MEM,|MEM|ORD|PEK|CAN|HZH|
HZH|MFR,|MFR|SFO|PVG|CAN|HZH|
HZH|MLI,|MLI|ORD|PEK|CAN|HZH|
HZH|MOT,|MOT|DEN|YVR|CAN|HZH|
HZH|MRY,|MRY|SFO|PVG|CAN|HZH|
HZH|MSN,|MSN|ORD|PEK|CAN|HZH|
HZH|MSO,|MSO|DEN|YVR|CAN|HZH|
HZH|MTJ,|MTJ|DEN|YVR|CAN|HZH|
HZH|OKC,|OKC|DEN|YVR|CAN|HZH|
HZH|OMA,|OMA|DEN|YVR|CAN|HZH|
HZH|ONT,|ONT|SFO|PVG|CAN|HZH|
HZH|PIA,|PIA|ORD|PEK|CAN|HZH|
HZH|PIR,|PIR|DEN|YVR|CAN|HZH|
HZH|PSC,|PSC|SFO|PVG|CAN|HZH|
HZH|PSP,|PSP|SFO|PVG|CAN|HZH|
HZH|PUB,|PUB|DEN|YVR|CAN|HZH|
HZH|RAP,|RAP|DEN|YVR|CAN|HZH|
HZH|RDM,|RDM|PDX|SEA|ICN|CAN|HZH|
HZH|RKS,|RKS|DEN|YVR|CAN|HZH|
HZH|RNO,|RNO|SEA|ICN|CAN|HZH|
HZH|SAF,|SAF|DEN|YVR|CAN|HZH|
HZH|SAT,|SAT|DEN|YVR|CAN|HZH|
HZH|SBA,|SBA|SFO|PVG|CAN|HZH|
HZH|SGF,|SGF|DEN|YVR|CAN|HZH|
HZH|SGU,|SGU|DEN|YVR|CAN|HZH|
HZH|SHV,|SHV|DEN|YVR|CAN|HZH|
HZH|SJC,|SJC|NRT|CAN|HZH|
HZH|SLC,|SLC|SEA|ICN|CAN|HZH|
HZH|SNA,|SNA|SFO|PVG|CAN|HZH|
HZH|TUL,|TUL|DEN|YVR|CAN|HZH|
HZH|TUS,|TUS|SFO|PVG|CAN|HZH|
HZH|TYS,|TYS|ORD|PEK|CAN|HZH|
HZH|XNA,|XNA|DEN|YVR|CAN|HZH|
HZH|SAL,|SAL|IAH|YVR|CAN|HZH|
HZH|BJL,|BJL|DKR|BRU|DEL|CAN|HZH|
HZH|BFS,|BFS|EWR|PEK|CAN|HZH|
HZH|BON,|BON|EWR|PEK|CAN|HZH|
HZH|BQN,|BQN|EWR|PEK|CAN|HZH|
HZH|BTV,|BTV|EWR|PEK|CAN|HZH|
HZH|BZE,|BZE|IAH|YVR|CAN|HZH|
HZH|GLA,|GLA|EWR|PEK|CAN|HZH|
HZH|GSO,|GSO|IAD|PEK|CAN|HZH|
HZH|ITH,|ITH|EWR|PEK|CAN|HZH|
HZH|JAX,|JAX|ORD|PEK|CAN|HZH|
HZH|MHT,|MHT|EWR|PEK|CAN|HZH|
HZH|MYR,|MYR|YYZ|PEK|CAN|HZH|
HZH|ORF,|ORF|IAD|PEK|CAN|HZH|
HZH|POS,|POS|EWR|PEK|CAN|HZH|
HZH|PVD,|PVD|EWR|PEK|CAN|HZH|
HZH|PWM,|PWM|EWR|PEK|CAN|HZH|
HZH|SAP,|SAP|IAH|YVR|CAN|HZH|
HZH|SAV,|SAV|ORD|PEK|CAN|HZH|
HZH|SDQ,|SDQ|EWR|PEK|CAN|HZH|
HZH|SJU,|SJU|EWR|PEK|CAN|HZH|
HZH|SNN,|SNN|EWR|PEK|CAN|HZH|
HZH|STT,|STT|EWR|PEK|CAN|HZH|
HZH|SXM,|SXM|EWR|PEK|CAN|HZH|
HZH|BIM,|BIM|FLL|ORD|PEK|CAN|HZH|
HZH|ELH,|ELH|PBI|ATL|ORD|PEK|CAN|HZH|
HZH|EYW,|EYW|TPA|ORD|PEK|CAN|HZH|
HZH|FPO,|FPO|FLL|ORD|PEK|CAN|HZH|
HZH|GHB,|GHB|FLL|ORD|PEK|CAN|HZH|
HZH|MHH,|MHH|JAX|ORD|PEK|CAN|HZH|
HZH|TCB,|TCB|FLL|ORD|PEK|CAN|HZH|
HZH|SOW,|SOW|PHX|SFO|PVG|CAN|HZH|
HZH|ROB,|ROB|FNA|BRU|DEL|CAN|HZH|
HZH|GIG,|GIG|GRU|IST|CAN|HZH|
HZH|CNS,|CNS|GUM|HKG|CAN|HZH|
HZH|CTS,|CTS|GUM|HKG|CAN|HZH|
HZH|OKJ,|OKJ|GUM|HKG|CAN|HZH|
HZH|ROP,|ROP|GUM|HKG|CAN|HZH|
HZH|ROR,|ROR|MNL|CAN|HZH|
HZH|SDJ,|SDJ|GUM|HKG|CAN|HZH|
HZH|SPN,|SPN|GUM|HKG|CAN|HZH|
HZH|TKK,|TKK|GUM|HKG|CAN|HZH|
HZH|YAP,|YAP|ROR|MNL|CAN|HZH|
HZH|MAJ,|MAJ|KWA|PNI|TKK|GUM|HKG|CAN|HZH|
HZH|AOO,|AOO|IAD|PEK|CAN|HZH|
HZH|BGM,|BGM|IAD|PEK|CAN|HZH|
HZH|BKW,|BKW|IAD|PEK|CAN|HZH|
HZH|CAE,|CAE|ORD|PEK|CAN|HZH|
HZH|CHO,|CHO|IAD|PEK|CAN|HZH|
HZH|CRW,|CRW|ORD|PEK|CAN|HZH|
HZH|FAY,|FAY|IAD|PEK|CAN|HZH|
HZH|LWB,|LWB|IAD|PEK|CAN|HZH|
HZH|ROA,|ROA|IAD|PEK|CAN|HZH|
HZH|SCE,|SCE|IAD|PEK|CAN|HZH|
HZH|ACA,|ACA|IAH|YVR|CAN|HZH|
HZH|ACY,|ACY|ORD|PEK|CAN|HZH|
HZH|AEX,|AEX|IAH|YVR|CAN|HZH|
HZH|AGU,|AGU|IAH|YVR|CAN|HZH|
HZH|BJX,|BJX|LAX|CAN|HZH|
HZH|BRO,|BRO|IAH|YVR|CAN|HZH|
HZH|BTR,|BTR|IAH|YVR|CAN|HZH|
HZH|CCS,|CCS|IAH|YVR|CAN|HZH|
HZH|CLL,|CLL|IAH|YVR|CAN|HZH|
HZH|CME,|CME|IAH|YVR|CAN|HZH|
HZH|CRP,|CRP|IAH|YVR|CAN|HZH|
HZH|CUU,|CUU|IAH|YVR|CAN|HZH|
HZH|DAL,|DAL|OKC|DEN|YVR|CAN|HZH|
HZH|DGO,|DGO|LAX|CAN|HZH|
HZH|GDL,|GDL|LAX|CAN|HZH|
HZH|GPT,|GPT|IAH|YVR|CAN|HZH|
HZH|GRK,|GRK|IAH|YVR|CAN|HZH|
HZH|HOB,|HOB|IAH|YVR|CAN|HZH|
HZH|HRL,|HRL|SAT|DEN|YVR|CAN|HZH|
HZH|HUX,|HUX|IAH|YVR|CAN|HZH|
HZH|JAN,|JAN|ORD|PEK|CAN|HZH|
HZH|LCH,|LCH|IAH|YVR|CAN|HZH|
HZH|LEX,|LEX|ORD|PEK|CAN|HZH|
HZH|LFT,|LFT|IAH|YVR|CAN|HZH|
HZH|LRD,|LRD|IAH|YVR|CAN|HZH|
HZH|MFE,|MFE|IAH|YVR|CAN|HZH|
HZH|MGA,|MGA|IAH|YVR|CAN|HZH|
HZH|MID,|MID|IAH|YVR|CAN|HZH|
HZH|MLM,|MLM|IAH|YVR|CAN|HZH|
HZH|MLU,|MLU|IAH|YVR|CAN|HZH|
HZH|MOB,|MOB|ORD|PEK|CAN|HZH|
HZH|MTY,|MTY|IAH|YVR|CAN|HZH|
HZH|OAX,|OAX|IAH|YVR|CAN|HZH|
HZH|PBC,|PBC|IAH|YVR|CAN|HZH|
HZH|PNS,|PNS|ORD|PEK|CAN|HZH|
HZH|QRO,|QRO|IAH|YVR|CAN|HZH|
HZH|RTB,|RTB|IAH|YVR|CAN|HZH|
HZH|SLP,|SLP|IAH|YVR|CAN|HZH|
HZH|SLW,|SLW|IAH|YVR|CAN|HZH|
HZH|TAM,|TAM|IAH|YVR|CAN|HZH|
HZH|TGU,|TGU|IAH|YVR|CAN|HZH|
HZH|TRC,|TRC|IAH|YVR|CAN|HZH|
HZH|TYR,|TYR|IAH|YVR|CAN|HZH|
HZH|UIO,|UIO|IAH|YVR|CAN|HZH|
HZH|VER,|VER|IAH|YVR|CAN|HZH|
HZH|VPS,|VPS|IAH|YVR|CAN|HZH|
HZH|VSA,|VSA|IAH|YVR|CAN|HZH|
HZH|ZIH,|ZIH|IAH|YVR|CAN|HZH|
HZH|ZLO,|ZLO|IAH|YVR|CAN|HZH|
HZH|KWA,|KWA|PNI|TKK|GUM|HKG|CAN|HZH|
HZH|PNI,|PNI|TKK|GUM|HKG|CAN|HZH|
HZH|KSA,|KSA|PNI|TKK|GUM|HKG|CAN|HZH|
HZH|CLD,|CLD|LAX|CAN|HZH|
HZH|ITO,|ITO|LAX|CAN|HZH|
HZH|SBP,|SBP|SFO|PVG|CAN|HZH|
HZH|SMX,|SMX|LAX|CAN|HZH|
HZH|YUM,|YUM|LAX|CAN|HZH|
HZH|DDC,|HZH|
HZH|TMS,|TMS|LIS|IST|CAN|HZH|
HZH|PHC,|PHC|LOS|IST|CAN|HZH|
HZH|GNV,|GNV|MCO|ORD|PEK|CAN|HZH|
HZH|TLH,|TLH|TPA|ORD|PEK|CAN|HZH|
HZH|CKB,|CKB|MGW|IAD|PEK|CAN|HZH|
HZH|BAQ,|BAQ|MIA|ORD|PEK|CAN|HZH|
HZH|CLO,|CLO|MIA|ORD|PEK|CAN|HZH|
HZH|CTG,|CTG|MIA|ORD|PEK|CAN|HZH|
HZH|MDE,|MDE|MIA|ORD|PEK|CAN|HZH|
HZH|ABE,|ABE|ORD|PEK|CAN|HZH|
HZH|ATW,|ATW|ORD|PEK|CAN|HZH|
HZH|AVL,|AVL|ORD|PEK|CAN|HZH|
HZH|AVP,|AVP|ORD|PEK|CAN|HZH|
HZH|CAK,|CAK|ORD|PEK|CAN|HZH|
HZH|CMX,|CMX|ORD|PEK|CAN|HZH|
HZH|CWA,|CWA|ORD|PEK|CAN|HZH|
HZH|DLH,|DLH|ORD|PEK|CAN|HZH|
HZH|EAU,|EAU|ORD|PEK|CAN|HZH|
HZH|ELM,|ELM|ORD|PEK|CAN|HZH|
HZH|FOE,|FOE|ORD|PEK|CAN|HZH|
HZH|FWA,|FWA|ORD|PEK|CAN|HZH|
HZH|GRB,|GRB|ORD|PEK|CAN|HZH|
HZH|HPN,|HPN|ORD|PEK|CAN|HZH|
HZH|LAN,|LAN|ORD|PEK|CAN|HZH|
HZH|MBS,|MBS|ORD|PEK|CAN|HZH|
HZH|MKG,|MKG|ORD|PEK|CAN|HZH|
HZH|PAH,|PAH|ORD|PEK|CAN|HZH|
HZH|SBN,|SBN|ORD|PEK|CAN|HZH|
HZH|SPI,|SPI|ORD|PEK|CAN|HZH|
HZH|SRQ,|SRQ|ORD|PEK|CAN|HZH|
HZH|STC,|STC|ORD|PEK|CAN|HZH|
HZH|TVC,|TVC|ORD|PEK|CAN|HZH|
HZH|LMT,|LMT|PDX|SEA|ICN|CAN|HZH|
HZH|HON,|HON|PIR|DEN|YVR|CAN|HZH|
HZH|CIC,|CIC|SFO|PVG|CAN|HZH|
HZH|MOD,|MOD|SFO|PVG|CAN|HZH|
HZH|OTH,|OTH|SFO|PVG|CAN|HZH|
HZH|RDD,|RDD|SFO|PVG|CAN|HZH|
HZH|EIS,|EIS|SJU|EWR|PEK|CAN|HZH|
HZH|DME,|DME|VIE|IST|CAN|HZH|
HZH|EVN,|EVN|VIE|IST|CAN|HZH|
HZH|HOU,|HOU|DEN|YVR|CAN|HZH|
HZH|MDW,|MDW|DTW|PEK|CAN|HZH|
HZH|OAK,|OAK|SEA|ICN|CAN|HZH|
HZH|ECP,|ECP|BNA|ORD|PEK|CAN|HZH|
HZH|ISP,|ISP|BWI|YYZ|PEK|CAN|HZH|
HZH|YHM,|YHM|YYC|YVR|CAN|HZH|
HZH|YXX,|YXX|YYC|YVR|CAN|HZH|
HZH|YBR,|YBR|YYC|YVR|CAN|HZH|
HZH|YKF,|YKF|YYC|YVR|CAN|HZH|
HZH|GDN,|HZH|
HZH|TRD,|HZH|
HZH|NKC,|HZH|
HZH|PGA,|HZH|
